"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Finish","count_Fixation","count_ISI","count_Instructions","count_Instructions2","count_Instructions3","count_Sequence","count_Stimulus","count_errorFeedback","count_experiment","count_faster","count_keyboard_response","count_logger","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Finish","response_time_Instructions","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Finish","time_Fixation","time_ISI","time_Instructions","time_Instructions2","time_Instructions3","time_Sequence","time_Stimulus","time_errorFeedback","time_experiment","time_faster","time_keyboard_response","time_logger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"63.6363636364","63.6363636364","472.090909091","472.090909091","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","0","10","10","0","0","0","10","10","10","0","10","10","10","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","446","NA","6920","NA","NA","446","2","legacy","1024","2","48000","-16","experiment","hhshh","2","even","9482","NA","NA","NA","27741","26662","2561","NA","NA","27739","27844","24520","2552","NA","27844","28291","Flanker Task","7","5193","11","yes","1024"
"66.6666666667","66.6666666667","467.916666667","467.916666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","11","11","0","0","0","11","11","11","0","11","11","11","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","422","NA","6920","NA","NA","422","2","legacy","1024","2","48000","-16","experiment","hhhhh","2","even","9482","NA","NA","NA","29877","28801","2561","NA","NA","29875","29980","28299","2552","NA","29980","30403","Flanker Task","8","5615","12","yes","1024"
"61.5384615385","61.5384615385","464.230769231","464.230769231","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","s","0","0","0","0","12","12","0","0","0","12","12","12","0","12","12","12","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","420","NA","6920","NA","NA","420","2","legacy","1024","2","48000","-16","experiment","sssss","2","even","9482","NA","NA","NA","31487","30411","2561","NA","NA","31485","31590","28299","2552","NA","31590","32011","Flanker Task","8","6035","13","yes","1024"
"64.2857142857","64.2857142857","459.571428571","459.571428571","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","13","13","0","0","0","13","13","13","0","13","13","13","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","399","NA","6920","NA","NA","399","2","legacy","1024","2","48000","-16","experiment","sssss","2","even","9482","NA","NA","NA","33590","32520","2561","NA","NA","33588","33693","32019","2552","NA","33693","34093","Flanker Task","9","6434","14","yes","1024"
"66.6666666667","66.6666666667","459.666666667","459.666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","14","14","0","0","0","14","14","14","0","14","14","14","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","461","NA","6920","NA","NA","461","2","legacy","1024","2","48000","-16","experiment","hhhhh","2","even","9482","NA","NA","NA","35174","34101","2561","NA","NA","35172","35276","32019","2552","NA","35276","35738","Flanker Task","10","6895","15","yes","1024"
"68.75","68.75","457.75","457.75","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","15","15","0","0","0","15","15","15","0","15","15","15","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","429","NA","6920","NA","NA","429","2","legacy","1024","2","48000","-16","experiment","hhhhh","2","even","9482","NA","NA","NA","36819","35746","2561","NA","NA","36817","36920","32019","2552","NA","36920","37350","Flanker Task","11","7324","16","yes","1024"
"70.5882352941","70.5882352941","450.235294118","450.235294118","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","16","16","0","0","0","16","16","16","0","16","16","16","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","330","NA","6920","NA","NA","330","2","legacy","1024","2","48000","-16","experiment","hhshh","2","even","9482","NA","NA","NA","38435","37359","2561","NA","NA","38433","38538","32019","2552","NA","38538","38869","Flanker Task","12","7654","17","yes","1024"
"72.2222222222","72.2222222222","442.944444444","442.944444444","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","17","17","0","0","0","17","17","17","0","17","17","17","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","319","NA","6920","NA","NA","319","2","legacy","1024","2","48000","-16","experiment","sshss","2","even","9482","NA","NA","NA","39956","38877","2561","NA","NA","39954","40059","32019","2552","NA","40059","40379","Flanker Task","13","7973","18","yes","1024"
"68.4210526316","68.4210526316","435","435","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","h","0","0","0","0","18","18","0","0","0","18","18","18","0","18","18","18","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","292","NA","6920","NA","NA","292","2","legacy","1024","2","48000","-16","experiment","hhhhh","2","even","9482","NA","NA","NA","41461","40387","2561","NA","NA","41459","41564","32019","2552","NA","41564","41857","Flanker Task","13","8265","19","yes","1024"
"70","70","431.35","431.35","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","19","19","0","0","0","19","19","19","0","19","19","19","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","362","NA","6920","NA","NA","362","2","legacy","1024","2","48000","-16","experiment","hhshh","2","even","9482","NA","NA","NA","43444","42369","2561","NA","NA","43442","43547","41866","2552","NA","43547","43910","Flanker Task","14","8627","20","yes","1024"
"71.4285714286","71.4285714286","432","432","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","20","20","0","0","0","20","20","20","0","20","20","20","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","20","20","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","445","NA","6920","NA","NA","445","2","legacy","1024","2","48000","-16","experiment","sssss","2","even","9482","NA","NA","NA","44993","43920","2561","NA","NA","44991","45097","41866","2552","NA","45097","45542","Flanker Task","15","9072","21","yes","1024"
"72.7272727273","72.7272727273","431.136363636","431.136363636","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","21","21","0","0","0","21","21","21","0","21","21","21","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","21","21","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","413","NA","6920","NA","NA","413","2","legacy","1024","2","48000","-16","experiment","hhshh","2","even","9482","NA","NA","NA","46625","45551","2561","NA","NA","46622","46728","41866","2552","NA","46728","47142","Flanker Task","16","9485","22","yes","1024"
"73.9130434783","73.9130434783","427.304347826","427.304347826","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","0","22","22","0","0","0","22","22","22","0","22","22","22","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","22","22","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","h","NA","h","NA","NA","h","343","NA","6920","NA","NA","343","2","legacy","1024","2","48000","-16","experiment","hhhhh","2","even","9482","NA","NA","NA","48230","47150","2561","NA","NA","48228","48333","41866","2552","NA","48333","48677","Flanker Task","17","9828","23","yes","1024"
"70.8333333333","70.8333333333","423.958333333","423.958333333","black","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","h","0","0","0","0","23","23","0","0","0","23","23","23","0","23","23","23","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","23","23","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","347","NA","6920","NA","NA","347","2","legacy","1024","2","48000","-16","experiment","hhhhh","2","even","9482","NA","NA","NA","49759","48686","2561","NA","NA","49757","49862","41866","2552","NA","49862","50210","Flanker Task","17","10175","24","yes","1024"
"68","68","420.6","420.6","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","0","24","24","0","0","0","24","24","24","0","24","24","24","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","24","24","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","340","NA","6920","NA","NA","340","2","legacy","1024","2","48000","-16","experiment","sshss","2","even","9482","NA","NA","NA","51795","50722","2561","NA","NA","51793","51896","50219","2552","NA","51896","52237","Flanker Task","17","10515","25","yes","1024"
"69.2307692308","69.2307692308","422.653846154","422.653846154","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","25","25","0","0","0","25","25","25","0","25","25","25","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","25","25","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","474","NA","6920","NA","NA","474","2","legacy","1024","2","48000","-16","experiment","hhshh","2","even","9482","NA","NA","NA","53822","52748","2561","NA","NA","53820","53923","52245","2552","NA","53923","54398","Flanker Task","18","10989","26","yes","1024"
"70.3703703704","70.3703703704","422.296296296","422.296296296","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","26","26","0","0","0","26","26","26","0","26","26","26","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","26","26","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","413","NA","6920","NA","NA","413","2","legacy","1024","2","48000","-16","experiment","hhshh","2","even","9482","NA","NA","NA","55486","54407","2561","NA","NA","55483","55587","52245","2552","NA","55588","56001","Flanker Task","19","11402","27","yes","1024"
"71.4285714286","71.4285714286","423.178571429","423.178571429","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","27","27","0","0","0","27","27","27","0","27","27","27","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","27","27","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","447","NA","6920","NA","NA","447","2","legacy","1024","2","48000","-16","experiment","sssss","2","even","9482","NA","NA","NA","57081","56010","2561","NA","NA","57079","57184","52245","2552","NA","57184","57632","Flanker Task","20","11849","28","yes","1024"
"72.4137931034","72.4137931034","424.206896552","424.206896552","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","28","28","0","0","0","28","28","28","0","28","28","28","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","28","28","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","453","NA","6920","NA","NA","453","2","legacy","1024","2","48000","-16","experiment","sssss","2","even","9482","NA","NA","NA","58716","57641","2561","NA","NA","58714","58820","52245","2552","NA","58820","59274","Flanker Task","21","12302","29","yes","1024"
"73.3333333333","73.3333333333","434.833333333","434.833333333","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","29","29","0","0","0","29","29","29","0","29","29","29","09/25/21 22:11:33","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant","no","mono","no","18","no","white","no","yes","768","legacy","29","29","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/BK-subject-2.csv","legacy","Kafkaesque Koffka","3.2.8","0","s","NA","h","NA","NA","s","743","NA","6920","NA","NA","743","2","legacy","1024","2","48000","-16","experiment","sssss","2","even","9482","NA","NA","NA","60350","59278","2561","NA","NA","60348","60453","52245","2552","NA","60453","61197","Flanker Task","22","13045","30","yes","1024"
