"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block3","count_ErrorFeedback","count_ISI","count_Instruction3","count_block2","count_experiment","count_faster","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_new_sketchpad","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instruction3","response_faster","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_new_sketchpad","response_time","response_time_Instruction3","response_time_faster","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_new_sketchpad","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block3","time_ErrorFeedback","time_ISI","time_Instruction3","time_block2","time_experiment","time_faster","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_new_sketchpad","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"90","90","526","526","#3d3846","legacy","legacy","legacy","coongruent","1","undefined","1","h","0","0","10","10","0","0","0","10","10","0","0","0","10","10","NA","10","10","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","493.0","NA","NA","33948","NA","NA","493","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36733","NA","39243","53053","NA","NA","2781","NA","54095","2784","NA","NA","54196","54690","NA","54093","54196","Neues Experiment","10","5787.0","11","1024"
"91","91","536","536","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","11","11","0","0","0","11","11","0","0","0","11","11","NA","11","11","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","656.0","NA","NA","33948","NA","NA","656","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36733","NA","39243","54693","NA","NA","2781","NA","55736","2784","NA","NA","55837","56494","NA","55734","55837","Neues Experiment","11","6443.0","12","1024"
"92","92","528","528","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","12","12","0","0","0","12","12","0","0","0","12","12","NA","12","12","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","12","12","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","421.0","NA","NA","33948","NA","NA","421","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36733","NA","39243","56497","NA","NA","2781","NA","57541","2784","NA","NA","57642","58064","NA","57539","57642","Neues Experiment","12","6864.0","13","1024"
"92","92","524","524","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","13","13","0","0","0","13","13","0","0","0","13","13","NA","13","13","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","13","13","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","474.0","NA","NA","33948","NA","NA","474","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36733","NA","39243","58070","NA","NA","2781","NA","59118","2784","NA","NA","59219","59693","NA","59116","59219","Neues Experiment","13","7338.0","14","1024"
"93","93","519","519","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","14","14","0","0","0","14","14","0","0","0","14","14","NA","14","14","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","14","14","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","461.0","NA","NA","33948","NA","NA","461","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","36733","NA","39243","59697","NA","NA","2781","NA","60741","2784","NA","NA","60842","61304","NA","60739","60842","Neues Experiment","14","7799.0","15","1024"
"93","93","516","516","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","15","15","0","0","0","15","15","0","0","0","15","15","NA","15","15","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","15","15","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","467.0","NA","NA","33948","NA","NA","467","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36733","NA","39243","61307","NA","NA","2781","NA","62368","2784","NA","NA","62470","62938","NA","62366","62469","Neues Experiment","15","8266.0","16","1024"
"94","94","511","511","#3d3846","legacy","legacy","legacy","coongruent","1","undefined","1","h","0","0","16","16","0","0","0","16","16","0","0","0","16","16","NA","16","16","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","16","16","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","425.0","NA","NA","33948","NA","NA","425","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36733","NA","39243","62942","NA","NA","2781","NA","63981","2784","NA","NA","64082","64514","NA","63980","64082","Neues Experiment","16","8691.0","17","1024"
"94","94","516","516","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","17","17","0","0","0","17","17","0","0","0","17","17","NA","17","17","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","17","17","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","604.0","NA","NA","33948","NA","NA","604","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","36733","NA","39243","64547","NA","NA","2781","NA","65593","2784","NA","NA","65694","66299","NA","65591","65694","Neues Experiment","17","9295.0","18","1024"
"94","94","516","516","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","18","18","0","0","0","18","18","0","0","0","18","18","NA","18","18","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","18","18","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","s","NA","NA","s","NA","520.0","NA","NA","33948","NA","NA","520","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","36733","NA","39243","66305","NA","NA","2781","NA","67345","2784","NA","NA","67446","67967","NA","67343","67446","Neues Experiment","18","9815.0","19","1024"
"95","95","515","515","#3d3846","legacy","legacy","legacy","coongruent","1","undefined","1","h","0","0","19","19","0","0","0","19","19","0","0","0","19","19","NA","19","19","Wed Sep 13 04:25:38 2023","1500","The main experiment item","True","Flanker Task Lab 2.2.osexp","C:\Users\kikip\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","19","19","C:/Users/kikip/OneDrive/Desktop/HB-subject-4.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","s","NA","NA","h","NA","498.0","NA","NA","33948","NA","NA","498","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","36733","NA","39243","67970","NA","NA","2781","NA","69012","2784","NA","NA","69113","69612","NA","69011","69113","Neues Experiment","19","10313.0","20","1024"
