acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
92.94117647,92.94117647,565.8705882,565.8705882,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,84,84,0,84,0,84,0,0,0,84,84,84,84,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,4,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,344,NA,40631,21987,NA,344,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,217884,NA,225196,77647,2113,221315,NA,226277,2119,195896,NA,226380,226725,226274,226380,Flanker Experiment,79,48099,85,yes,1024
93.02325581,93.02325581,563.0697674,563.0697674,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,85,85,0,85,0,85,0,0,0,85,85,85,85,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,5,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,325,NA,40631,21987,NA,325,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,217884,NA,226731,77647,2113,221315,NA,227951,2119,195896,NA,228055,228381,227947,228055,Flanker Experiment,80,48424,86,yes,1024
93.10344828,93.10344828,560.5747126,560.5747126,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,86,86,0,86,0,86,0,0,0,86,86,86,86,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,6,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,346,NA,40631,21987,NA,346,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,217884,NA,228387,77647,2113,221315,NA,229616,2119,195896,NA,229721,230069,229610,229720,Flanker Experiment,81,48770,87,yes,1024
92.04545455,92.04545455,560.0909091,560.0909091,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,87,87,0,87,0,87,0,0,0,87,87,87,87,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,7,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,h,NA,h,518,NA,40631,21987,NA,518,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,42751,217884,NA,230078,77647,2113,221315,NA,231254,2119,195896,NA,231359,231878,231251,231358,Flanker Experiment,81,49288,88,yes,1024
92.13483146,92.13483146,556.8651685,556.8651685,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,88,88,0,88,0,88,0,0,0,88,88,88,88,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,8,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,273,NA,40631,21987,NA,273,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,217884,NA,232389,231884,2113,221315,NA,233577,2119,195896,NA,233681,233957,233571,233681,Flanker Experiment,82,49561,89,yes,1024
92.22222222,92.22222222,556.2444444,556.2444444,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,89,89,0,89,0,89,0,0,0,89,89,89,89,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,9,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,501,NA,40631,21987,NA,501,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,42751,217884,NA,233966,231884,2113,221315,NA,235214,2119,195896,NA,235319,235822,235209,235318,Flanker Experiment,83,50062,90,yes,1024
91.20879121,91.20879121,553.5274725,553.5274725,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,90,90,0,90,0,90,0,0,0,90,90,90,90,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,10,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,309,NA,40631,21987,NA,309,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,42751,217884,NA,235830,231884,2113,221315,NA,237033,2119,195896,NA,237138,237451,237028,237138,Flanker Experiment,83,50371,91,yes,1024
91.30434783,91.30434783,550.8043478,550.8043478,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,91,91,0,91,0,91,0,0,0,91,91,91,91,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,11,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,303,NA,40631,21987,NA,303,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,42751,217884,NA,237965,237460,2113,221315,NA,239151,2119,195896,NA,239255,239560,239146,239255,Flanker Experiment,84,50674,92,yes,1024
90.32258065,90.32258065,548.8817204,548.8817204,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,92,92,0,92,0,92,0,0,0,92,92,92,92,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,12,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,h,h,NA,s,372,NA,40631,21987,NA,372,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,42751,217884,NA,239567,237460,2113,221315,NA,240792,2119,195896,NA,240897,241269,240787,240897,Flanker Experiment,84,51046,93,yes,1024
90.42553191,90.42553191,550.0531915,550.0531915,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,93,93,0,93,0,93,0,0,0,93,93,93,93,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,13,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,h,NA,h,659,NA,40631,21987,NA,659,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,42751,217884,NA,241780,241275,2113,221315,NA,243034,2119,195896,NA,243138,243799,243029,243138,Flanker Experiment,85,51705,94,yes,1024
90.52631579,90.52631579,548.5578947,548.5578947,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,94,94,0,94,0,94,0,0,0,94,94,94,94,9/29/19 20:18,600,The main experiment item,yes,FlankerExperiment.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,14,79,E:/Classwork/AQMAED/MA-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,h,h,NA,h,408,NA,40631,21987,NA,408,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,42751,217884,NA,244310,241275,2113,243806,NA,245495,2119,195896,NA,245600,246010,245490,245599,Flanker Experiment,86,52113,95,yes,1024
