"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","879.36","879.36","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","24","0","0","0","24","0","24","0","24","0","0","0","24","24","24","24","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","24","24","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","656","NA","29271","NA","NA","656","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","80933","30778","NA","NA","NA","1501","NA","NA","82058","1506","NA","NA","82165","82821","82053","82164","Flanker task","25","21984","25","yes","2560"
"100","100","871.9230769230769","871.9230769230769","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","25","0","0","0","25","0","25","0","25","0","0","0","25","25","25","25","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","25","25","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","686","NA","29271","NA","NA","686","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","82829","30778","NA","NA","NA","1501","NA","NA","83961","1506","NA","NA","84065","84751","83955","84065","Flanker task","26","22670","26","yes","2560"
"100","100","862.1851851851852","862.1851851851852","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","26","0","0","0","26","0","26","0","26","0","0","0","26","26","26","26","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","26","26","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","609","NA","29271","NA","NA","609","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","84758","30778","NA","NA","NA","1501","NA","NA","85883","1506","NA","NA","85991","86600","85877","85991","Flanker task","27","23279","27","yes","2560"
"100","100","853.6071428571429","853.6071428571429","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","27","0","0","0","27","0","27","0","27","0","0","0","27","27","27","27","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","27","27","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","622","NA","29271","NA","NA","622","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","86608","30778","NA","NA","NA","1501","NA","NA","87732","1506","NA","NA","87837","88459","87727","87837","Flanker task","28","23901","28","yes","2560"
"100","100","846.6896551724138","846.6896551724138","black","legacy","legacy","legacy","0","conruent","uniform","1","undefined","1","s","28","0","0","0","28","0","28","0","28","0","0","0","28","28","28","28","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","28","28","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","653","NA","29271","NA","NA","653","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","88467","30778","NA","NA","NA","1501","NA","NA","89591","1506","NA","NA","89695","90348","89586","89695","Flanker task","29","24554","29","yes","2560"
"100","100","837.1333333333333","837.1333333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","29","0","0","0","29","0","29","0","29","0","0","0","29","29","29","29","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","29","29","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","560","NA","29271","NA","NA","560","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","90356","30778","NA","NA","NA","1501","NA","NA","91481","1506","NA","NA","91585","92146","91475","91585","Flanker task","30","25114","30","yes","2560"
"100","100","849.6451612903226","849.6451612903226","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","30","0","0","0","30","0","30","0","30","0","0","0","30","30","30","30","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","30","30","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","1225","NA","29271","NA","NA","1225","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","92153","30778","NA","NA","NA","1501","NA","NA","93277","1506","NA","NA","93392","94617","93272","93392","Flanker task","31","26339","31","yes","2560"
"96.875","96.875","840.84375","840.84375","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","31","0","0","0","31","0","31","0","31","0","0","0","31","31","31","31","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","31","31","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","568","NA","29271","NA","NA","568","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","94625","30778","NA","NA","NA","1501","NA","NA","95750","1506","NA","NA","95868","96437","95745","95868","Flanker task","31","26907","32","yes","2560"
"96.96969696969697","96.96969696969697","845.5757575757576","845.5757575757576","black","legacy","legacy","legacy","0","conruent","uniform","1","undefined","1","s","32","0","0","0","32","0","32","0","32","0","0","0","32","32","32","32","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","32","32","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","s","NA","NA","s","997","NA","29271","NA","NA","997","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","96959","30778","NA","NA","96444","1501","NA","NA","98083","1506","NA","NA","98191","99189","98078","98191","Flanker task","32","27904","33","yes","2560"
"97.05882352941177","97.05882352941177","834.2647058823529","834.2647058823529","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","33","0","0","0","33","0","33","0","33","0","0","0","33","33","33","33","Sun Sep 27 18:57:50 2020","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files","no","mono","no","18","no","white","no","yes","1440","legacy","33","33","C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/CK-subject-3.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","s","NA","NA","h","461","NA","29271","NA","NA","461","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","99196","30778","NA","NA","96444","1501","NA","NA","100321","1506","NA","NA","100425","100886","100316","100425","Flanker task","33","28365","34","yes","2560"
