"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_Instuctions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions2","count_Instructions3","count_Instuctions1","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions2","response_Instructions3","response_Instuctions1","response_finish","response_keyboard_response","response_time","response_time_Instructions2","response_time_Instructions3","response_time_Instuctions1","response_time_finish","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions2","time_Instructions3","time_Instuctions1","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"72","72","433","433","#000000","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","10","0","0","0","10","0","10","0","10","10","10","10","10","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","380.0","NA","NA","29464","NA","380","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33668","NA","NA","50088","NA","NA","4203","49586","4198","NA","NA","51126","51227","51608","51123","51227","Flanker Task","8","4772.0","11","1024"
"75","75","433","433","#000000","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","11","0","0","0","11","0","11","0","11","11","11","11","11","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","427.0","NA","NA","29464","NA","427","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33668","NA","NA","51611","NA","NA","4203","49586","4198","NA","NA","52648","52749","53177","52646","52749","Flanker Task","9","5199.0","12","1024"
"76","76","433","433","#000000","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","12","0","0","0","12","0","12","0","12","12","12","12","12","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","12","12","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","440.0","NA","NA","29464","NA","440","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33668","NA","NA","53180","NA","NA","4203","49586","4198","NA","NA","54222","54323","54764","54219","54323","Flanker Task","10","5639.0","13","1024"
"78","78","434","434","#000000","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","13","0","0","0","13","0","13","0","13","13","13","13","13","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","13","13","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","445.0","NA","NA","29464","NA","445","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33668","NA","NA","54769","NA","NA","4203","49586","4198","NA","NA","55808","55909","56356","55806","55909","Flanker Task","11","6084.0","14","1024"
"80","80","438","438","#000000","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","14","0","0","0","14","0","14","0","14","14","14","14","14","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","14","14","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","496.0","NA","NA","29464","NA","496","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33668","NA","NA","56365","NA","NA","4203","49586","4198","NA","NA","57405","57507","58004","57402","57507","Flanker Task","12","6580.0","15","1024"
"81","81","445","445","#000000","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","15","0","0","0","15","0","15","0","15","15","15","15","15","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","15","15","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","552.0","NA","NA","29464","NA","552","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33668","NA","NA","58007","NA","NA","4203","49586","4198","NA","NA","59051","59152","59705","59047","59152","Flanker Task","13","7132.0","16","1024"
"76","76","440","440","#000000","legacy","legacy","legacy","congruent","0","undefined","0","h","0","0","0","16","0","0","0","16","0","16","0","16","16","16","16","16","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","16","16","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","349.0","NA","NA","29464","NA","349","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33668","NA","NA","59714","NA","NA","4203","49586","4198","NA","NA","60756","60857","61207","60753","60857","Flanker Task","13","7481.0","17","1024"
"77","77","440","440","#000000","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","17","0","0","0","17","0","17","0","17","17","17","17","17","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","17","17","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","NA","h","NA","s","455.0","NA","NA","29464","NA","455","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33668","NA","NA","61714","NA","NA","4203","61213","4198","NA","NA","62765","62866","63322","62762","62866","Flanker Task","14","7936.0","18","1024"
"73","73","435","435","#000000","legacy","legacy","legacy","congruent","0","undefined","0","s","0","0","0","18","0","0","0","18","0","18","0","18","18","18","18","18","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","18","18","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","335.0","NA","NA","29464","NA","335","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33668","NA","NA","63331","NA","NA","4203","61213","4198","NA","NA","64370","64471","64806","64368","64471","Flanker Task","14","8271.0","19","1024"
"75","75","431","431","#000000","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","19","0","0","0","19","0","19","0","19","19","19","19","19","Fri Sep 22 20:27:11 2023","1500","The main experiment item","True","FlankerTask.osexp","C:\Users\Hannah Laskoskie\Downloads","False","mono","False","18","no","white","no","yes","768","legacy","19","19","C:/Users/Hannah Laskoskie/Downloads/HL-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","NA","h","NA","h","362.0","NA","NA","29464","NA","362","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33668","NA","NA","65311","NA","NA","4203","64810","4198","NA","NA","66347","66448","66812","66345","66448","Flanker Task","15","8633.0","20","1024"
