acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instruction1,correct_keybordresponse,correct_response,count_Block1,count_Block2,count_Block3,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction1,count_instructions2,count_instructions3,count_isi,count_keybordresponse,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction1,response_instructions2,response_instructions3,response_keybordresponse,response_time,response_time_finish,response_time_instruction1,response_time_instructions2,response_time_instructions3,response_time_keybordresponse,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction1,time_instructions2,time_instructions3,time_isi,time_keybordresponse,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
81.81818182,81.81818182,937.3636364,937.3636364,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,10,0,10,0,10,0,0,0,10,10,10,10,10,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,10,10,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,731,NA,8462,NA,NA,731,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,9956,NA,NA,21764,1490,NA,NA,32744,1493,NA,NA,31597,32849,33580,32742,32849,Flanker Task,9,10311,11,yes,1024
83.33333333,83.33333333,903.1666667,903.1666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,11,0,11,0,11,0,0,0,11,11,11,11,11,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,11,11,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,527,NA,8462,NA,NA,527,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,9956,NA,NA,21764,1490,NA,NA,34679,1493,NA,NA,33587,34784,35311,34677,34783,Flanker Task,10,10838,12,yes,1024
84.61538462,84.61538462,865.1538462,865.1538462,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,12,0,12,0,12,0,0,0,12,12,12,12,12,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,12,12,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,409,NA,8462,NA,NA,409,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,9956,NA,NA,21764,1490,NA,NA,36387,1493,NA,NA,35318,36492,36902,36385,36492,Flanker Task,11,11247,13,yes,1024
85.71428571,85.71428571,830.9285714,830.9285714,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,13,0,13,0,13,0,0,0,13,13,13,13,13,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,13,13,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,386,NA,8462,NA,NA,386,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,9956,NA,NA,21764,1490,NA,NA,38009,1493,NA,NA,36909,38114,38500,38007,38114,Flanker Task,12,11633,14,yes,1024
80,80,806.4,806.4,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,14,0,14,0,14,0,0,0,14,14,14,14,14,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,14,14,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,463,NA,8462,NA,NA,463,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,9956,NA,NA,21764,1490,NA,NA,39605,1493,NA,NA,38507,39710,40173,39603,39710,Flanker Task,12,12096,15,yes,1024
81.25,81.25,804.875,804.875,black,legacy,legacy,legacy,0,incongrunet,uniform,1,undefined,1,h,0,0,0,15,0,15,0,15,0,0,0,15,15,15,15,15,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,15,15,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,782,NA,8462,NA,NA,782,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,9956,NA,NA,41204,1490,NA,NA,41804,1493,NA,NA,40199,41907,42690,41802,41906,Flanker Task,13,12878,16,yes,1024
82.35294118,82.35294118,796.7647059,796.7647059,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,16,0,16,0,16,0,0,0,16,16,16,16,16,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,16,16,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,667,NA,8462,NA,NA,667,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,9956,NA,NA,41204,1490,NA,NA,43794,1493,NA,NA,42698,43910,44578,43792,43910,Flanker Task,14,13545,17,yes,1024
83.33333333,83.33333333,782.1666667,782.1666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,17,0,17,0,17,0,0,0,17,17,17,17,17,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,17,17,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,k,NA,NA,s,534,NA,8462,NA,NA,534,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,9956,NA,NA,41204,1490,NA,NA,45667,1493,NA,NA,44584,45769,46304,45665,45769,Flanker Task,15,14079,18,yes,1024
84.21052632,84.21052632,778.5789474,778.5789474,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,18,0,18,0,18,0,0,0,18,18,18,18,18,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,18,18,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,NA,k,NA,NA,h,714,NA,8462,NA,NA,714,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,9956,NA,NA,41204,1490,NA,NA,47400,1493,NA,NA,46312,47505,48219,47398,47504,Flanker Task,16,14793,19,yes,1024
85,85,769.15,769.15,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,19,0,19,0,19,0,0,0,19,19,19,19,19,Sat Sep 19 20:28:53 2020,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\katri\OneDrive\Documents,no,mono,no,18,no,white,no,no,768,legacy,19,19,C:/Users/katri/OneDrive/Documents/krsubject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,NA,k,NA,NA,s,590,NA,8462,NA,NA,590,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,9956,NA,NA,41204,1490,NA,NA,49338,1493,NA,NA,48245,49442,50032,49336,49442,Flanker Task,17,15383,20,yes,1024
