"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instruction","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_Errorfeedback","count_Finish","count_Fixation","count_ISI","count_Instruction","count_Instruction2","count_Instruction3","count_experiment","count_faster","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instruction","response_Instruction2","response_Instruction3","response_keyboard_response","response_time","response_time_Finish","response_time_Instruction","response_time_Instruction2","response_time_Instruction3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Errorfeedback","time_Finish","time_Fixation","time_ISI","time_Instruction","time_Instruction2","time_Instruction3","time_experiment","time_faster","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.9090909090909","90.9090909090909","707.7272727272727","707.7272727272727","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","10","0","10","10","0","0","0","0","10","10","10","10","10","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","10","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","729","NA","58728","NA","NA","729","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","61198","NA","NA","62885","NA","80770","79714","2461","NA","NA","2446","NA","80885","81615","80758","80885","Flanker Task ","10","7785","11","yes","1024"
"91.66666666666667","91.66666666666667","709.4166666666666","709.4166666666666","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","11","0","11","11","0","0","0","0","11","11","11","11","11","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","728","NA","58728","NA","NA","728","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","61198","NA","NA","62885","NA","82693","81635","2461","NA","NA","2446","NA","82807","83536","82681","82807","Flanker Task ","11","8513","12","yes","1024"
"92.3076923076923","92.3076923076923","698.2307692307693","698.2307692307693","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","12","0","12","12","0","0","0","0","12","12","12","12","12","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","12","12","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","564","NA","58728","NA","NA","564","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","61198","NA","NA","62885","NA","84613","83556","2461","NA","NA","2446","NA","84728","85293","84601","84728","Flanker Task ","12","9077","13","yes","1024"
"92.85714285714286","92.85714285714286","685.2142857142857","685.2142857142857","black","legacy","legacy","legacy","0","congruent ","uniform","1","undefined","1","s","0","0","0","13","0","13","13","0","0","0","0","13","13","13","13","13","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","13","13","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","516","NA","58728","NA","NA","516","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","61198","NA","NA","62885","NA","86371","85313","2461","NA","NA","2446","NA","86485","87002","86359","86485","Flanker Task ","13","9593","14","yes","1024"
"93.33333333333333","93.33333333333333","671.8666666666667","671.8666666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","14","0","14","14","0","0","0","0","14","14","14","14","14","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","14","14","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","485","NA","58728","NA","NA","485","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","61198","NA","NA","62885","NA","88080","87022","2461","NA","NA","2446","NA","88194","88681","88068","88194","Flanker Task ","14","10078","15","yes","1024"
"93.75","93.75","658.5","658.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","15","0","15","15","0","0","0","0","15","15","15","15","15","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","15","15","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","458","NA","58728","NA","NA","458","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","61198","NA","NA","62885","NA","89758","88701","2461","NA","NA","2446","NA","89872","90332","89746","89872","Flanker Task ","15","10536","16","yes","1024"
"94.11764705882354","94.11764705882354","654","654","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","16","0","16","16","0","0","0","0","16","16","16","16","16","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","16","16","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","582","NA","58728","NA","NA","582","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","61198","NA","NA","62885","NA","91409","90351","2461","NA","NA","2446","NA","91523","92107","91398","91523","Flanker Task ","16","11118","17","yes","1024"
"94.44444444444444","94.44444444444444","647.0555555555555","647.0555555555555","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","17","0","17","17","0","0","0","0","17","17","17","17","17","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","17","17","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","s","NA","q","NA","NA","s","529","NA","58728","NA","NA","529","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","61198","NA","NA","62885","NA","93186","92128","2461","NA","NA","2446","NA","93300","93831","93174","93300","Flanker Task ","17","11647","18","yes","1024"
"94.73684210526316","94.73684210526316","640.421052631579","640.421052631579","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","18","0","18","18","0","0","0","0","18","18","18","18","18","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","18","18","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","521","NA","58728","NA","NA","521","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","61198","NA","NA","62885","NA","94908","93851","2461","NA","NA","2446","NA","95022","95545","94896","95022","Flanker Task ","18","12168","19","yes","1024"
"95","95","633.95","633.95","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","19","0","19","19","0","0","0","0","19","19","19","19","19","Sat Sep 19 10:43:40 2020","1500","The main experiment item","yes","FlankerTask.osexp","/Users/kaylaredder/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","19","19","/Users/kaylaredder/Desktop/fr-subject-2.csv","legacy","Lentiform Loewenfeld","3.3.3","0","h","NA","q","NA","NA","h","511","NA","58728","NA","NA","511","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","61198","NA","NA","62885","NA","96623","95565","2461","NA","NA","2446","NA","96737","97250","96611","96737","Flanker Task ","19","12679","20","yes","1024"
