acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions3,count_instrutions2,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions3,response_instrutions2,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions3,response_time_instrutions2,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions3,time_instrutions2,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,819,819,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 24 12:33:15 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/Thingtwo/Desktop/NC-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.14,0,h,NA,h,NA,NA,h,819,NA,9439,NA,NA,819,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,11550,NA,NA,NA,NA,2077,NA,NA,11580,2104,NA,NA,11686,12512,11575,11686,New experiment,1,819,1,yes,1024
100,100,639.5,639.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,Sun Sep 24 12:33:15 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/Thingtwo/Desktop/NC-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.14,0,h,NA,h,NA,NA,h,460,NA,9439,NA,NA,460,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,11550,NA,NA,12518,NA,2077,NA,NA,13580,2104,NA,NA,13687,14147,13572,13687,New experiment,2,1279,2,yes,1024
100,100,544,544,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,Sun Sep 24 12:33:15 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/Thingtwo/Desktop/NC-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.14,0,h,NA,h,NA,NA,h,353,NA,9439,NA,NA,353,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,11550,NA,NA,14152,NA,2077,NA,NA,15207,2104,NA,NA,15314,15667,15200,15314,New experiment,3,1632,3,yes,1024
100,100,517,517,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,Sun Sep 24 12:33:15 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/Thingtwo/Desktop/NC-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.14,0,h,NA,h,NA,NA,h,436,NA,9439,NA,NA,436,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,11550,NA,NA,15672,NA,2077,NA,NA,16725,2104,NA,NA,16831,17267,16717,16831,New experiment,4,2068,4,yes,1024
100,100,489,489,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,Sun Sep 24 12:33:15 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/Thingtwo/Desktop/NC-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.14,0,h,NA,h,NA,NA,h,377,NA,9439,NA,NA,377,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,11550,NA,NA,17272,NA,2077,NA,NA,18322,2104,NA,NA,18428,18805,18316,18428,New experiment,5,2445,5,yes,1024
100,100,475.6666667,475.6666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,Sun Sep 24 12:33:15 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/Thingtwo/Desktop/NC-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.14,0,h,NA,h,NA,NA,h,409,NA,9439,NA,NA,409,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,11550,NA,NA,18810,NA,2077,NA,NA,19859,2104,NA,NA,19966,20375,19853,19966,New experiment,6,2854,6,yes,1024
100,100,462.5714286,462.5714286,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,Sun Sep 24 12:33:15 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/Thingtwo/Desktop/NC-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.14,0,s,NA,h,NA,NA,s,384,NA,9439,NA,NA,384,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,11550,NA,NA,20380,NA,2077,NA,NA,21429,2104,NA,NA,21536,21920,21423,21536,New experiment,7,3238,7,yes,1024
100,100,449.75,449.75,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,Sun Sep 24 12:33:15 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/Thingtwo/Desktop/NC-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.14,0,s,NA,h,NA,NA,s,360,NA,9439,NA,NA,360,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,11550,NA,NA,21925,NA,2077,NA,NA,22973,2104,NA,NA,23079,23440,22967,23079,New experiment,8,3598,8,yes,1024
100,100,442.3333333,442.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,Sun Sep 24 12:33:15 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/Thingtwo/Desktop/NC-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.14,0,s,NA,h,NA,NA,s,383,NA,9439,NA,NA,383,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,11550,NA,NA,23444,NA,2077,NA,NA,24494,2104,NA,NA,24601,24984,24488,24601,New experiment,9,3981,9,yes,1024
90,90,430,430,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,Sun Sep 24 12:33:15 2023,1500,The main experiment item,yes,Flankertask.osexp,/Users/Thingtwo/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/Thingtwo/Desktop/NC-subject-2.csv,legacy,Lentiform Loewenfeld,3.3.14,0,s,NA,h,NA,NA,s,319,NA,9439,NA,NA,319,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,11550,NA,NA,24988,NA,2077,NA,NA,26037,2104,NA,NA,26144,26464,26031,26143,New experiment,9,4300,10,yes,1024
