"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"100","100","984","984","black","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed Sep 20 10:45:35 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","/Users/test/Downloads/at-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","space","NA","NA","h","984.0","NA","100180","NA","NA","984","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","103450","NA","NA","NA","NA","3124","NA","NA","103510","3252","NA","NA","103614","104598","103503","103614","Lab 2-1","1","984.0","1","1024"
"100","100","852","852","black","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","1","1","0","1","0","1","0","0","0","1","1","1","1","Wed Sep 20 10:45:35 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","/Users/test/Downloads/at-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","space","NA","NA","s","721.0","NA","100180","NA","NA","721","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","103450","NA","NA","104605","NA","3124","NA","NA","105649","3252","NA","NA","105752","106473","105646","105752","Lab 2-1","2","1705.0","2","1024"
"100","100","777","777","black","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","2","2","0","2","0","2","0","0","0","2","2","2","2","Wed Sep 20 10:45:35 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","/Users/test/Downloads/at-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","space","NA","NA","h","628.0","NA","100180","NA","NA","628","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","103450","NA","NA","106477","NA","3124","NA","NA","107516","3252","NA","NA","107619","108247","107513","107619","Lab 2-1","3","2333.0","3","1024"
"100","100","701","701","black","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","3","3","0","3","0","3","0","0","0","3","3","3","3","Wed Sep 20 10:45:35 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","/Users/test/Downloads/at-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","space","NA","NA","s","472.0","NA","100180","NA","NA","472","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","103450","NA","NA","108251","NA","3124","NA","NA","109294","3252","NA","NA","109397","109870","109291","109397","Lab 2-1","4","2805.0","4","1024"
"100","100","650","650","black","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","4","4","0","4","0","4","0","0","0","4","4","4","4","Wed Sep 20 10:45:35 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","/Users/test/Downloads/at-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","space","NA","NA","h","445.0","NA","100180","NA","NA","445","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","103450","NA","NA","109874","NA","3124","NA","NA","110920","3252","NA","NA","111023","111469","110917","111022","Lab 2-1","5","3250.0","5","1024"
"83","83","628","628","black","legacy","legacy","legacy","incongruent","0","undefined","0","s","0","0","0","5","5","0","5","0","5","0","0","0","5","5","5","5","Wed Sep 20 10:45:35 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","/Users/test/Downloads/at-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","space","NA","NA","h","521.0","NA","100180","NA","NA","521","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","103450","NA","NA","111472","NA","3124","NA","NA","112517","3252","NA","NA","112620","113156","112514","112620","Lab 2-1","5","3771.0","6","1024"
"85","85","630","630","black","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","6","6","0","6","0","6","0","0","0","6","6","6","6","Wed Sep 20 10:45:35 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","/Users/test/Downloads/at-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","space","NA","NA","h","640.0","NA","100180","NA","NA","640","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","103450","NA","NA","113663","113159","3124","NA","NA","114707","3252","NA","NA","114811","115452","114704","114811","Lab 2-1","6","4411.0","7","1024"
"87","87","616","616","black","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","7","7","0","7","0","7","0","0","0","7","7","7","7","Wed Sep 20 10:45:35 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","/Users/test/Downloads/at-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","space","NA","NA","h","522.0","NA","100180","NA","NA","522","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","103450","NA","NA","115455","113159","3124","NA","NA","116500","3252","NA","NA","116602","117125","116497","116602","Lab 2-1","7","4933.0","8","1024"
"88","88","613","613","black","legacy","legacy","legacy","incongruent","1","undefined","1","s","0","0","0","8","8","0","8","0","8","0","0","0","8","8","8","8","Wed Sep 20 10:45:35 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","/Users/test/Downloads/at-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","space","NA","NA","s","586.0","NA","100180","NA","NA","586","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","103450","NA","NA","117129","113159","3124","NA","NA","118175","3252","NA","NA","118278","118865","118171","118278","Lab 2-1","8","5519.0","9","1024"
"90","90","651","651","black","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","9","9","0","9","0","9","0","0","0","9","9","9","9","Wed Sep 20 10:45:35 2023","1500","The main experiment item","True","Lab2.1.osexp","/Users/test/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","/Users/test/Downloads/at-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","space","NA","NA","h","991.0","NA","100180","NA","NA","991","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","103450","NA","NA","118868","113159","3124","NA","NA","119916","3252","NA","NA","120020","121012","119913","120019","Lab 2-1","9","6510.0","10","1024"
