"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ErrorFeedback","count_Fixation","count_ISI","count_Logger","count_Sequence","count_Stimulus","count_experiment","count_faster","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_new_sketchpad","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_new_sketchpad","response_time","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_new_sketchpad","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ErrorFeedback","time_Fixation","time_ISI","time_Logger","time_Sequence","time_Stimulus","time_experiment","time_faster","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_new_sketchpad","title","total_correct","total_response_time","total_responses","width"
"81","81","396","396","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","s","0","0","0","10","10","10","10","10","10","0","10","0","0","0","10","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","360.0","169423","NA","NA","360","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","171286","NA","NA","180146","187851","186822","188314","187850","187952","1858","NA","1862","NA","NA","187953","NA","Flanker Task","9","4358.0","11","1024"
"83","83","395","395","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","s","0","0","0","11","11","11","11","11","11","0","11","0","0","0","11","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","389.0","169423","NA","NA","389","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","171286","NA","NA","180146","189356","188326","189846","189354","189457","1858","NA","1862","NA","NA","189457","NA","Flanker Task","10","4747.0","12","1024"
"84","84","399","399","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","h","0","0","0","12","12","12","12","12","12","0","12","0","0","0","12","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","12","12","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","448.0","169423","NA","NA","448","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","171286","NA","NA","180146","190895","189858","191445","190893","190996","1858","NA","1862","NA","NA","190996","NA","Flanker Task","11","5195.0","13","1024"
"85","85","401","401","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","h","0","0","0","13","13","13","13","13","13","0","13","0","0","0","13","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","13","13","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","429.0","169423","NA","NA","429","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","171286","NA","NA","180146","192492","191458","193023","192490","192593","1858","NA","1862","NA","NA","192593","NA","Flanker Task","12","5624.0","14","1024"
"86","86","402","402","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","h","0","0","0","14","14","14","14","14","14","0","14","0","0","0","14","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","14","14","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","415.0","169423","NA","NA","415","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","171286","NA","NA","180146","194069","193035","194586","194067","194170","1858","NA","1862","NA","NA","194170","NA","Flanker Task","13","6039.0","15","1024"
"87","87","405","405","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","s","0","0","0","15","15","15","15","15","15","0","15","0","0","0","15","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","15","15","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","453.0","169423","NA","NA","453","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","171286","NA","NA","180146","195638","194599","196193","195636","195739","1858","NA","1862","NA","NA","195740","NA","Flanker Task","14","6492.0","16","1024"
"88","88","401","401","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","h","0","0","0","16","16","16","16","16","16","0","16","0","0","0","16","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","16","16","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","339.0","169423","NA","NA","339","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","171286","NA","NA","180146","197241","196205","197681","197239","197342","1858","NA","1862","NA","NA","197342","NA","Flanker Task","15","6831.0","17","1024"
"88","88","399","399","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","s","0","0","0","17","17","17","17","17","17","0","17","0","0","0","17","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","17","17","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","364.0","169423","NA","NA","364","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","171286","NA","NA","180146","198734","197693","199199","198732","198835","1858","NA","1862","NA","NA","198835","NA","Flanker Task","16","7195.0","18","1024"
"89","89","401","401","#000000","legacy","legacy","legacy","Congruent","1","undefined","1","s","0","0","0","18","18","18","18","18","18","0","18","0","0","0","18","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","18","18","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","439.0","169423","NA","NA","439","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","171286","NA","NA","180146","200250","199211","200792","200249","200352","1858","NA","1862","NA","NA","200353","NA","Flanker Task","17","7634.0","19","1024"
"90","90","403","403","#000000","legacy","legacy","legacy","Incongruent","1","undefined","1","h","0","0","0","19","19","19","19","19","19","0","19","0","0","0","19","0","Sun Sep 24 19:26:35 2023","1500","The main experiment item","False","Edward Banda Flanker Task.osexp","C:\Users\Edward Banda\Desktop\Avd Quant Methods 5316","False","mono","False","18","no","white","no","yes","768","legacy","19","19","C:/Users/Edward Banda/Desktop/EB-subject-3.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","432.0","169423","NA","NA","432","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","171286","NA","NA","180146","201837","200805","202370","201835","201938","1858","NA","1862","NA","NA","201938","NA","Flanker Task","18","8066.0","20","1024"
