acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_ISI,count_Instructions1,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions1,response_finish,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_Instructions1,response_time_finish,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_Instructions1,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
72.72727273,72.72727273,745.9090909,745.9090909,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,10,0,0,0,0,10,0,10,0,0,0,10,10,10,10,10,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,10,10,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,568,4131,NA,NA,NA,568,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,31442,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,32719,33288,32566,32512,32719,Flanker Task,8,8205,11,yes,1024
75,75,717.5,717.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,11,0,0,0,0,11,0,11,0,0,0,11,11,11,11,11,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,11,11,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,405,4131,NA,NA,NA,405,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,33358,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,34634,35040,34482,34427,34634,Flanker Task,9,8610,12,yes,1024
76.92307692,76.92307692,690.1538462,690.1538462,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,12,0,0,0,0,12,0,12,0,0,0,12,12,12,12,12,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,12,12,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,362,4131,NA,NA,NA,362,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,35105,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,36382,36745,36226,36172,36382,Flanker Task,10,8972,13,yes,1024
78.57142857,78.57142857,669.3571429,669.3571429,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,13,0,0,0,0,13,0,13,0,0,0,13,13,13,13,13,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,13,13,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,399,4131,NA,NA,NA,399,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,36811,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,38105,38505,37945,37888,38105,Flanker Task,11,9371,14,yes,1024
80,80,665.4666667,665.4666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,14,0,0,0,0,14,0,14,0,0,0,14,14,14,14,14,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,14,14,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,611,4131,NA,NA,NA,611,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,38573,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,39853,40466,39694,39641,39853,Flanker Task,12,9982,15,yes,1024
81.25,81.25,658.4375,658.4375,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,15,0,0,0,0,15,0,15,0,0,0,15,15,15,15,15,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,15,15,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,553,4131,NA,NA,NA,553,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,40528,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,41823,42378,41665,41608,41823,Flanker Task,13,10535,16,yes,1024
82.35294118,82.35294118,650.3529412,650.3529412,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,16,0,0,0,0,16,0,16,0,0,0,16,16,16,16,16,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,16,16,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,521,4131,NA,NA,NA,521,2,legacy,1024,2,48000,-16,experiment,HHSHH,0,even,42441,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,43726,44248,43573,43518,43726,Flanker Task,14,11056,17,yes,1024
83.33333333,83.33333333,642.6111111,642.6111111,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,17,0,0,0,0,17,0,17,0,0,0,17,17,17,17,17,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,17,17,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,511,4131,NA,NA,NA,511,2,legacy,1024,2,48000,-16,experiment,HHHHH,0,even,44302,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,45584,46097,45425,45372,45584,Flanker Task,15,11567,18,yes,1024
84.21052632,84.21052632,636.9473684,636.9473684,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,18,0,0,0,0,18,0,18,0,0,0,18,18,18,18,18,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,18,18,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,h,h,NA,NA,NA,h,535,4131,NA,NA,NA,535,2,legacy,1024,2,48000,-16,experiment,SSHSS,0,even,46160,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,47441,47978,47286,47228,47441,Flanker Task,16,12102,19,yes,1024
85,85,628.5,628.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,19,0,0,0,0,19,0,19,0,0,0,19,19,19,19,19,Fri Sep 18 21:35:23 2020,1500,The main experiment item,yes,FlankerTask.osexp,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources,no,mono,no,18,no,white,no,no,768,legacy,19,19,/Applications/OpenSesame.app/Contents/Resources/share/opensesame_resources/th-subject-0.csv,legacy,Lentiform Loewenfeld,3.3.3,0,s,h,NA,NA,NA,s,468,4131,NA,NA,NA,468,2,legacy,1024,2,48000,-16,experiment,SSSSS,0,even,48032,4853,9009,NA,NA,28421,4666,NA,NA,NA,NA,49396,49881,49207,49119,49395,Flanker Task,17,12570,20,yes,1024
