acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_getting_started,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_new_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_getting_started,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_new_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,513.7272727,513.7272727,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,10,10,0,10,0,10,0,0,0,0,10,10,NA,10,10,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,460,NA,14083,NA,NA,460,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,34904,NA,3883,NA,NA,36037,NA,3906,NA,NA,36152,36614,NA,36025,36152,Flanker Task,11,5651,11,yes,1024
91.66666667,91.66666667,499.5833333,499.5833333,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,11,11,0,11,0,11,0,0,0,0,11,11,NA,11,11,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,344,NA,14083,NA,NA,344,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,36630,NA,3883,NA,NA,37760,NA,3906,NA,NA,37875,38221,NA,37748,37875,Flanker Task,11,5995,12,yes,1024
92.30769231,92.30769231,511.9230769,511.9230769,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,12,12,0,12,0,12,0,0,0,0,12,12,NA,12,12,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,12,12,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,660,NA,14083,NA,NA,660,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,38750,38237,3883,NA,NA,39878,NA,3906,NA,NA,39992,40654,NA,39866,39992,Flanker Task,12,6655,13,yes,1024
92.85714286,92.85714286,514.3571429,514.3571429,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,13,13,0,13,0,13,0,0,0,0,13,13,NA,13,13,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,13,13,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,546,NA,14083,NA,NA,546,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,40709,38237,3883,NA,NA,41840,NA,3906,NA,NA,41954,42502,NA,41828,41954,Flanker Task,13,7201,14,yes,1024
93.33333333,93.33333333,508.8666667,508.8666667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,14,14,0,14,0,14,0,0,0,0,14,14,NA,14,14,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,14,14,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,432,NA,14083,NA,NA,432,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,42518,38237,3883,NA,NA,43649,NA,3906,NA,NA,43763,44197,NA,43636,43762,Flanker Task,14,7633,15,yes,1024
93.75,93.75,503.3125,503.3125,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,15,15,0,15,0,15,0,0,0,0,15,15,NA,15,15,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,15,15,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,420,NA,14083,NA,NA,420,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,18000,NA,NA,44212,38237,3883,NA,NA,45342,NA,3906,NA,NA,45456,45878,NA,45330,45456,Flanker Task,15,8053,16,yes,1024
94.11764706,94.11764706,504.4705882,504.4705882,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,16,16,0,16,0,16,0,0,0,0,16,16,NA,16,16,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,16,16,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,523,NA,14083,NA,NA,523,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,45893,38237,3883,NA,NA,47023,NA,3906,NA,NA,47137,47662,NA,47010,47136,Flanker Task,16,8576,17,yes,1024
94.44444444,94.44444444,500.6111111,500.6111111,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,17,17,0,17,0,17,0,0,0,0,17,17,NA,17,17,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,17,17,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,435,NA,14083,NA,NA,435,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,18000,NA,NA,47677,38237,3883,NA,NA,48806,NA,3906,NA,NA,48921,49358,NA,48794,48921,Flanker Task,17,9011,18,yes,1024
94.73684211,94.73684211,500.8947368,500.8947368,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,18,18,0,18,0,18,0,0,0,0,18,18,NA,18,18,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,18,18,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,NA,506,NA,14083,NA,NA,506,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,18000,NA,NA,49373,38237,3883,NA,NA,50504,NA,3906,NA,NA,50617,51125,NA,50492,50617,Flanker Task,18,9517,19,yes,1024
95,95,496.9,496.9,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,19,19,0,19,0,19,0,0,0,0,19,19,NA,19,19,Sun Sep 22 16:22:41 2019,1500,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,19,19,/Users/danielrazo0311/Desktop/DR-subject0.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,NA,421,NA,14083,NA,NA,421,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,18000,NA,NA,51140,38237,3883,NA,NA,52269,NA,3906,NA,NA,52383,52806,NA,52257,52383,Flanker Task,19,9938,20,yes,1024
