"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_InstructionsOne","correct_Keyboard_Response","correct_response","count_BlockOne","count_BlockThree","count_BlockTwo","count_Error_Feedback","count_Faster","count_Finish","count_Fixation","count_ISI","count_InstructionsOne","count_InstructionsThree","count_InstructionsTwo","count_Keyboard_Response","count_Logger","count_Sequence","count_Stimulus","count_experiment","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_BlockOne","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_InstructionsOne","response_InstructionsThree","response_InstructionsTwo","response_Keyboard_Response","response_time","response_time_Finish","response_time_InstructionsOne","response_time_InstructionsThree","response_time_InstructionsTwo","response_time_Keyboard_Response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_BlockOne","time_BlockThree","time_BlockTwo","time_Error_Feedback","time_Faster","time_Finish","time_Fixation","time_ISI","time_InstructionsOne","time_InstructionsThree","time_InstructionsTwo","time_Keyboard_Response","time_Logger","time_Sequence","time_Stimulus","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.9090909090909","90.9090909090909","479.09090909090907","479.09090909090907","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","10","10","0","10","10","0","0","0","10","10","10","10","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","342","NA","5637","NA","NA","342","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","11337","NA","NA","25264","NA","NA","30522","29242","5697","NA","NA","30631","30974","30511","30631","5686","Flanker Task","10","5270","11","yes","1024"
"91.66666666666667","91.66666666666667","475.8333333333333","475.8333333333333","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","11","11","0","11","11","0","0","0","11","11","11","11","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","440","NA","5637","NA","NA","440","2","legacy","1024","2","48000","-16","experiment","HHSHH","4","even","11337","NA","NA","25264","NA","NA","32262","30984","5697","NA","NA","32369","32810","32252","32369","5686","Flanker Task","11","5710","12","yes","1024"
"84.61538461538461","84.61538461538461","464.53846153846155","464.53846153846155","black","legacy","legacy","legacy","0","Incongruent","uniform","0","undefined","0","h","0","0","0","12","12","0","12","12","0","0","0","12","12","12","12","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","329","NA","5637","NA","NA","329","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","11337","NA","NA","25264","NA","NA","34037","32821","5697","NA","NA","34146","34477","34030","34145","5686","Flanker Task","11","6039","13","yes","1024"
"85.71428571428571","85.71428571428571","474.7142857142857","474.7142857142857","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","13","13","0","13","13","0","0","0","13","13","13","13","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","607","NA","5637","NA","NA","607","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","11337","NA","NA","34491","NA","NA","36277","34998","5697","NA","NA","36385","36993","36264","36384","5686","Flanker Task","12","6646","14","yes","1024"
"86.66666666666667","86.66666666666667","466.93333333333334","466.93333333333334","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","14","14","0","14","14","0","0","0","14","14","14","14","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","358","NA","5637","NA","NA","358","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","11337","NA","NA","34491","NA","NA","38208","37003","5697","NA","NA","38314","38673","38199","38313","5686","Flanker Task","13","7004","15","yes","1024"
"87.5","87.5","472.3125","472.3125","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","15","15","0","15","15","0","0","0","15","15","15","15","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","553","NA","5637","NA","NA","553","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","11337","NA","NA","34491","NA","NA","39923","38684","5697","NA","NA","40032","40587","39915","40032","5686","Flanker Task","14","7557","16","yes","1024"
"88.23529411764706","88.23529411764706","469.52941176470586","469.52941176470586","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","16","16","0","16","16","0","0","0","16","16","16","16","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","NA","s","NA","NA","s","425","NA","5637","NA","NA","425","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","11337","NA","NA","34491","NA","NA","41835","40597","5697","NA","NA","41941","42368","41827","41940","5686","Flanker Task","15","7982","17","yes","1024"
"88.88888888888889","88.88888888888889","472.5","472.5","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","17","17","0","17","17","0","0","0","17","17","17","17","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","523","NA","5637","NA","NA","523","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","11337","NA","NA","34491","NA","NA","43658","42379","5697","NA","NA","43765","44290","43648","43765","5686","Flanker Task","16","8505","18","yes","1024"
"89.47368421052632","89.47368421052632","472.6842105263158","472.6842105263158","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","18","18","0","18","18","0","0","0","18","18","18","18","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","476","NA","5637","NA","NA","476","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","11337","NA","NA","34491","NA","NA","45580","44301","5697","NA","NA","45687","46165","45571","45687","5686","Flanker Task","17","8981","19","yes","1024"
"90","90","485","485","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","19","19","0","19","19","0","0","0","19","19","19","19","0","Wed Sep 21 12:59:00 2022","1500","The main experiment item","yes","FlankerTask.osexp","C:\Users\Austin\Documents","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/Austin/Documents/AH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","NA","s","NA","NA","h","719","NA","5637","NA","NA","719","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","11337","NA","NA","34491","NA","NA","47376","46175","5697","NA","NA","47482","48202","47369","47482","5686","Flanker Task","18","9700","20","yes","1024"
