acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,condition,correct,correct_instructions1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,width
100,100,1351,1351,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,Fri Sep 15 10:55:48 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,no,768,legacy,0,0,C:/Users/Simone/Desktop/SD-subject-1.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,1351,NA,34597,NA,NA,1351,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,NA,35764,NA,NA,NA,1163,NA,NA,35806,1166,NA,NA,35907,37258,NA,35805,35907,Flanker Task,1,1351,1,1024
100,100,990,990,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,1,0,0,0,1,0,1,0,1,0,0,0,1,1,NA,1,1,Fri Sep 15 10:55:48 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,no,768,legacy,1,1,C:/Users/Simone/Desktop/SD-subject-1.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,629,NA,34597,NA,NA,629,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,37265,35764,NA,NA,NA,1163,NA,NA,38306,1166,NA,NA,38407,39036,NA,38303,38407,Flanker Task,2,1980,2,1024
100,100,816,816,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,2,0,0,0,2,0,2,0,2,0,0,0,2,2,NA,2,2,Fri Sep 15 10:55:48 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,no,768,legacy,2,2,C:/Users/Simone/Desktop/SD-subject-1.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,469,NA,34597,NA,NA,469,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,39040,35764,NA,NA,NA,1163,NA,NA,40074,1166,NA,NA,40175,40644,NA,40072,40175,Flanker Task,3,2449,3,1024
100,100,744,744,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,3,0,0,0,3,0,3,0,3,0,0,0,3,3,NA,3,3,Fri Sep 15 10:55:48 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,no,768,legacy,3,3,C:/Users/Simone/Desktop/SD-subject-1.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,530,NA,34597,NA,NA,530,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,40648,35764,NA,NA,NA,1163,NA,NA,41686,1166,NA,NA,41787,42317,NA,41684,41787,Flanker Task,4,2979,4,1024
100,100,704,704,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,4,0,0,0,4,0,4,0,4,0,0,0,4,4,NA,4,4,Fri Sep 15 10:55:48 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,no,768,legacy,4,4,C:/Users/Simone/Desktop/SD-subject-1.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,544,NA,34597,NA,NA,544,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,42321,35764,NA,NA,NA,1163,NA,NA,43353,1166,NA,NA,43454,43999,NA,43351,43454,Flanker Task,5,3523,5,1024
100,100,675,675,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,5,0,0,0,5,0,5,0,5,0,0,0,5,5,NA,5,5,Fri Sep 15 10:55:48 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,no,768,legacy,5,5,C:/Users/Simone/Desktop/SD-subject-1.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,527,NA,34597,NA,NA,527,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,44002,35764,NA,NA,NA,1163,NA,NA,45034,1166,NA,NA,45135,45662,NA,45032,45135,Flanker Task,6,4050,6,1024
100,100,674,674,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,6,0,0,0,6,0,6,0,6,0,0,0,6,6,NA,6,6,Fri Sep 15 10:55:48 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,no,768,legacy,6,6,C:/Users/Simone/Desktop/SD-subject-1.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,672,NA,34597,NA,NA,672,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,45666,35764,NA,NA,NA,1163,NA,NA,46693,1166,NA,NA,46795,47467,NA,46691,46795,Flanker Task,7,4722,7,1024
100,100,641,641,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,7,0,0,0,7,0,7,0,7,0,0,0,7,7,NA,7,7,Fri Sep 15 10:55:48 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,no,768,legacy,7,7,C:/Users/Simone/Desktop/SD-subject-1.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,407,NA,34597,NA,NA,407,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,47472,35764,NA,NA,NA,1163,NA,NA,48500,1166,NA,NA,48601,49008,NA,48498,48601,Flanker Task,8,5129,8,1024
100,100,630,630,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,8,0,0,0,8,0,8,0,8,0,0,0,8,8,NA,8,8,Fri Sep 15 10:55:48 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,no,768,legacy,8,8,C:/Users/Simone/Desktop/SD-subject-1.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,547,NA,34597,NA,NA,547,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,49012,35764,NA,NA,NA,1163,NA,NA,50044,1166,NA,NA,50145,50692,NA,50042,50145,Flanker Task,9,5676,9,1024
100,100,626,626,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,9,0,0,0,9,0,9,0,9,0,0,0,9,9,NA,9,9,Fri Sep 15 10:55:48 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,no,768,legacy,9,9,C:/Users/Simone/Desktop/SD-subject-1.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,584,NA,34597,NA,NA,584,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,50696,35764,NA,NA,NA,1163,NA,NA,51726,1166,NA,NA,51827,52411,NA,51724,51827,Flanker Task,10,6260,10,1024
