acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,condition,correct,correct_instructions1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,width
100,100,422,422,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,0,0,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,422,NA,2308,NA,NA,422,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,NA,4092,NA,NA,NA,1780,NA,NA,4133,1783,NA,NA,4234,4656,NA,4132,4234,Flanker Task,1,422,1,1024
50,50,372,372,black,legacy,legacy,legacy,incongruent,0,undefined,0,h,1,0,0,0,1,0,1,0,1,0,0,0,1,1,NA,1,1,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,1,1,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,322,NA,2308,NA,NA,322,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,4662,4092,NA,NA,NA,1780,NA,NA,5689,1783,NA,NA,5790,6112,NA,5688,5790,Flanker Task,1,744,2,1024
66,66,380,380,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,2,0,0,0,2,0,2,0,2,0,0,0,2,2,NA,2,2,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,2,2,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,398,NA,2308,NA,NA,398,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,6617,4092,NA,NA,6115,1780,NA,NA,7648,1783,NA,NA,7750,8149,NA,7646,7750,Flanker Task,2,1142,3,1024
75,75,383,383,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,3,0,0,0,3,0,3,0,3,0,0,0,3,3,NA,3,3,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,3,3,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,391,NA,2308,NA,NA,391,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,8151,4092,NA,NA,6115,1780,NA,NA,9188,1783,NA,NA,9289,9681,NA,9186,9289,Flanker Task,3,1533,4,1024
80,80,384,384,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,4,0,0,0,4,0,4,0,4,0,0,0,4,4,NA,4,4,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,4,4,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,389,NA,2308,NA,NA,389,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,9684,4092,NA,NA,6115,1780,NA,NA,10719,1783,NA,NA,10820,11210,NA,10716,10820,Flanker Task,4,1922,5,1024
83,83,381,381,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,5,0,0,0,5,0,5,0,5,0,0,0,5,5,NA,5,5,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,5,5,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,364,NA,2308,NA,NA,364,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,11218,4092,NA,NA,6115,1780,NA,NA,12248,1783,NA,NA,12349,12713,NA,12246,12349,Flanker Task,5,2286,6,1024
85,85,389,389,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,6,0,0,0,6,0,6,0,6,0,0,0,6,6,NA,6,6,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,6,6,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,440,NA,2308,NA,NA,440,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,12717,4092,NA,NA,6115,1780,NA,NA,13741,1783,NA,NA,13842,14282,NA,13739,13842,Flanker Task,6,2726,7,1024
87,87,389,389,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,7,0,0,0,7,0,7,0,7,0,0,0,7,7,NA,7,7,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,7,7,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,388,NA,2308,NA,NA,388,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,14286,4092,NA,NA,6115,1780,NA,NA,15317,1783,NA,NA,15418,15807,NA,15315,15418,Flanker Task,7,3114,8,1024
88,88,396,396,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,8,0,0,0,8,0,8,0,8,0,0,0,8,8,NA,8,8,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,8,8,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,454,NA,2308,NA,NA,454,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,15812,4092,NA,NA,6115,1780,NA,NA,16843,1783,NA,NA,16945,17399,NA,16841,16945,Flanker Task,8,3568,9,1024
90,90,419,419,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,9,0,0,0,9,0,9,0,9,0,0,0,9,9,NA,9,9,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,9,9,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,626,NA,2308,NA,NA,626,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,17404,4092,NA,NA,6115,1780,NA,NA,18439,1783,NA,NA,18540,19167,NA,18437,18540,Flanker Task,9,4194,10,1024
90,90,414,414,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,10,0,0,0,10,0,10,0,10,0,0,0,10,10,NA,10,10,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,10,10,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,364,NA,2308,NA,NA,364,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,19171,4092,NA,NA,6115,1780,NA,NA,20201,1783,NA,NA,20302,20667,NA,20200,20302,Flanker Task,10,4558,11,1024
91,91,420,420,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,11,0,0,0,11,0,11,0,11,0,0,0,11,11,NA,11,11,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,11,11,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,488,NA,2308,NA,NA,488,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,20670,4092,NA,NA,6115,1780,NA,NA,21705,1783,NA,NA,21806,22295,NA,21704,21806,Flanker Task,11,5046,12,1024
92,92,420,420,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,12,0,0,0,12,0,12,0,12,0,0,0,12,12,NA,12,12,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,12,12,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,420,NA,2308,NA,NA,420,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,22299,4092,NA,NA,6115,1780,NA,NA,23336,1783,NA,NA,23437,23858,NA,23334,23437,Flanker Task,12,5466,13,1024
92,92,420,420,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,13,0,0,0,13,0,13,0,13,0,0,0,13,13,NA,13,13,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,13,13,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,425,NA,2308,NA,NA,425,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,23863,4092,NA,NA,6115,1780,NA,NA,24895,1783,NA,NA,24996,25421,NA,24893,24996,Flanker Task,13,5891,14,1024
93,93,424,424,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,14,0,0,0,14,0,14,0,14,0,0,0,14,14,NA,14,14,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,14,14,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,481,NA,2308,NA,NA,481,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,25425,4092,NA,NA,6115,1780,NA,NA,26461,1783,NA,NA,26562,27044,NA,26458,26562,Flanker Task,14,6372,15,1024
93,93,429,429,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,15,0,0,0,15,0,15,0,15,0,0,0,15,15,NA,15,15,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,15,15,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,493,NA,2308,NA,NA,493,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,27048,4092,NA,NA,6115,1780,NA,NA,28077,1783,NA,NA,28178,28671,NA,28075,28178,Flanker Task,15,6865,16,1024
94,94,428,428,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,16,0,0,0,16,0,16,0,16,0,0,0,16,16,NA,16,16,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,16,16,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,421,NA,2308,NA,NA,421,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,28674,4092,NA,NA,6115,1780,NA,NA,29704,1783,NA,NA,29805,30226,NA,29702,29805,Flanker Task,16,7286,17,1024
94,94,432,432,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,17,0,0,0,17,0,17,0,17,0,0,0,17,17,NA,17,17,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,17,17,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,504,NA,2308,NA,NA,504,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,30230,4092,NA,NA,6115,1780,NA,NA,31270,1783,NA,NA,31371,31875,NA,31268,31371,Flanker Task,17,7790,18,1024
94,94,432,432,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,18,0,0,0,18,0,18,0,18,0,0,0,18,18,NA,18,18,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,18,18,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,424,NA,2308,NA,NA,424,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,31879,4092,NA,NA,6115,1780,NA,NA,32912,1783,NA,NA,33013,33437,NA,32911,33013,Flanker Task,18,8214,19,1024
95,95,431,431,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,19,0,0,0,19,0,19,0,19,0,0,0,19,19,NA,19,19,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,19,19,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,421,NA,2308,NA,NA,421,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,33441,4092,NA,NA,6115,1780,NA,NA,34477,1783,NA,NA,34578,34999,NA,34475,34578,Flanker Task,19,8635,20,1024
95,95,434,434,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,20,0,0,0,20,0,20,0,20,0,0,0,20,20,NA,20,20,Thu Sep 21 14:33:46 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,20,20,C:/Users/Simone/Desktop/SD-subject-4.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,494,NA,2308,NA,NA,494,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,35004,4092,NA,NA,6115,1780,NA,NA,36046,1783,NA,NA,36147,36642,NA,36044,36147,Flanker Task,20,9129,21,1024
