"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_fixation","count_getting_started","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_new_sketchpad","count_sequence","count_stimulus","count_welcome","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_new_sketchpad","response_time","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","response_time_new_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_fixation","time_getting_started","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_new_sketchpad","time_sequence","time_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","width"
"100","100","735","735","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","10","0","0","0","10","0","10","10","NA","0","0","0","10","10","0","10","10","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","633.0","51568","NA","NA","633","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","77879","59404","NA","NA","NA","7812","NA","78970","NA","7835","NA","NA","79073","79707","NA","78968","79073","NA","Flanker Task ","11","8093.0","11","1024"
"100","100","723","723","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","11","0","0","0","11","0","11","11","NA","0","0","0","11","11","0","11","11","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","594.0","51568","NA","NA","594","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","79712","59404","NA","NA","NA","7812","NA","80801","NA","7835","NA","NA","80903","81498","NA","80799","80903","NA","Flanker Task ","12","8687.0","12","1024"
"100","100","725","725","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","12","0","0","0","12","0","12","12","NA","0","0","0","12","12","0","12","12","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","12","12","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","745.0","51568","NA","NA","745","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","81502","59404","NA","NA","NA","7812","NA","82596","NA","7835","NA","NA","82698","83444","NA","82594","82698","NA","Flanker Task ","13","9432.0","13","1024"
"92","92","780","780","#3d3846","legacy","legacy","legacy","incongruent","0","undefined","0","s","13","0","0","0","13","0","13","13","NA","0","0","0","13","13","0","13","13","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","13","13","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","None","s","NA","NA","None","NA","1500.0","51568","NA","NA","1500","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","83448","59404","NA","NA","NA","7812","NA","84546","NA","7835","NA","NA","84648","86148","NA","84543","84648","NA","Flanker Task ","13","10932.0","14","1024"
"93","93","773","773","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","14","0","0","0","14","0","14","14","NA","0","0","0","14","14","0","14","14","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","14","14","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","674.0","51568","NA","NA","674","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","86655","59404","NA","NA","86154","7812","NA","87731","NA","7835","NA","NA","87833","88508","NA","87729","87833","NA","Flanker Task ","14","11606.0","15","1024"
"93","93","764","764","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","15","0","0","0","15","0","15","15","NA","0","0","0","15","15","0","15","15","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","15","15","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","622.0","51568","NA","NA","622","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","88513","59404","NA","NA","86154","7812","NA","89593","NA","7835","NA","NA","89695","90318","NA","89591","89694","NA","Flanker Task ","15","12228.0","16","1024"
"88","88","742","742","#3d3846","legacy","legacy","legacy","congruent","0","undefined","0","h","16","0","0","0","16","0","16","16","NA","0","0","0","16","16","0","16","16","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","16","16","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","396.0","51568","NA","NA","396","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","90322","59404","NA","NA","86154","7812","NA","91406","NA","7835","NA","NA","91508","91904","NA","91404","91507","NA","Flanker Task ","15","12624.0","17","1024"
"88","88","752","752","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","s","17","0","0","0","17","0","17","17","NA","0","0","0","17","17","0","17","17","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","17","17","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","926.0","51568","NA","NA","926","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","92412","59404","NA","NA","91910","7812","NA","93499","NA","7835","NA","NA","93601","94528","NA","93497","93601","NA","Flanker Task ","16","13550.0","18","1024"
"89","89","743","743","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","18","0","0","0","18","0","18","18","NA","0","0","0","18","18","0","18","18","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","18","18","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","s","NA","NA","s","NA","572.0","51568","NA","NA","572","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","94532","59404","NA","NA","91910","7812","NA","95612","NA","7835","NA","NA","95714","96286","NA","95610","95714","NA","Flanker Task ","17","14122.0","19","1024"
"90","90","735","735","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","19","0","0","0","19","0","19","19","NA","0","0","0","19","19","0","19","19","NA","Sat Sep 16 21:21:51 2023","1500","The main experiment item","True","FlankerTask.osexp","C:/Users/backs/OneDrive/Documents","False","mono","False","18","no","white","no","yes","768","legacy","19","19","C:/Users/backs/OneDrive/Documents/BZ-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","s","NA","NA","h","NA","587.0","51568","NA","NA","587","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","96291","59404","NA","NA","91910","7812","NA","97381","NA","7835","NA","NA","97483","98071","NA","97378","97483","NA","Flanker Task ","18","14709.0","20","1024"
