acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_new_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Stimulus,count_experiment,count_new_keyboard_response,count_new_logger,count_new_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_new_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_new_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Stimulus,time_experiment,time_new_keyboard_response,time_new_logger,time_new_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
90.90909091,90.90909091,535.9090909,535.9090909,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,10,10,0,10,10,0,0,0,10,0,10,10,10,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,439,NA,2395,NA,NA,439,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,14659,NA,NA,41127,NA,NA,46886,44791,12262,NA,NA,46991,12237,46991,47431,46862,Flanker Task ,10,5895,11,yes,1024
91.66666667,91.66666667,531,531,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,11,11,0,11,11,0,0,0,11,0,11,11,11,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,477,NA,2395,NA,NA,477,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,14659,NA,NA,41127,NA,NA,50144,47781,12262,NA,NA,50251,12237,50251,50729,50119,Flanker Task ,11,6372,12,yes,1024
92.30769231,92.30769231,523.4615385,523.4615385,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,12,12,0,12,12,0,0,0,12,0,12,12,12,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,12,12,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,433,NA,2395,NA,NA,433,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,14659,NA,NA,41127,NA,NA,53354,50948,12262,NA,NA,53459,12237,53459,53893,53329,Flanker Task ,12,6805,13,yes,1024
92.85714286,92.85714286,518.0714286,518.0714286,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,13,13,0,13,13,0,0,0,13,0,13,13,13,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,13,13,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,448,NA,2395,NA,NA,448,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,14659,NA,NA,41127,NA,NA,56210,54076,12262,NA,NA,56315,12237,56315,56763,56187,Flanker Task ,13,7253,14,yes,1024
93.33333333,93.33333333,512.9333333,512.9333333,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,14,14,0,14,14,0,0,0,14,0,14,14,14,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,14,14,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,441,NA,2395,NA,NA,441,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,14659,NA,NA,41127,NA,NA,59402,57046,12262,NA,NA,59507,12237,59508,59950,59378,Flanker Task ,14,7694,15,yes,1024
93.75,93.75,513.875,513.875,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,15,15,0,15,15,0,0,0,15,0,15,15,15,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,15,15,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,528,NA,2395,NA,NA,528,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,14659,NA,NA,41127,NA,NA,62555,60246,12262,NA,NA,62661,12237,62662,63190,62531,Flanker Task ,15,8222,16,yes,1024
94.11764706,94.11764706,512.6470588,512.6470588,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,16,16,0,16,16,0,0,0,16,0,16,16,16,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,16,16,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,493,NA,2395,NA,NA,493,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,14659,NA,NA,41127,NA,NA,65519,63322,12262,NA,NA,65625,12237,65625,66119,65494,Flanker Task ,16,8715,17,yes,1024
94.44444444,94.44444444,506.8333333,506.8333333,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,17,17,0,17,17,0,0,0,17,0,17,17,17,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,17,17,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,408,NA,2395,NA,NA,408,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,14659,NA,NA,41127,NA,NA,68530,66184,12262,NA,NA,68636,12237,68636,69045,68506,Flanker Task ,17,9123,18,yes,1024
94.73684211,94.73684211,502.3157895,502.3157895,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,18,18,0,18,18,0,0,0,18,0,18,18,18,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,18,18,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,421,NA,2395,NA,NA,421,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,14659,NA,NA,41127,NA,NA,71330,69156,12262,NA,NA,71438,12237,71438,71860,71305,Flanker Task ,18,9544,19,yes,1024
95,95,509.15,509.15,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,19,19,0,19,19,0,0,0,19,0,19,19,19,9/26/19 11:20,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,19,19,C:/Users/hosan/Desktop/TB_subject-04.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,639,NA,2395,NA,NA,639,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,14659,NA,NA,41127,NA,NA,74299,72258,12262,NA,NA,74408,12237,74409,75048,74276,Flanker Task ,19,10183,20,yes,1024
