"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_block1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixatiom","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_block1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixatiom","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","width"
"100","100","488","488","black","psycho","psycho","psycho","congruent","1","undefined","1","h","10","0","0","0","10","0","10","0","10","0","0","0","10","10","10","10","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","10","10","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","446.9259550096467","NA","51868.98840199865","NA","NA","446.9259550096467","2","psycho","1024","2","48000","-16","experiment","HHHHH","1","odd","71182.2456719965","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","72233.46501300693","3681.248751003295","NA","NA","72339.45222799957","72788.43244400923","72220.57713099639","72338.17936500418","Flanker task","11","5370.200022007339","11","1024"
"100","100","486","486","black","psycho","psycho","psycho","incongruent","1","undefined","1","s","11","0","0","0","11","0","11","0","11","0","0","0","11","11","11","11","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","11","11","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","472.8975929901935","NA","51868.98840199865","NA","NA","472.8975929901935","2","psycho","1024","2","48000","-16","experiment","HHSHH","1","odd","72793.0585389986","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","73843.54582100059","3681.248751003295","NA","NA","73950.24961400486","74425.10274899541","73831.80518199515","73949.93928300391","Flanker task","12","5843.097614997532","12","1024"
"100","100","480","480","black","psycho","psycho","psycho","congruent","1","undefined","1","h","12","0","0","0","12","0","12","0","12","0","0","0","12","12","12","12","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","12","12","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","402.13681300519966","NA","51868.98840199865","NA","NA","402.13681300519966","2","psycho","1024","2","48000","-16","experiment","HHHHH","1","odd","74430.13788599637","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","75491.87789700227","3681.248751003295","NA","NA","75599.14053299872","76003.31595900934","75474.08468100184","75598.78719500557","Flanker task","13","6245.234428002732","13","1024"
"100","100","474","474","black","psycho","psycho","psycho","incongruent","1","undefined","1","h","13","0","0","0","13","0","13","0","13","0","0","0","13","13","13","13","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","13","13","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","391.60351900500245","NA","51868.98840199865","NA","NA","391.60351900500245","2","psycho","1024","2","48000","-16","experiment","SSHSS","1","odd","76008.219233001","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","77058.85503500758","3681.248751003295","NA","NA","77165.57840700261","77559.0719650063","77046.28548400069","77165.22178299783","Flanker task","14","6636.837947007734","14","1024"
"100","100","470","470","black","psycho","psycho","psycho","congruent","1","undefined","1","s","14","0","0","0","14","0","14","0","14","0","0","0","14","14","14","14","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","14","14","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","415.6824940000661","NA","51868.98840199865","NA","NA","415.6824940000661","2","psycho","1024","2","48000","-16","experiment","SSSSS","1","odd","77564.0201549977","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","78615.3327350039","3681.248751003295","NA","NA","78723.55999700085","79141.15304700681","78601.94466800021","78722.91399400274","Flanker task","15","7052.5204410078","15","1024"
"100","100","472","472","black","psycho","psycho","psycho","incongruent","1","undefined","1","s","15","0","0","0","15","0","15","0","15","0","0","0","15","15","15","15","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","15","15","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","505.13917799980845","NA","51868.98840199865","NA","NA","505.13917799980845","2","psycho","1024","2","48000","-16","experiment","HHSHH","1","odd","79146.15482899535","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","80197.9178830079","3681.248751003295","NA","NA","80305.05400100083","80812.15783600055","80184.79118100367","80303.75903200184","Flanker task","16","7557.659619007609","16","1024"
"100","100","472","472","black","psycho","psycho","psycho","incongruent","1","undefined","1","s","16","0","0","0","16","0","16","0","16","0","0","0","16","16","16","16","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","16","16","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","466.48610099509824","NA","51868.98840199865","NA","NA","466.48610099509824","2","psycho","1024","2","48000","-16","experiment","HHSHH","1","odd","80817.38820100145","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","81869.39376599912","3681.248751003295","NA","NA","81976.63424100028","82445.21182600874","81856.06099800498","81976.16538099828","Flanker task","17","8024.145720002707","17","1024"
"100","100","470","470","black","psycho","psycho","psycho","congruent","1","undefined","1","s","17","0","0","0","17","0","17","0","17","0","0","0","17","17","17","17","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","17","17","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","449.00876499013975","NA","51868.98840199865","NA","NA","449.00876499013975","2","psycho","1024","2","48000","-16","experiment","SSSSS","1","odd","82449.58125700941","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","83500.49319800746","3681.248751003295","NA","NA","83606.98164900532","84057.68886800797","83487.52920200059","83606.67048199684","Flanker task","18","8473.154484992847","18","1024"
"100","100","470","470","black","psycho","psycho","psycho","incongruent","1","undefined","1","h","18","0","0","0","18","0","18","0","18","0","0","0","18","18","18","18","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","18","18","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","471.98971699981485","NA","51868.98840199865","NA","NA","471.98971699981485","2","psycho","1024","2","48000","-16","experiment","SSHSS","1","odd","84063.64140300138","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","85115.67327599914","3681.248751003295","NA","NA","85224.70140599762","85698.78124300158","85102.56724900682","85224.40691600787","Flanker task","19","8945.144201992662","19","1024"
"100","100","466","466","black","psycho","psycho","psycho","congruent","1","undefined","1","s","19","0","0","0","19","0","19","0","19","0","0","0","19","19","19","19","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","19","19","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","384.34820900147315","NA","51868.98840199865","NA","NA","384.34820900147315","2","psycho","1024","2","48000","-16","experiment","SSSSS","1","odd","85704.09375500458","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","86752.76029300585","3681.248751003295","NA","NA","86858.84523599816","87245.03757200728","86741.0749480041","86857.71886800649","Flanker task","20","9329.492410994135","20","1024"
"100","100","464","464","black","psycho","psycho","psycho","congruent","1","undefined","1","h","20","0","0","0","20","0","20","0","20","0","0","0","20","20","20","20","Sun Sep 17 15:50:54 2023","1500","The main experiment item","True","Flankertask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","psycho","20","20","/Users/xaleyelyse/Downloads/xwsubject-1.csv","psycho","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","434.8805909976363","NA","51868.98840199865","NA","NA","434.8805909976363","2","psycho","1024","2","48000","-16","experiment","HHHHH","1","odd","87249.94501999754","55567.40831199568","NA","NA","NA","3633.1986139994115","NA","NA","88300.47554400517","3681.248751003295","NA","NA","88406.09847000451","88842.96444400388","88287.8949809965","88404.96573099517","Flanker task","21","9764.373001991771","21","1024"
