condition,Deadline,Stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Sequence,count_Stimulus,count_errorFeedback,count_experiment,count_faster,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Sequence,time_Stimulus,time_errorFeedback,time_experiment,time_faster,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
Incongruent,1500,HHSHH,0,0,1500,1500,black,legacy,legacy,legacy,0,uniform,0,undefined,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,None,NA,s,NA,NA,None,1500,NA,121334,NA,NA,1500,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,125869,NA,4464,NA,NA,125865,125972,NA,4426,NA,125972,127472,Flanker Task,0,1500,1,yes,1024
Congruent,1500,SSSSS,50,50,1252,1252,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,1004,NA,121334,NA,NA,1004,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,129050,127982,4464,NA,NA,129048,129153,127478,4426,NA,129153,130160,Flanker Task,1,2504,2,yes,1024
Congruent,1500,SSSSS,66.66666667,66.66666667,1307.333333,1307.333333,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,2,2,0,0,0,2,2,2,0,2,2,2,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,1418,NA,121334,NA,NA,1418,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,131226,130164,4464,NA,NA,131223,131330,127478,4426,NA,131330,132748,Flanker Task,2,3922,3,yes,1024
Incongruent,1500,SSHSS,50,50,1355.5,1355.5,black,legacy,legacy,legacy,0,uniform,0,undefined,0,h,0,0,0,0,3,3,0,0,0,3,3,3,0,3,3,3,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,None,NA,s,NA,NA,None,1500,NA,121334,NA,NA,1500,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,133816,132753,4464,NA,NA,133814,133918,127478,4426,NA,133918,135418,Flanker Task,2,5422,4,yes,1024
Incongruent,1500,HHSHH,40,40,1384.6,1384.6,black,legacy,legacy,legacy,0,uniform,0,undefined,0,s,0,0,0,0,4,4,0,0,0,4,4,4,0,4,4,4,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,None,NA,s,NA,NA,None,1501,NA,121334,NA,NA,1501,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,136989,135927,4464,NA,NA,136987,137091,135422,4426,NA,137091,138592,Flanker Task,2,6923,5,yes,1024
Incongruent,1500,HHSHH,33.33333333,33.33333333,1403.833333,1403.833333,black,legacy,legacy,legacy,0,uniform,0,undefined,0,s,0,0,0,0,5,5,0,0,0,5,5,5,0,5,5,5,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,None,NA,s,NA,NA,None,1500,NA,121334,NA,NA,1500,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,140664,139602,4464,NA,NA,140662,140766,138596,4426,139099,140766,142266,Flanker Task,2,8423,6,yes,1024
Incongruent,1500,SSHSS,42.85714286,42.85714286,1338.714286,1338.714286,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,6,6,0,0,0,6,6,6,0,6,6,6,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,948,NA,121334,NA,NA,948,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,143836,142774,4464,NA,NA,143834,143939,142270,4426,139099,143939,144888,Flanker Task,3,9371,7,yes,1024
Congruent,1500,HHHHH,50,50,1274.5,1274.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,7,7,0,0,0,7,7,7,0,7,7,7,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,s,NA,NA,h,825,NA,121334,NA,NA,825,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,145955,144893,4464,NA,NA,145953,146057,142270,4426,139099,146057,146883,Flanker Task,4,10196,8,yes,1024
Congruent,1500,SSSSS,55.55555556,55.55555556,1224.222222,1224.222222,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,8,8,0,0,0,8,8,8,0,8,8,8,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,822,NA,121334,NA,NA,822,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,147949,146887,4464,NA,NA,147947,148051,142270,4426,139099,148052,148875,Flanker Task,5,11018,9,yes,1024
Incongruent,1500,HHSHH,60,60,1187.9,1187.9,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,9,9,0,0,0,9,9,9,0,9,9,9,Sun Sep 26 18:46:48 2021,The main experiment item,yes,FlankerTask.osexp,/Users/samonemarks/Downloads,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/samonemarks/Downloads/CM-subject-3.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,s,NA,NA,s,861,NA,121334,NA,NA,861,2,legacy,1024,2,48000,-16,experiment,3,odd,125806,NA,NA,NA,149941,148879,4464,NA,NA,149939,150043,142270,4426,139099,150043,150904,Flanker Task,6,11879,10,yes,1024
