p_go,d,RT
0.5,1,384
0.5,1,384
0.5,1,384
0.5,1,384
0.5,1,385
0.5,1,386
0.5,1,387
0.5,1,387
0.5,1,387
0.5,1,388
0.5,1,389
0.5,1,389
0.5,1,391
0.5,1,392
0.5,1,392
0.5,1,392
0.5,1,393
0.5,1,393
0.5,1,394
0.5,1,394
0.5,1,395
0.5,1,395
0.5,1,396
0.5,1,396
0.5,1,396
0.5,1,396
0.5,1,396
0.5,1,397
0.5,1,398
0.5,1,399
0.5,1,399
0.5,1,401
0.5,1,402
0.5,1,402
0.5,1,403
0.5,1,403
0.5,1,403
0.5,1,404
0.5,1,405
0.5,1,405
0.5,1,407
0.5,1,410
0.5,1,410
0.5,1,410
0.5,1,411
0.5,1,411
0.5,1,412
0.5,1,412
0.5,1,413
0.5,1,414
0.5,1,415
0.5,1,416
0.5,1,416
0.5,1,416
0.5,1,417
0.5,1,417
0.5,1,417
0.5,1,417
0.5,1,417
0.5,1,418
0.5,1,418
0.5,1,419
0.5,1,420
0.5,1,421
0.5,1,421
0.5,1,422
0.5,1,422
0.5,1,423
0.5,1,423
0.5,1,426
0.5,1,426
0.5,1,427
0.5,1,427
0.5,1,427
0.5,1,428
0.5,1,428
0.5,1,428
0.5,1,428
0.5,1,429
0.5,1,430
0.5,1,430
0.5,1,431
0.5,1,432
0.5,1,433
0.5,1,433
0.5,1,435
0.5,1,435
0.5,1,435
0.5,1,437
0.5,1,438
0.5,1,438
0.5,1,440
0.5,1,441
0.5,1,441
0.5,1,442
0.5,1,443
0.5,1,445
0.5,1,450
0.5,1,452
0.5,1,455
0.5,1,455
0.5,1,458
0.5,1,458
0.5,1,458
0.5,1,461
0.5,1,464
0.5,1,466
0.5,1,466
0.5,1,467
0.5,1,471
0.5,1,474
0.5,1,478
0.5,1,479
0.5,1,479
0.5,1,480
0.5,1,481
0.5,1,484
0.5,1,484
0.5,1,485
0.5,1,485
0.5,1,487
0.5,1,488
0.5,1,496
0.5,1,496
0.5,1,497
0.5,1,498
0.5,1,523
0.5,1,531
0.5,1,549
0.5,1,559
0.5,1,561
0.5,4,199
0.5,4,209
0.5,4,222
0.5,4,232
0.5,4,235
0.5,4,236
0.5,4,237
0.5,4,238
0.5,4,238
0.5,4,238
0.5,4,239
0.5,4,244
0.5,4,245
0.5,4,246
0.5,4,246
0.5,4,248
0.5,4,249
0.5,4,250
0.5,4,252
0.5,4,253
0.5,4,254
0.5,4,255
0.5,4,255
0.5,4,256
0.5,4,257
0.5,4,257
0.5,4,257
0.5,4,257
0.5,4,258
0.5,4,261
0.5,4,261
0.5,4,262
0.5,4,263
0.5,4,264
0.5,4,264
0.5,4,264
0.5,4,264
0.5,4,265
0.5,4,265
0.5,4,266
0.5,4,267
0.5,4,268
0.5,4,269
0.5,4,269
0.5,4,270
0.5,4,270
0.5,4,270
0.5,4,270
0.5,4,271
0.5,4,271
0.5,4,271
0.5,4,271
0.5,4,271
0.5,4,272
0.5,4,272
0.5,4,272
0.5,4,273
0.5,4,274
0.5,4,274
0.5,4,275
0.5,4,275
0.5,4,275
0.5,4,275
0.5,4,276
0.5,4,276
0.5,4,276
0.5,4,276
0.5,4,276
0.5,4,276
0.5,4,276
0.5,4,277
0.5,4,277
0.5,4,278
0.5,4,278
0.5,4,278
0.5,4,279
0.5,4,279
0.5,4,279
0.5,4,281
0.5,4,282
0.5,4,282
0.5,4,283
0.5,4,283
0.5,4,283
0.5,4,284
0.5,4,285
0.5,4,287
0.5,4,287
0.5,4,287
0.5,4,288
0.5,4,289
0.5,4,290
0.5,4,290
0.5,4,290
0.5,4,290
0.5,4,291
0.5,4,291
0.5,4,292
0.5,4,292
0.5,4,292
0.5,4,292
0.5,4,293
0.5,4,293
0.5,4,294
0.5,4,294
0.5,4,295
0.5,4,295
0.5,4,296
0.5,4,296
0.5,4,297
0.5,4,297
0.5,4,297
0.5,4,298
0.5,4,298
0.5,4,298
0.5,4,298
0.5,4,299
0.5,4,299
0.5,4,299
0.5,4,299
0.5,4,300
0.5,4,300
0.5,4,300
0.5,4,301
0.5,4,301
0.5,4,301
0.5,4,302
0.5,4,302
0.5,4,302
0.5,4,303
0.5,4,303
0.5,4,303
0.5,4,303
0.5,4,303
0.5,4,304
0.5,4,304
0.5,4,305
0.5,4,305
0.5,4,305
0.5,4,305
0.5,4,305
0.5,4,306
0.5,4,306
0.5,4,307
0.5,4,308
0.5,4,308
0.5,4,309
0.5,4,309
0.5,4,310
0.5,4,310
0.5,4,311
0.5,4,311
0.5,4,311
0.5,4,312
0.5,4,312
0.5,4,313
0.5,4,313
0.5,4,313
0.5,4,314
0.5,4,314
0.5,4,315
0.5,4,315
0.5,4,315
0.5,4,315
0.5,4,315
0.5,4,316
0.5,4,317
0.5,4,317
0.5,4,317
0.5,4,317
0.5,4,317
0.5,4,318
0.5,4,318
0.5,4,319
0.5,4,319
0.5,4,319
0.5,4,319
0.5,4,319
0.5,4,319
0.5,4,320
0.5,4,321
0.5,4,321
0.5,4,321
0.5,4,322
0.5,4,322
0.5,4,323
0.5,4,323
0.5,4,324
0.5,4,324
0.5,4,324
0.5,4,324
0.5,4,324
0.5,4,324
0.5,4,325
0.5,4,325
0.5,4,325
0.5,4,326
0.5,4,326
0.5,4,326
0.5,4,326
0.5,4,326
0.5,4,327
0.5,4,327
0.5,4,327
0.5,4,327
0.5,4,327
0.5,4,327
0.5,4,328
0.5,4,328
0.5,4,329
0.5,4,329
0.5,4,330
0.5,4,330
0.5,4,330
0.5,4,330
0.5,4,330
0.5,4,330
0.5,4,331
0.5,4,331
0.5,4,331
0.5,4,331
0.5,4,332
0.5,4,332
0.5,4,332
0.5,4,333
0.5,4,333
0.5,4,333
0.5,4,333
0.5,4,334
0.5,4,334
0.5,4,334
0.5,4,334
0.5,4,335
0.5,4,335
0.5,4,335
0.5,4,335
0.5,4,336
0.5,4,336
0.5,4,336
0.5,4,336
0.5,4,336
0.5,4,337
0.5,4,338
0.5,4,338
0.5,4,338
0.5,4,338
0.5,4,339
0.5,4,339
0.5,4,340
0.5,4,340
0.5,4,340
0.5,4,340
0.5,4,342
0.5,4,342
0.5,4,345
0.5,4,345
0.5,4,346
0.5,4,347
0.5,4,347
0.5,4,347
0.5,4,348
0.5,4,348
0.5,4,348
0.5,4,348
0.5,4,348
0.5,4,348
0.5,4,349
0.5,4,349
0.5,4,350
0.5,4,350
0.5,4,350
0.5,4,350
0.5,4,351
0.5,4,351
0.5,4,351
0.5,4,351
0.5,4,351
0.5,4,352
0.5,4,352
0.5,4,352
0.5,4,353
0.5,4,353
0.5,4,353
0.5,4,354
0.5,4,354
0.5,4,354
0.5,4,358
0.5,4,358
0.5,4,360
0.5,4,361
0.5,4,361
0.5,4,362
0.5,4,362
0.5,4,362
0.5,4,362
0.5,4,362
0.5,4,362
0.5,4,363
0.5,4,364
0.5,4,365
0.5,4,365
0.5,4,365
0.5,4,365
0.5,4,366
0.5,4,366
0.5,4,366
0.5,4,366
0.5,4,366
0.5,4,367
0.5,4,367
0.5,4,367
0.5,4,368
0.5,4,369
0.5,4,370
0.5,4,370
0.5,4,371
0.5,4,371
0.5,4,371
0.5,4,372
0.5,4,373
0.5,4,373
0.5,4,374
0.5,4,376
0.5,4,376
