"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1_sketchpad","correct_keyboard_keyboard_response","correct_response","count__logger","count_correctfeeback_sketchpad","count_exp_sequence","count_experiment","count_experimentloop","count_fixation_sketchpad","count_incorrectfeedback_sketchpad","count_instruction1_sketchpad","count_instruction2_sketchpad","count_isi_sketchpad","count_keyboard_keyboard_response","count_memoryset_sketchpad","count_practice_loop","count_probe_sketchpad","count_thankyou_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1_sketchpad","response_instruction2_sketchpad","response_keyboard_keyboard_response","response_thankyou_sketchpad","response_time","response_time_instruction1_sketchpad","response_time_instruction2_sketchpad","response_time_keyboard_keyboard_response","response_time_thankyou_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time__logger","time_correctfeeback_sketchpad","time_exp_sequence","time_experiment","time_experimentloop","time_fixation_sketchpad","time_incorrectfeedback_sketchpad","time_instruction1_sketchpad","time_instruction2_sketchpad","time_isi_sketchpad","time_keyboard_keyboard_response","time_memoryset_sketchpad","time_practice_loop","time_probe_sketchpad","time_thankyou_sketchpad","title","total_correct","total_response_time","total_responses","width"
"0","0","690","690","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 15 08:25:54 2023","The main experiment item","False","Sternbergtask.osexp","C:/Users/User/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/Desktop/subject-1.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","right","left","NA","right","NA","690.0","1039","NA","690","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","9780","NA","4885","3497","NA","4886","NA","3519","NA","7089","9090","5887","4558","9090","NA","Sternberg task","0","690.0","1","1024"
"50","50","673","673","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct 15 08:25:54 2023","The main experiment item","False","Sternbergtask.osexp","C:/Users/User/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/Desktop/subject-1.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","656.0","1039","NA","656","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","15749","NA","10889","3497","NA","10890","9812","3519","NA","13092","15093","11891","4558","15093","NA","Sternberg task","1","1346.0","2","1024"
"66","66","799","799","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct 15 08:25:54 2023","The main experiment item","False","Sternbergtask.osexp","C:/Users/User/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/Desktop/subject-1.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","1051.0","1039","NA","1051","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","22089","15755","16832","3497","NA","16834","9812","3519","NA","19036","21038","17835","4558","21038","NA","Sternberg task","2","2397.0","3","1024"
"75","75","769","769","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct 15 08:25:54 2023","The main experiment item","False","Sternbergtask.osexp","C:/Users/User/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/Desktop/subject-1.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","679.0","1039","NA","679","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","28058","22095","23174","3497","NA","23175","9812","3519","NA","25377","27379","24176","4558","27378","NA","Sternberg task","3","3076.0","4","1024"
"80","80","729","729","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct 15 08:25:54 2023","The main experiment item","False","Sternbergtask.osexp","C:/Users/User/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/Desktop/subject-1.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","572.0","1039","NA","572","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","33909","28065","29133","3497","NA","29134","9812","3519","NA","31336","33337","30135","4558","33337","NA","Sternberg task","4","3648.0","5","1024"
"83","83","756","756","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct 15 08:25:54 2023","The main experiment item","False","Sternbergtask.osexp","C:/Users/User/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/Desktop/subject-1.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","892.0","1039","NA","892","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","40087","33915","34991","3497","NA","34992","9812","3519","NA","37194","39195","35993","4558","39195","NA","Sternberg task","5","4540.0","6","1024"
"85","85","726","726","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct 15 08:25:54 2023","The main experiment item","False","Sternbergtask.osexp","C:/Users/User/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/Desktop/subject-1.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","left","NA","left","NA","544.0","1039","NA","544","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","45918","40093","41170","3497","NA","41171","9812","3519","NA","43373","45374","42172","4558","45374","NA","Sternberg task","6","5084.0","7","1024"
"87","87","719","719","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct 15 08:25:54 2023","The main experiment item","False","Sternbergtask.osexp","C:/Users/User/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/Desktop/subject-1.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","left","left","NA","left","NA","670.0","1039","NA","670","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","51883","45924","47009","3497","NA","47010","9812","3519","NA","49212","51213","48011","4558","51213","NA","Sternberg task","7","5754.0","8","1024"
"88","88","758","758","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct 15 08:25:54 2023","The main experiment item","False","Sternbergtask.osexp","C:/Users/User/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/Desktop/subject-1.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","left","NA","left","NA","1074.0","1039","NA","1074","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","58245","51890","52966","3497","NA","52967","9812","3519","NA","55169","57171","53968","4558","57171","NA","Sternberg task","8","6828.0","9","1024"
"90","90","743","743","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct 15 08:25:54 2023","The main experiment item","False","Sternbergtask.osexp","C:/Users/User/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/Desktop/subject-1.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","611.0","1039","NA","611","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","64139","58251","59322","3497","NA","59324","9812","3519","NA","61527","63528","60325","4558","63528","NA","Sternberg task","9","7439.0","10","1024"
