"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_PracticeLoop","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instructions1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_new_loop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instructions1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_PracticeLoop","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instructions1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_new_loop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","0","0","Sun Oct 25 14:14:30 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3/MR-subject-4.csv","legacy","5","Lentiform Loewenfeld","3.3.5","0","n","0","None","right","NA","None","NA","2000","17086","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","21525","19134","NA","19283","2026","NA","19296","NA","2041","NA","23539","20310","25539","NA","23539","NA","Sternberg Task ","0","2000","1","yes","1024"
"0","0","1529.5","1529.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","0","1","1","0","0","1","1","0","0","1","1","1","NA","1","0","Sun Oct 25 14:14:30 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3/MR-subject-4.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.5","0","n","0","left","right","NA","left","NA","1059","17086","NA","1059","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","28893","19134","NA","26651","2026","NA","26663","25584","2041","NA","30907","27677","31967","NA","30907","NA","Sternberg Task ","0","3059","2","yes","1024"
"33.333333333333336","33.333333333333336","1587.3333333333333","1587.3333333333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","0","2","2","0","0","2","2","0","0","2","2","2","NA","2","0","Sun Oct 25 14:14:30 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3/MR-subject-4.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","NA","right","NA","1703","17086","NA","1703","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","35292","19134","NA","33043","2026","NA","33057","31986","2041","NA","37306","34075","39010","NA","37306","NA","Sternberg Task ","1","4762","3","yes","1024"
"25","25","1556","1556","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","3","0","3","3","0","0","3","3","0","0","3","3","3","NA","3","0","Sun Oct 25 14:14:30 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3/MR-subject-4.csv","legacy","6","Lentiform Loewenfeld","3.3.5","1","y","0","right","right","NA","right","NA","1462","17086","NA","1462","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","42322","19134","39023","40079","2026","NA","40092","31986","2041","NA","44336","41106","45799","NA","44336","NA","Sternberg Task ","1","6224","4","yes","1024"
"20","20","1644.8","1644.8","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","4","0","4","4","0","0","4","4","0","0","4","4","4","NA","4","0","Sun Oct 25 14:14:30 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3/MR-subject-4.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.5","4","y","0","None","right","NA","None","NA","2000","17086","NA","2000","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","49118","19134","39023","46875","2026","NA","46889","45820","2041","NA","51131","47903","53131","NA","51131","NA","Sternberg Task ","1","8224","5","yes","1024"
"33.333333333333336","33.333333333333336","1553.1666666666667","1553.1666666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","0","5","5","0","0","5","5","0","0","5","5","5","NA","5","0","Sun Oct 25 14:14:30 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3/MR-subject-4.csv","legacy","2 1","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","NA","right","NA","1095","17086","NA","1095","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","56449","19134","39023","54207","2026","NA","54219","53152","2041","NA","58462","55233","59558","NA","58462","NA","Sternberg Task ","2","9319","6","yes","1024"
"42.857142857142854","42.857142857142854","1486.7142857142858","1486.7142857142858","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","0","6","6","0","0","6","6","0","0","6","6","6","NA","6","0","Sun Oct 25 14:14:30 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3/MR-subject-4.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.5","2","y","0","left","right","NA","left","NA","1088","17086","NA","1088","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","62882","19134","59582","60637","2026","NA","60650","53152","2041","NA","64897","61665","65986","NA","64896","NA","Sternberg Task ","3","10407","7","yes","1024"
"50","50","1449.25","1449.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","0","7","7","0","0","7","7","0","0","7","7","7","NA","7","0","Sun Oct 25 14:14:30 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3/MR-subject-4.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.5","1","y","0","left","right","NA","left","NA","1187","17086","NA","1187","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","69307","19134","66007","67062","2026","NA","67075","53152","2041","NA","71321","68090","72508","NA","71321","NA","Sternberg Task ","4","11594","8","yes","1024"
"55.55555555555556","55.55555555555556","1385.5555555555557","1385.5555555555557","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","8","8","0","0","8","8","0","0","8","8","8","NA","8","0","Sun Oct 25 14:14:30 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3/MR-subject-4.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.5","0","n","0","right","right","NA","right","NA","876","17086","NA","876","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","75828","19134","72529","73584","2026","NA","73597","53152","2041","NA","77842","74612","78718","NA","77842","NA","Sternberg Task ","5","12470","9","yes","1024"
"50","50","1447","1447","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","9","0","9","9","0","0","9","9","0","0","9","9","9","NA","9","0","Sun Oct 25 14:14:30 2020","The main experiment item","yes","NA","SternbergTask.osexp","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/kaylaredder/Desktop/Tarleton /AdvancedQuant/Lab3/MR-subject-4.csv","legacy","4 8","Lentiform Loewenfeld","3.3.5","1","y","0","None","right","NA","None","NA","2000","17086","NA","2000","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","82037","19134","78739","79794","2026","NA","79806","53152","2041","NA","84051","80821","86051","NA","84051","NA","Sternberg Task ","5","14470","10","yes","1024"
