"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_PracticeLoop","count_correctFeedback","count_exSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_PracticeLoop","time_correctFeedback","time_exSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","width"
"100","100","1474","1474","black","practice","legacy","legacy","legacy","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Oct 17 16:10:19 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","0","0","/Users/baileymcwhirter/BMsubject-4.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","left","right","NA","left","NA","1474.0","34137","NA","1474","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","39746","36758","NA","37533","2454","NA","37536","NA","2529","NA","41749","43224","38541","41749","NA","Sternberg Task","1","1474.0","1","1024"
"100","100","1449","1449","black","practice","legacy","legacy","legacy","1","undefined","1","right","1","0","1","1","0","0","1","1","0","0","1","1","1","1","0","Tue Oct 17 16:10:19 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","1","1","/Users/baileymcwhirter/BMsubject-4.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","1425.0","34137","NA","1425","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","46504","36758","43251","44291","2454","NA","44294","NA","2529","NA","48517","49942","45297","48517","NA","Sternberg Task","2","2899.0","2","1024"
"100","100","1233","1233","black","practice","legacy","legacy","legacy","1","undefined","1","left","2","0","2","2","0","0","2","2","0","0","2","2","2","2","0","Tue Oct 17 16:10:19 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","2","2","/Users/baileymcwhirter/BMsubject-4.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","802.0","34137","NA","802","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","53197","36758","49946","50987","2454","NA","50989","NA","2529","NA","55199","56001","51992","55199","NA","Sternberg Task","3","3701.0","3","1024"
"100","100","1134","1134","black","practice","legacy","legacy","legacy","1","undefined","1","right","3","0","3","3","0","0","3","3","0","0","3","3","3","3","0","Tue Oct 17 16:10:19 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","3","3","/Users/baileymcwhirter/BMsubject-4.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","836.0","34137","NA","836","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","59258","36758","56004","57046","2454","NA","57048","NA","2529","NA","61260","62096","58052","61260","NA","Sternberg Task","4","4537.0","4","1024"
"100","100","1113","1113","black","practice","legacy","legacy","legacy","1","undefined","1","left","4","0","4","4","0","0","4","4","0","0","4","4","4","4","0","Tue Oct 17 16:10:19 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","4","4","/Users/baileymcwhirter/BMsubject-4.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","right","NA","left","NA","1030.0","34137","NA","1030","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","65353","36758","62100","63140","2454","NA","63143","NA","2529","NA","67359","68390","64147","67358","NA","Sternberg Task","5","5567.0","5","1024"
"100","100","1097","1097","black","practice","legacy","legacy","legacy","1","undefined","1","left","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","Tue Oct 17 16:10:19 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","5","5","/Users/baileymcwhirter/BMsubject-4.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","1017.0","34137","NA","1017","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","71642","36758","68393","69429","2454","NA","69432","NA","2529","NA","73644","74661","70437","73644","NA","Sternberg Task","6","6584.0","6","1024"
"100","100","1029","1029","black","practice","legacy","legacy","legacy","1","undefined","1","left","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","Tue Oct 17 16:10:19 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","6","6","/Users/baileymcwhirter/BMsubject-4.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","NA","620.0","34137","NA","620","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","77917","36758","74664","75707","2454","NA","75709","NA","2529","NA","79919","80540","76711","79919","NA","Sternberg Task","7","7204.0","7","1024"
"100","100","1016","1016","black","practice","legacy","legacy","legacy","1","undefined","1","right","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","Tue Oct 17 16:10:19 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","7","7","/Users/baileymcwhirter/BMsubject-4.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","931.0","34137","NA","931","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","83786","36758","80543","81574","2454","NA","81576","NA","2529","NA","85788","86719","82581","85788","NA","Sternberg Task","8","8135.0","8","1024"
"100","100","999","999","black","practice","legacy","legacy","legacy","1","undefined","1","right","8","0","8","8","0","0","8","8","0","0","8","8","8","8","0","Tue Oct 17 16:10:19 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","8","8","/Users/baileymcwhirter/BMsubject-4.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","860.0","34137","NA","860","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","89976","36758","86722","87761","2454","NA","87764","NA","2529","NA","91979","92840","88769","91979","NA","Sternberg Task","9","8995.0","9","1024"
"90","90","959","959","black","practice","legacy","legacy","legacy","0","undefined","0","left","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","Tue Oct 17 16:10:19 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","9","9","/Users/baileymcwhirter/BMsubject-4.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","right","right","NA","right","NA","600.0","34137","NA","600","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","96098","36758","92843","93885","2454","NA","93887","NA","2529","NA","98100","98701","94891","98100","NA","Sternberg Task","9","9595.0","10","1024"
