"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_experiment","count_experimentLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_memoryset","count_new_keyboard_response","count_new_logger","count_practiceLoop","count_probe","count_thankyou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_new_keyboard_response","response_thankyou","response_time","response_time_instruction1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankyou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_experiment","time_experimentLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_memoryset","time_new_keyboard_response","time_new_logger","time_practiceLoop","time_probe","time_thankyou","title","total_correct","total_response_time","total_responses","width"
"100","100","364","364","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Oct 21 14:40:16 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-3.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","364.0","1330","NA","364","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","11134","NA","5674","NA","8932","8933","NA","5681","NA","9933","13136","13500","7013","13135","NA","Sternberg Task","1","364.0","1","1024"
"50","50","337","337","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","1","1","0","0","1","1","1","0","0","1","1","1","0","1","0","Sat Oct 21 14:40:16 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-3.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","right","right","NA","right","NA","310.0","1330","NA","310","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","16798","13543","5674","NA","14596","14597","NA","5681","NA","15597","18800","19110","7013","18799","NA","Sternberg Task","1","674.0","2","1024"
"66","66","413","413","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","2","2","0","0","2","2","2","0","0","2","2","2","0","2","0","Sat Oct 21 14:40:16 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-3.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","right","NA","left","NA","567.0","1330","NA","567","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","22371","13543","5674","NA","20169","20170","19118","5681","NA","21171","24371","24939","7013","24371","NA","Sternberg Task","2","1241.0","3","1024"
"50","50","319","319","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","3","3","0","0","3","3","3","0","0","3","3","3","0","3","0","Sat Oct 21 14:40:16 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-3.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","right","right","NA","right","NA","37.0","1330","NA","37","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","28211","24966","5674","NA","26009","26010","19118","5681","NA","27010","30213","30251","7013","30212","NA","Sternberg Task","2","1278.0","4","1024"
"40","40","310","310","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","4","4","0","0","4","4","4","0","0","4","4","4","0","4","0","Sat Oct 21 14:40:16 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-3.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","left","right","NA","left","NA","276.0","1330","NA","276","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","33496","24966","5674","NA","31295","31296","30259","5681","NA","32296","35496","35773","7013","35496","NA","Sternberg Task","2","1554.0","5","1024"
"33","33","376","376","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","5","5","0","0","5","5","5","0","0","5","5","5","0","5","0","Sat Oct 21 14:40:16 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-3.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","right","right","NA","right","NA","706.0","1330","NA","706","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","39036","24966","5674","NA","36835","36835","35781","5681","NA","37835","41036","41743","7013","41036","NA","Sternberg Task","2","2260.0","6","1024"
"28","28","385","385","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","6","6","0","0","6","6","6","0","0","6","6","6","0","6","0","Sat Oct 21 14:40:16 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-3.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","left","right","NA","left","NA","438.0","1330","NA","438","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","45002","24966","5674","NA","42799","42801","41750","5681","NA","43801","47002","47441","7013","47002","NA","Sternberg Task","2","2698.0","7","1024"
"37","37","392","392","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","7","7","0","0","7","7","7","0","0","7","7","7","0","7","0","Sat Oct 21 14:40:16 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-3.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","442.0","1330","NA","442","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","50695","24966","5674","NA","48493","48494","47448","5681","NA","49494","52695","53138","7013","52695","NA","Sternberg Task","3","3140.0","8","1024"
"33","33","398","398","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","8","8","0","0","8","8","8","0","0","8","8","8","0","8","0","Sat Oct 21 14:40:16 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-3.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","left","right","NA","left","NA","444.0","1330","NA","444","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","56414","53164","5674","NA","54212","54213","47448","5681","NA","55213","58415","58860","7013","58414","NA","Sternberg Task","3","3584.0","9","1024"
"30","30","363","363","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","9","9","0","0","9","9","9","0","0","9","9","9","0","9","0","Sat Oct 21 14:40:16 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-3.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","right","right","NA","right","NA","55.0","1330","NA","55","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","62110","53164","5674","NA","59907","59908","58868","5681","NA","60908","64111","64167","7013","64111","NA","Sternberg Task","3","3639.0","10","1024"
