acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExpSequence,count_ExperimentLoop,count_Fixation,count_ISI,count_Instruction1,count_Instructions2,count_MemorySet,count_PracticeLoop,count_Probe,count_ThankYou,count_experiment,count_incorrectFeedback,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_PracticeLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instructions2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instructions2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExpSequence,time_ExperimentLoop,time_Fixation,time_ISI,time_Instruction1,time_Instructions2,time_MemorySet,time_PracticeLoop,time_Probe,time_ThankYou,time_experiment,time_incorrectFeedback,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
90.90909091,90.90909091,853.5454545,853.5454545,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,10,10,0,10,10,0,0,10,0,10,0,0,10,10,10,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,10,10,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,right,left,NA,NA,right,973,350743,NA,NA,973,2,legacy,4,1024,2,48000,-16,experiment,4,even,5,414476,415586,NA,415587,417797,2426,NA,416592,353171,419801,NA,2424,NA,419802,420775,Sternberg Task,10,9389,11,yes,1024
91.66666667,91.66666667,854.6666667,854.6666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,11,11,0,11,11,0,0,11,0,11,0,0,11,11,11,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,11,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,NA,NA,right,867,350743,NA,NA,867,2,legacy,6,1024,2,48000,-16,experiment,4,even,6,414476,421890,NA,421892,424103,2426,NA,422896,353171,426108,NA,2424,420782,426108,426975,Sternberg Task,11,10256,12,yes,1024
92.30769231,92.30769231,839.8461538,839.8461538,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,12,12,0,12,12,0,0,12,0,12,0,0,12,12,12,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,0,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,6 9 4 5 3 2,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,662,350743,448808,NA,662,2,legacy,6,1024,2,48000,-16,experiment,4,even,8,426980,876914,876823,876916,879124,2426,428014,877920,353171,881128,NA,2424,420782,881129,881791,Sternberg Task,12,10918,13,yes,1024
92.85714286,92.85714286,829.4285714,829.4285714,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,13,13,0,13,13,0,0,13,0,13,0,0,13,13,13,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,1,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,9 6 2 4 1,Kafkaesque Koffka,3.2.8,4,y,0,left,left,left,NA,left,694,350743,448808,NA,694,2,legacy,5,1024,2,48000,-16,experiment,4,even,4,881896,883003,876823,883005,885212,2426,428014,884007,353171,887216,NA,2424,420782,887217,887911,Sternberg Task,13,11612,14,yes,1024
86.66666667,86.66666667,820.7333333,820.7333333,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,14,14,0,14,14,0,0,14,0,14,0,0,14,14,14,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,2,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,3 5 7 1,Kafkaesque Koffka,3.2.8,3,y,0,right,left,left,NA,right,699,350743,448808,NA,699,2,legacy,4,1024,2,48000,-16,experiment,4,even,7,887921,889042,876823,889043,891253,2426,428014,890048,353171,893258,NA,2424,420782,893258,893957,Sternberg Task,13,12311,15,yes,1024
87.5,87.5,811.5625,811.5625,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,15,15,0,15,15,0,0,15,0,15,0,0,15,15,15,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,3,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,9 8 4,Kafkaesque Koffka,3.2.8,1,y,0,left,left,left,NA,left,674,350743,448808,NA,674,2,legacy,3,1024,2,48000,-16,experiment,4,even,9,887921,895083,876823,895085,897295,2426,428014,896090,353171,899301,NA,2424,893964,899302,899977,Sternberg Task,14,12985,16,yes,1024
88.23529412,88.23529412,806.8235294,806.8235294,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,16,16,0,16,16,0,0,16,0,16,0,0,16,16,16,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,4,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,8 3,Kafkaesque Koffka,3.2.8,2,y,0,left,left,left,NA,left,731,350743,448808,NA,731,2,legacy,2,1024,2,48000,-16,experiment,4,even,3,899982,901088,876823,901089,903299,2426,428014,902094,353171,905305,NA,2424,893964,905305,906037,Sternberg Task,15,13716,17,yes,1024
88.88888889,88.88888889,828.5,828.5,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,17,17,0,17,17,0,0,17,0,17,0,0,17,17,17,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,5,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,7 1 8 5 6 2,Kafkaesque Koffka,3.2.8,2,y,0,left,left,left,NA,left,1197,350743,448808,NA,1197,2,legacy,6,1024,2,48000,-16,experiment,4,even,1,906042,907143,876823,907145,909356,2426,428014,908151,353171,911361,NA,2424,893964,911361,912558,Sternberg Task,16,14913,18,yes,1024
89.47368421,89.47368421,841.3684211,841.3684211,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,18,18,0,18,18,0,0,18,0,18,0,0,18,18,18,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,6,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,1 7 8 3 9,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,1073,350743,448808,NA,1073,2,legacy,5,1024,2,48000,-16,experiment,4,even,2,912563,913654,876823,913655,915865,2426,428014,914659,353171,917870,NA,2424,893964,917870,918944,Sternberg Task,17,15986,19,yes,1024
90,90,849.3,849.3,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,19,19,0,19,19,0,0,19,0,19,0,0,19,19,19,10/27/19 19:58,The main experiment item,yes,SternbergTask.osexp,E:\Classwork\AQMAED,no,mono,no,18,no,white,no,yes,768,legacy,7,11,E:/Classwork/AQMAED/Stenberg/RS-subject-4.csv,legacy,8 4 3 9,Kafkaesque Koffka,3.2.8,0,n,0,right,left,left,NA,right,1000,350743,448808,NA,1000,2,legacy,4,1024,2,48000,-16,experiment,4,even,5,918949,920056,876823,920057,922267,2426,428014,921062,353171,924272,NA,2424,893964,924272,925273,Sternberg Task,18,16986,20,yes,1024
