"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1_sketchpad","correct_keyboard_keyboard_response","correct_response","count__logger","count_correctfeeback_sketchpad","count_exp_sequence","count_experiment","count_experimentloop","count_fixation_sketchpad","count_incorrectfeedback_sketchpad","count_instruction1_sketchpad","count_instruction2_sketchpad","count_isi_sketchpad","count_keyboard_keyboard_response","count_memoryset_sketchpad","count_practice_loop","count_probe_sketchpad","count_thankyou_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1_sketchpad","response_instruction2_sketchpad","response_keyboard_keyboard_response","response_thankyou_sketchpad","response_time","response_time_instruction1_sketchpad","response_time_instruction2_sketchpad","response_time_keyboard_keyboard_response","response_time_thankyou_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time__logger","time_correctfeeback_sketchpad","time_exp_sequence","time_experiment","time_experimentloop","time_fixation_sketchpad","time_incorrectfeedback_sketchpad","time_instruction1_sketchpad","time_instruction2_sketchpad","time_isi_sketchpad","time_keyboard_keyboard_response","time_memoryset_sketchpad","time_practice_loop","time_probe_sketchpad","time_thankyou_sketchpad","title","total_correct","total_response_time","total_responses","width"
"100","100","1314","1314","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 22 14:00:21 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/User/Desktop/subject-3.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","1314.0","4125","NA","1314","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","12447","NA","6930","2394","NA","6931","NA","2401","NA","9132","11132","7931","6527","11132","NA","Sternberg task","1","1314.0","1","1024"
"100","100","999","999","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct 22 14:00:21 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/User/Desktop/subject-3.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","684.0","4125","NA","684","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","18429","12486","13541","2394","NA","13542","NA","2401","NA","15744","17745","14543","6527","17745","NA","Sternberg task","2","1998.0","2","1024"
"100","100","875","875","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct 22 14:00:21 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/User/Desktop/subject-3.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","629.0","4125","NA","629","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","24322","18435","19489","2394","NA","19490","NA","2401","NA","21692","23693","20491","6527","23693","NA","Sternberg task","3","2627.0","3","1024"
"100","100","883","883","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct 22 14:00:21 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/User/Desktop/subject-3.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","907.0","4125","NA","907","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","30489","24328","25378","2394","NA","25379","NA","2401","NA","27579","29581","26379","6527","29580","NA","Sternberg task","4","3534.0","4","1024"
"100","100","1011","1011","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct 22 14:00:21 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/User/Desktop/subject-3.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","1525.0","4125","NA","1525","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","37271","30495","31541","2394","NA","31543","NA","2401","NA","33745","35746","32544","6527","35745","NA","Sternberg task","5","5059.0","5","1024"
"100","100","1112","1112","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct 22 14:00:21 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/User/Desktop/subject-3.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","left","NA","left","NA","1613.0","4125","NA","1613","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","44142","37278","38325","2394","NA","38326","NA","2401","NA","40529","42529","39328","6527","42529","NA","Sternberg task","6","6672.0","6","1024"
"100","100","1119","1119","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct 22 14:00:21 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/User/Desktop/subject-3.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","left","NA","left","NA","1161.0","4125","NA","1161","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","50561","44148","45196","2394","NA","45198","NA","2401","NA","47399","49400","46198","6527","49400","NA","Sternberg task","7","7833.0","7","1024"
"100","100","1089","1089","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct 22 14:00:21 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/User/Desktop/subject-3.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","881.0","4125","NA","881","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","56713","50568","51629","2394","NA","51630","NA","2401","NA","53831","55831","52631","6527","55831","NA","Sternberg task","8","8714.0","8","1024"
"100","100","1043","1043","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct 22 14:00:21 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/User/Desktop/subject-3.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","673.0","4125","NA","673","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","62637","56715","57761","2394","NA","57762","NA","2401","NA","59962","61963","58762","6527","61962","NA","Sternberg task","9","9387.0","9","1024"
"100","100","1006","1006","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct 22 14:00:21 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/User/Desktop/subject-3.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","681.0","4125","NA","681","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","68575","62643","63688","2394","NA","63689","NA","2401","NA","65892","67893","64691","6527","67892","NA","Sternberg task","10","10068.0","10","1024"
