"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_PracticeLoop","count_correctFeedback","count_exSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_PracticeLoop","time_correctFeedback","time_exSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","width"
"100","100","1146","1146","black","practice","legacy","legacy","legacy","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","0","0","/Users/baileymcwhirter/subject-2.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","1146.0","6610","NA","1146","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","10109","7744","NA","7893","1071","NA","7898","NA","1115","NA","12114","13266","8902","12114","NA","Sternberg Task","1","1146.0","1","1024"
"100","100","1111","1111","black","practice","legacy","legacy","legacy","1","undefined","1","right","1","0","1","1","0","0","1","1","0","0","1","1","1","1","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","1","1","/Users/baileymcwhirter/subject-2.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","1076.0","6610","NA","1076","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","16551","7744","13291","14338","1071","NA","14342","NA","1115","NA","18557","19634","15346","18557","NA","Sternberg Task","2","2222.0","2","1024"
"100","100","949","949","black","practice","legacy","legacy","legacy","1","undefined","1","left","2","0","2","2","0","0","2","2","0","0","2","2","2","2","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","2","2","/Users/baileymcwhirter/subject-2.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","625.0","6610","NA","625","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","22895","7744","19637","20680","1071","NA","20683","NA","1115","NA","24897","25522","21688","24897","NA","Sternberg Task","3","2847.0","3","1024"
"100","100","953","953","black","practice","legacy","legacy","legacy","1","undefined","1","right","3","0","3","3","0","0","3","3","0","0","3","3","3","3","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","3","3","/Users/baileymcwhirter/subject-2.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","965.0","6610","NA","965","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","28782","7744","25525","26569","1071","NA","26572","NA","1115","NA","30784","31750","27577","30784","NA","Sternberg Task","4","3812.0","4","1024"
"100","100","955","955","black","practice","legacy","legacy","legacy","1","undefined","1","right","4","0","4","4","0","0","4","4","0","0","4","4","4","4","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","4","4","/Users/baileymcwhirter/subject-2.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","963.0","6610","NA","963","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","35008","7744","31754","32796","1071","NA","32799","NA","1115","NA","37011","37974","33802","37011","NA","Sternberg Task","5","4775.0","5","1024"
"100","100","917","917","black","practice","legacy","legacy","legacy","1","undefined","1","left","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","5","5","/Users/baileymcwhirter/subject-2.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","732.0","6610","NA","732","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","41236","7744","37977","39023","1071","NA","39026","NA","1115","NA","43239","43972","40030","43239","NA","Sternberg Task","6","5507.0","6","1024"
"100","100","900","900","black","practice","legacy","legacy","legacy","1","undefined","1","right","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","6","6","/Users/baileymcwhirter/subject-2.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","796.0","6610","NA","796","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","47229","7744","43978","45012","1071","NA","45020","NA","1115","NA","49231","50027","46024","49231","NA","Sternberg Task","7","6303.0","7","1024"
"100","100","944","944","black","practice","legacy","legacy","legacy","1","undefined","1","left","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","7","7","/Users/baileymcwhirter/subject-2.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","left","right","NA","left","NA","1251.0","6610","NA","1251","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","53283","7744","50030","51071","1071","NA","51073","NA","1115","NA","55288","56539","52078","55288","NA","Sternberg Task","8","7554.0","8","1024"
"100","100","946","946","black","practice","legacy","legacy","legacy","1","undefined","1","left","8","0","8","8","0","0","8","8","0","0","8","8","8","8","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","8","8","/Users/baileymcwhirter/subject-2.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","967.0","6610","NA","967","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","59795","7744","56542","57583","1071","NA","57586","NA","1115","NA","61798","62765","58590","61797","NA","Sternberg Task","9","8521.0","9","1024"
"100","100","923","923","black","practice","legacy","legacy","legacy","1","undefined","1","left","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","9","9","/Users/baileymcwhirter/subject-2.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","NA","710.0","6610","NA","710","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","66025","7744","62768","63814","1071","NA","63816","NA","1115","NA","68030","68741","64820","68030","NA","Sternberg Task","10","9231.0","10","1024"
"100","100","910","910","black","practice","legacy","legacy","legacy","1","undefined","1","right","10","0","10","10","0","0","10","10","0","0","10","10","10","10","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","10","10","/Users/baileymcwhirter/subject-2.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","786.0","6610","NA","786","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","72002","7744","68744","69787","1071","NA","69789","NA","1115","NA","74004","74791","70795","74004","NA","Sternberg Task","11","10017.0","11","1024"
"100","100","918","918","black","practice","legacy","legacy","legacy","1","undefined","1","left","11","0","11","11","0","0","11","11","0","0","11","11","11","11","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","11","11","/Users/baileymcwhirter/subject-2.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","right","NA","left","NA","1005.0","6610","NA","1005","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","78043","7744","74793","75832","1071","NA","75834","NA","1115","NA","80046","81052","76838","80046","NA","Sternberg Task","12","11022.0","12","1024"
"100","100","961","961","black","experiment","legacy","legacy","legacy","1","undefined","1","left","12","0","12","12","0","0","12","12","0","0","12","12","12","12","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","0","11","/Users/baileymcwhirter/subject-2.csv","legacy","1 4 9 3 2 5","Melodramatic Milgram","4.0.5","3","y","0","left","right","right","left","NA","1480.0","6610","2426","1480","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","9","86748","7744","81055","84537","1071","84487","84539","NA","1115","82060","88751","90231","85544","88751","NA","Sternberg Task","13","12502.0","13","1024"
"100","100","947","947","black","experiment","legacy","legacy","legacy","1","undefined","1","left","13","0","13","13","0","0","13","13","0","0","13","13","13","13","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","1","11","/Users/baileymcwhirter/subject-2.csv","legacy","6 2","Melodramatic Milgram","4.0.5","1","y","0","left","right","right","left","NA","762.0","6610","2426","762","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","6","93489","7744","90234","91278","1071","84487","91280","NA","1115","82060","95491","96254","92282","95491","NA","Sternberg Task","14","13264.0","14","1024"
"100","100","941","941","black","experiment","legacy","legacy","legacy","1","undefined","1","right","14","0","14","14","0","0","14","14","0","0","14","14","14","14","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","2","11","/Users/baileymcwhirter/subject-2.csv","legacy","6 7 5 9","Melodramatic Milgram","4.0.5","0","n","0","right","right","right","right","NA","858.0","6610","2426","858","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","2","99509","7744","96257","97297","1071","84487","97299","NA","1115","82060","101515","102373","98303","101515","NA","Sternberg Task","15","14122.0","15","1024"
"100","100","962","962","black","experiment","legacy","legacy","legacy","1","undefined","1","right","15","0","15","15","0","0","15","15","0","0","15","15","15","15","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","3","11","/Users/baileymcwhirter/subject-2.csv","legacy","1","Melodramatic Milgram","4.0.5","0","n","0","right","right","right","right","NA","1278.0","6610","2426","1278","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","7","105628","7744","102377","103416","1071","84487","103418","NA","1115","82060","107631","108910","104423","107630","NA","Sternberg Task","16","15400.0","16","1024"
"100","100","965","965","black","experiment","legacy","legacy","legacy","1","undefined","1","right","16","0","16","16","0","0","16","16","0","0","16","16","16","16","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","4","11","/Users/baileymcwhirter/subject-2.csv","legacy","6 8","Melodramatic Milgram","4.0.5","0","n","0","right","right","right","right","NA","1009.0","6610","2426","1009","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","9","112162","7744","108912","109951","1071","84487","109953","NA","1115","82060","114164","115174","110956","114163","NA","Sternberg Task","17","16409.0","17","1024"
"100","100","1000","1000","black","experiment","legacy","legacy","legacy","1","undefined","1","left","17","0","17","17","0","0","17","17","0","0","17","17","17","17","0","Sun Oct 15 11:47:37 2023","The main experiment item","True","SternbergTask.osexp","/Users/baileymcwhirter","False","mono","False","18","no","white","no","yes","768","legacy","5","11","/Users/baileymcwhirter/subject-2.csv","legacy","2 4 6 9","Melodramatic Milgram","4.0.5","3","y","0","left","right","right","left","NA","1607.0","6610","2426","1607","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","118417","7744","115176","116209","1071","84487","116211","NA","1115","82060","120420","122028","117213","120420","NA","Sternberg Task","18","18016.0","18","1024"
