"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1_sketchpad","correct_keyboard_response","correct_response","count_ISI_sketchpad","count_correct_sketchpad","count_exp_sequence","count_experiment","count_experiment_loop","count_fixation_sketchpad","count_incorrect_sketchpad","count_instruction1_sketchpad","count_instructions2_sketchpad","count_keyboard_response","count_memoryset_sketchpad","count_new_logger","count_practice_loop","count_probe_sketchpad","count_thankyou_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1_sketchpad","response_instructions2_sketchpad","response_keyboard_response","response_thankyou_sketchpad","response_time","response_time_instruction1_sketchpad","response_time_instructions2_sketchpad","response_time_keyboard_response","response_time_thankyou_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI_sketchpad","time_correct_sketchpad","time_exp_sequence","time_experiment","time_experiment_loop","time_fixation_sketchpad","time_incorrect_sketchpad","time_instruction1_sketchpad","time_instructions2_sketchpad","time_keyboard_response","time_memoryset_sketchpad","time_new_logger","time_practice_loop","time_probe_sketchpad","time_thankyou_sketchpad","title","total_correct","total_response_time","total_responses","width"
"100","100","1203","1203","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed Oct 11 01:28:00 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/HBsubject-1.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","1203.0","11869","NA","1203","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","16818","NA","14614","2077","NA","14616","NA","2083","NA","18819","15617","20023","13953","18819","NA","Sternberg task ","1","1203.0","1","1024"
"100","100","907","907","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Wed Oct 11 01:28:00 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/HBsubject-1.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","611.0","11869","NA","611","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","23318","20072","21115","2077","NA","21116","NA","2083","NA","25319","22117","25931","13953","25319","NA","Sternberg task ","2","1814.0","2","1024"
"100","100","917","917","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Wed Oct 11 01:28:00 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/HBsubject-1.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","937.0","11869","NA","937","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","29186","25940","26983","2077","NA","26984","NA","2083","NA","31187","27985","32125","13953","31187","NA","Sternberg task ","3","2751.0","3","1024"
"100","100","841","841","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Wed Oct 11 01:28:00 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/HBsubject-1.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","615.0","11869","NA","615","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","35393","32131","33190","2077","NA","33191","NA","2083","NA","37394","34192","38010","13953","37394","NA","Sternberg task ","4","3366.0","4","1024"
"100","100","822","822","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Wed Oct 11 01:28:00 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/HBsubject-1.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","745.0","11869","NA","745","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","41257","38013","39054","2077","NA","39055","NA","2083","NA","43258","40056","44003","13953","43258","NA","Sternberg task ","5","4111.0","5","1024"
"100","100","804","804","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Wed Oct 11 01:28:00 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/HBsubject-1.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","718.0","11869","NA","718","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","47264","44009","45060","2077","NA","45061","NA","2083","NA","49265","46063","49984","13953","49265","NA","Sternberg task ","6","4829.0","6","1024"
"100","100","799","799","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Wed Oct 11 01:28:00 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/HBsubject-1.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","767.0","11869","NA","767","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","53240","49987","51037","2077","NA","51038","NA","2083","NA","55241","52039","56009","13953","55241","NA","Sternberg task ","7","5596.0","7","1024"
"100","100","775","775","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Wed Oct 11 01:28:00 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/HBsubject-1.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","607.0","11869","NA","607","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","59270","56012","57067","2077","NA","57068","NA","2083","NA","61271","58069","61878","13953","61271","NA","Sternberg task ","8","6203.0","8","1024"
"100","100","774","774","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Wed Oct 11 01:28:00 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/HBsubject-1.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","right","NA","left","NA","767.0","11869","NA","767","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","65124","61881","62921","2077","NA","62922","NA","2083","NA","67125","63923","67893","13953","67125","NA","Sternberg task ","9","6970.0","9","1024"
"100","100","780","780","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Wed Oct 11 01:28:00 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/HBsubject-1.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","NA","831.0","11869","NA","831","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","71153","67895","68948","2077","NA","68951","NA","2083","NA","73156","69952","73988","13953","73156","NA","Sternberg task ","10","7801.0","10","1024"
