"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_correctfeedback","count_expSequence","count_experementloop","count_experiment","count_fixation","count_getting_started","count_incorrectfeedback","count_instruction1","count_instructions2_2","count_isi","count_keyboard_response","count_logger","count_memorySet","count_practiceloop","count_probe","count_thankyou","count_welcome","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2_2","response_keyboard_response","response_thankyou","response_time","response_time_instruction1","response_time_instructions2_2","response_time_keyboard_response","response_time_thankyou","response_time_welcome","response_welcome","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_correctfeedback","time_expSequence","time_experementloop","time_experiment","time_fixation","time_getting_started","time_incorrectfeedback","time_instruction1","time_instructions2_2","time_isi","time_keyboard_response","time_logger","time_memorySet","time_practiceloop","time_probe","time_thankyou","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","495.523190909","495.523190909","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","1","right","10","10","0","0","10","NA","10","0","0","10","10","10","10","0","10","0","NA","10/24/21 23:13:32","","yes","SternbergTask.osexp","C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","10","10","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-subject-4.csv","psycho","9 6 7 4 5","Lentiform Loewenfeld","3.3.9","0","n","0","right","left","NA","right","NA","577.091899992","7996.19719997","NA","577.091899992","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","91644.8281","92727.6824","NA","17669.9112","92731.3479","NA","NA","18305.2969","NA","94937.3087","96940.5234","97518.2978","93734.251","26302.6336","96940.3323","NA","NA","Sternberg Task","11","5450.7551","11","yes","1024"
"100","100","510.34194167","510.34194167","black","practice","psycho","psycho","psycho","0","uniform","1","undefined","1","right","11","11","0","0","11","NA","11","0","0","11","11","11","11","0","11","0","NA","10/24/21 23:13:32","","yes","SternbergTask.osexp","C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","11","11","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-subject-4.csv","psycho","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.9","0","n","0","right","left","NA","right","NA","673.348200042","7996.19719997","NA","673.348200042","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","97560.6255","98641.3441","NA","17669.9112","98644.809","NA","NA","18305.2969","NA","100852.9724","102856.6841","103530.6437","99649.2478","26302.6336","102856.4889","NA","NA","Sternberg Task","12","6124.10330004","12","yes","1024"
"92.3076923077","92.3076923077","514.824715389","514.824715389","black","experiment","psycho","psycho","psycho","0","uniform","0","undefined","0","right","12","12","0","0","12","NA","12","0","0","12","12","12","12","0","12","0","NA","10/24/21 23:13:32","","yes","SternbergTask.osexp","C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","0","11","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-subject-4.csv","psycho","1 5 3 2 8","Lentiform Loewenfeld","3.3.9","0","n","0","left","left","right","left","NA","568.618000019","7996.19719997","8955.31379996","568.618000019","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","4","103614.2293","113691.9882","113605.4285","17669.9112","113695.5267","NA","NA","18305.2969","104649.4978","115902.111","117905.7553","118474.9639","114698.4627","26302.6336","117905.5639","NA","NA","Sternberg Task","12","6692.72130006","13","yes","1024"
"92.8571428571","92.8571428571","515.72331429","515.72331429","black","experiment","psycho","psycho","psycho","0","uniform","1","undefined","1","left","13","13","0","0","13","NA","13","0","0","13","13","13","13","0","13","0","NA","10/24/21 23:13:32","","yes","SternbergTask.osexp","C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","1","11","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-subject-4.csv","psycho","2 5 4 8 7","Lentiform Loewenfeld","3.3.9","3","y","0","left","left","right","left","NA","527.405100001","7996.19719997","8955.31379996","527.405100001","NA","NA","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","4","103614.2293","119601.3663","113605.4285","17669.9112","119605.0012","NA","118517.1882","18305.2969","104649.4978","121811.5014","123815.1262","124343.3565","120608.7107","26302.6336","123814.9516","NA","NA","Sternberg Task","13","7220.12640006","14","yes","1024"
"93.3333333333","93.3333333333","506.783286668","506.783286668","black","experiment","psycho","psycho","psycho","0","uniform","1","undefined","1","left","14","14","0","0","14","NA","14","0","0","14","14","14","14","0","14","0","NA","10/24/21 23:13:32","","yes","SternbergTask.osexp","C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","2","11","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-subject-4.csv","psycho","4","Lentiform Loewenfeld","3.3.9","1","y","0","left","left","right","left","NA","381.622899964","7996.19719997","8955.31379996","381.622899964","NA","NA","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","4","124383.2245","125466.7465","113605.4285","17669.9112","125470.6421","NA","118517.1882","18305.2969","104649.4978","127677.7404","129681.5486","130063.8149","126473.7011","26302.6336","129681.3645","NA","NA","Sternberg Task","14","7601.74930003","15","yes","1024"
"93.75","93.75","517.4223875","517.4223875","black","experiment","psycho","psycho","psycho","0","uniform","1","undefined","1","left","15","15","0","0","15","NA","15","0","0","15","15","15","15","0","15","0","NA","10/24/21 23:13:32","","yes","SternbergTask.osexp","C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","3","11","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-subject-4.csv","psycho","3 9 6 2","Lentiform Loewenfeld","3.3.9","4","y","0","left","left","right","left","NA","677.008899976","7996.19719997","8955.31379996","677.008899976","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","2","130106.8854","131193.3291","113605.4285","17669.9112","131196.7746","NA","118517.1882","18305.2969","104649.4978","133404.7793","135408.3237","136085.9432","132200.9165","26302.6336","135408.1478","NA","NA","Sternberg Task","15","8278.7582","16","yes","1024"
"88.2352941176","88.2352941176","523.102370591","523.102370591","black","experiment","psycho","psycho","psycho","0","uniform","0","undefined","0","left","16","16","0","0","16","NA","16","0","0","16","16","16","16","0","16","0","NA","10/24/21 23:13:32","","yes","SternbergTask.osexp","C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","4","11","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-subject-4.csv","psycho","7 8 4 6 9 5","Lentiform Loewenfeld","3.3.9","4","y","0","right","left","right","right","NA","613.98210004","7996.19719997","8955.31379996","613.98210004","NA","NA","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","136361.367","137451.4081","113605.4285","17669.9112","137454.6217","NA","118517.1882","18305.2969","104649.4978","139660.5145","141663.901","142278.5622","138457.5275","26302.6336","141663.7211","NA","NA","Sternberg Task","15","8892.74030004","17","yes","1024"
"88.8888888889","88.8888888889","527.196783333","527.196783333","black","experiment","psycho","psycho","psycho","0","uniform","1","undefined","1","left","17","17","0","0","17","NA","17","0","0","17","17","17","17","0","17","0","NA","10/24/21 23:13:32","","yes","SternbergTask.osexp","C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","5","11","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-subject-4.csv","psycho","6 7 8 5","Lentiform Loewenfeld","3.3.9","3","y","0","left","left","right","left","NA","596.801799955","7996.19719997","8955.31379996","596.801799955","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","8","136361.367","143437.5076","113605.4285","17669.9112","143440.9236","NA","142351.0454","18305.2969","104649.4978","145647.3975","147650.927","148248.418","144444.6301","26302.6336","147650.7547","NA","NA","Sternberg Task","16","9489.5421","18","yes","1024"
"89.4736842105","89.4736842105","535.504131578","535.504131578","black","experiment","psycho","psycho","psycho","0","uniform","1","undefined","1","left","18","18","0","0","18","NA","18","0","0","18","18","18","18","0","18","0","NA","10/24/21 23:13:32","","yes","SternbergTask.osexp","C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","6","11","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-subject-4.csv","psycho","8 9 6 1","Lentiform Loewenfeld","3.3.9","2","y","0","left","left","right","left","NA","685.036399984","7996.19719997","8955.31379996","685.036399984","NA","NA","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","9","148284.5466","149367.2521","113605.4285","17669.9112","149370.9265","NA","142351.0454","18305.2969","104649.4978","151576.6511","153580.1016","154265.7482","150374.4843","26302.6336","153579.9021","NA","NA","Sternberg Task","17","10174.5785","19","yes","1024"
"90","90","530.894019999","530.894019999","black","experiment","psycho","psycho","psycho","0","uniform","1","undefined","1","left","19","19","0","0","19","NA","19","0","0","19","19","19","19","0","19","0","NA","10/24/21 23:13:32","","yes","SternbergTask.osexp","C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant","no","mono","no","18","no","white","no","yes","768","psycho","7","11","C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/sternberg/MM-subject-4.csv","psycho","2 3","Lentiform Loewenfeld","3.3.9","1","y","0","left","left","right","left","NA","443.301899999","7996.19719997","8955.31379996","443.301899999","NA","NA","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","2","154296.7947","155378.3549","113605.4285","17669.9112","155381.7154","NA","142351.0454","18305.2969","104649.4978","157588.1505","159592.1893","160036.2045","156385.052","26302.6336","159592.0256","NA","NA","Sternberg Task","18","10617.8804","20","yes","1024"
