"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","width"
"100","100","677","677","#000000","practice","legacy","legacy","legacy","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Oct 17 15:10:50 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\Simone\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/Simone/Documents/SD-subject-2.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","left","NA","left","NA","677.0","3337","NA","677","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","8711","NA","6506","2452","NA","6508","NA","2456","NA","10712","11390","7510","5795","10712","NA","Sternberg Task","1","677.0","1","1024"
"100","100","632","632","#000000","practice","legacy","legacy","legacy","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Tue Oct 17 15:10:50 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\Simone\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/Simone/Documents/SD-subject-2.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","588.0","3337","NA","588","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","14703","11439","12498","2452","NA","12501","NA","2456","NA","16704","17292","13502","5795","16704","NA","Sternberg Task","2","1265.0","2","1024"
"100","100","599","599","#000000","practice","legacy","legacy","legacy","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Tue Oct 17 15:10:50 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\Simone\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/Simone/Documents/SD-subject-2.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","533.0","3337","NA","533","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","20548","17299","18343","2452","NA","18344","NA","2456","NA","22549","23083","19347","5795","22549","NA","Sternberg Task","3","1798.0","3","1024"
"100","100","560","560","#000000","practice","legacy","legacy","legacy","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Tue Oct 17 15:10:50 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\Simone\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/Simone/Documents/SD-subject-2.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","444.0","3337","NA","444","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","26324","23088","24120","2452","NA","24122","NA","2456","NA","28325","28770","25123","5795","28325","NA","Sternberg Task","4","2242.0","4","1024"
"100","100","527","527","#000000","practice","legacy","legacy","legacy","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Tue Oct 17 15:10:50 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\Simone\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/Simone/Documents/SD-subject-2.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","396.0","3337","NA","396","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","32013","28774","29809","2452","NA","29810","NA","2456","NA","34015","34411","30812","5795","34014","NA","Sternberg Task","5","2638.0","5","1024"
"100","100","512","512","#000000","practice","legacy","legacy","legacy","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Tue Oct 17 15:10:50 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\Simone\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/Simone/Documents/SD-subject-2.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","439.0","3337","NA","439","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","37663","34416","35459","2452","NA","35461","NA","2456","NA","39665","40104","36462","5795","39664","NA","Sternberg Task","6","3077.0","6","1024"
"100","100","585","585","#000000","practice","legacy","legacy","legacy","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Tue Oct 17 15:10:50 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\Simone\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/Simone/Documents/SD-subject-2.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","1019.0","3337","NA","1019","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","43350","40107","41147","2452","NA","41148","NA","2456","NA","45351","46370","42149","5795","45351","NA","Sternberg Task","7","4096.0","7","1024"
"100","100","608","608","#000000","practice","legacy","legacy","legacy","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Tue Oct 17 15:10:50 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\Simone\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/Simone/Documents/SD-subject-2.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","774.0","3337","NA","774","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","49635","46375","47430","2452","NA","47432","NA","2456","NA","51636","52410","48433","5795","51636","NA","Sternberg Task","8","4870.0","8","1024"
"100","100","582","582","#000000","practice","legacy","legacy","legacy","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Tue Oct 17 15:10:50 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\Simone\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/Simone/Documents/SD-subject-2.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","374.0","3337","NA","374","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","55652","52415","53448","2452","NA","53450","NA","2456","NA","57654","58029","54451","5795","57654","NA","Sternberg Task","9","5244.0","9","1024"
"100","100","591","591","#000000","practice","legacy","legacy","legacy","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Tue Oct 17 15:10:50 2023","The main experiment item","False","SternbergTask.osexp","C:\Users\Simone\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/Simone/Documents/SD-subject-2.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","left","left","NA","left","NA","674.0","3337","NA","674","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","61278","58033","59074","2452","NA","59076","NA","2456","NA","63279","63953","60077","5795","63279","NA","Sternberg Task","10","5918.0","10","1024"
