acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_CorrectFeedback,count_ExperimentLoop,count_Fixation,count_ISI,count_IncorrectFeedback,count_Instruction1,count_Instruction2,count_MemorySet,count_Practiceloop,count_Probe,count_ThankYou,count_expSequence,count_experiment,count_keyboard_response,count_logger,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Practiceloop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Instruction1,response_Instruction2,response_ThankYou,response_keyboard_response,response_time,response_time_Instruction1,response_time_Instruction2,response_time_ThankYou,response_time_keyboard_response,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_CorrectFeedback,time_ExperimentLoop,time_Fixation,time_ISI,time_IncorrectFeedback,time_Instruction1,time_Instruction2,time_MemorySet,time_Practiceloop,time_Probe,time_ThankYou,time_expSequence,time_experiment,time_keyboard_response,time_logger,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1200,1200,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,1200,67135,NA,NA,1200,2,legacy,6,1024,2,48000,-16,experiment,4,even,6,NA,NA,79936,82143,NA,5579,NA,80939,72716,84146,NA,79930,5574,84146,85347,Sternberg Task,1,1200,1,yes,1024
100,100,1568.5,1568.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,1937,67135,NA,NA,1937,2,legacy,1,1024,2,48000,-16,experiment,4,even,3,85557,NA,86735,88941,NA,5579,NA,87738,72716,90944,NA,86731,5574,90945,92883,Sternberg Task,2,3137,2,yes,1024
66.66666667,66.66666667,1459.666667,1459.666667,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,right,2,0,2,2,2,0,0,2,0,2,0,2,0,2,2,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,2 1,Kafkaesque Koffka,3.2.8,0,n,0,left,right,NA,NA,left,1242,67135,NA,NA,1242,2,legacy,2,1024,2,48000,-16,experiment,4,even,5,92932,NA,94109,96316,NA,5579,NA,95112,72716,98319,NA,94105,5574,98320,99563,Sternberg Task,2,4379,3,yes,1024
75,75,1308.25,1308.25,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,0,3,3,3,0,0,3,0,3,0,3,0,3,3,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,854,67135,NA,NA,854,2,legacy,4,1024,2,48000,-16,experiment,4,even,6,92932,NA,100793,103001,99615,5579,NA,101796,72716,105004,NA,100789,5574,105004,105859,Sternberg Task,3,5233,4,yes,1024
60,60,1259.8,1259.8,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,4,0,4,4,4,0,0,4,0,4,0,4,0,4,4,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,2 9 4,Kafkaesque Koffka,3.2.8,3,y,0,right,right,NA,NA,right,1066,67135,NA,NA,1066,2,legacy,3,1024,2,48000,-16,experiment,4,even,4,105907,NA,107085,109292,99615,5579,NA,108088,72716,111295,NA,107081,5574,111296,112363,Sternberg Task,3,6299,5,yes,1024
66.66666667,66.66666667,1188.666667,1188.666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,0,5,5,5,0,0,5,0,5,0,5,0,5,5,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,NA,left,833,67135,NA,NA,833,2,legacy,2,1024,2,48000,-16,experiment,4,even,4,105907,NA,113591,115797,112415,5579,NA,114594,72716,117800,NA,113587,5574,117801,118635,Sternberg Task,4,7132,6,yes,1024
71.42857143,71.42857143,1198.428571,1198.428571,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,0,6,6,6,0,0,6,0,6,0,6,0,6,6,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,NA,NA,left,1257,67135,NA,NA,1257,2,legacy,5,1024,2,48000,-16,experiment,4,even,8,118673,NA,119855,122062,112415,5579,NA,120858,72716,124065,NA,119851,5574,124065,125323,Sternberg Task,5,8389,7,yes,1024
75,75,1162.375,1162.375,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,0,7,7,7,0,0,7,0,7,0,7,0,7,7,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,910,67135,NA,NA,910,2,legacy,3,1024,2,48000,-16,experiment,4,even,2,125374,NA,126553,128760,112415,5579,NA,127556,72716,130763,NA,126549,5574,130764,131675,Sternberg Task,6,9299,8,yes,1024
77.77777778,77.77777778,1152.444444,1152.444444,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,0,8,8,8,0,0,8,0,8,0,8,0,8,8,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,right,NA,NA,left,1073,67135,NA,NA,1073,2,legacy,4,1024,2,48000,-16,experiment,4,even,5,131724,NA,132903,135110,112415,5579,NA,133907,72716,137113,NA,132900,5574,137113,138187,Sternberg Task,7,10372,9,yes,1024
80,80,1110.7,1110.7,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,0,9,9,9,0,0,9,0,9,0,9,0,9,9,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,NA,left,735,67135,NA,NA,735,2,legacy,6,1024,2,48000,-16,experiment,4,even,4,138240,NA,139418,141624,112415,5579,NA,140421,72716,143627,NA,139414,5574,143627,144363,Sternberg Task,8,11107,10,yes,1024
72.72727273,72.72727273,1132.727273,1132.727273,black,practice,legacy,legacy,legacy,0,uniform,0,undefined,0,left,10,0,10,10,10,0,0,10,0,10,0,10,0,10,10,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,right,right,NA,NA,right,1353,67135,NA,NA,1353,2,legacy,1,1024,2,48000,-16,experiment,4,even,6,144415,NA,145591,147797,112415,5579,NA,146594,72716,149800,NA,145587,5574,149801,151155,Sternberg Task,8,12460,11,yes,1024
75,75,1138.75,1138.75,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,11,0,11,11,11,0,0,11,0,11,0,11,0,11,11,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,NA,right,1205,67135,NA,NA,1205,2,legacy,5,1024,2,48000,-16,experiment,4,even,3,144415,NA,152379,154586,151203,5579,NA,153382,72716,156589,NA,152375,5574,156589,157795,Sternberg Task,9,13665,12,yes,1024
76.92307692,76.92307692,1136.076923,1136.076923,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,12,0,12,12,12,0,0,12,0,12,0,12,0,12,12,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,11,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,2 8 5 1,Kafkaesque Koffka,3.2.8,4,y,0,left,right,left,NA,left,1104,67135,8071,NA,1104,2,legacy,4,1024,2,48000,-16,experiment,4,even,1,157840,166947,167168,169375,151203,5579,158875,168171,72716,171378,NA,167164,5574,171378,172483,Sternberg Task,10,14769,13,yes,1024
78.57142857,78.57142857,1114.428571,1114.428571,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,13,0,13,13,13,0,0,13,0,13,0,13,0,13,13,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,11,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,3 5 7 1,Kafkaesque Koffka,3.2.8,3,y,0,left,right,left,NA,left,833,67135,8071,NA,833,2,legacy,4,1024,2,48000,-16,experiment,4,even,7,172523,166947,173702,175909,151203,5579,158875,174705,72716,177912,NA,173698,5574,177913,178747,Sternberg Task,11,15602,14,yes,1024
80,80,1103.666667,1103.666667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,14,0,14,14,14,0,0,14,0,14,0,14,0,14,14,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,11,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,9 5 3 2 8 6,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,953,67135,8071,NA,953,2,legacy,6,1024,2,48000,-16,experiment,4,even,7,178798,166947,179975,182182,151203,5579,158875,180979,72716,184185,NA,179971,5574,184185,185139,Sternberg Task,12,16555,15,yes,1024
81.25,81.25,1074.875,1074.875,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,15,0,15,15,15,0,0,15,0,15,0,15,0,15,15,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,11,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,7 1,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,643,67135,8071,NA,643,2,legacy,2,1024,2,48000,-16,experiment,4,even,8,185189,166947,186366,188572,151203,5579,158875,187369,72716,190575,NA,186362,5574,190575,191219,Sternberg Task,13,17198,16,yes,1024
82.35294118,82.35294118,1070.705882,1070.705882,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,16,0,16,16,16,0,0,16,0,16,0,16,0,16,16,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,11,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,1 7 5 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,left,NA,right,1004,67135,8071,NA,1004,2,legacy,4,1024,2,48000,-16,experiment,4,even,3,191273,166947,192451,194658,151203,5579,158875,193454,72716,196661,NA,192447,5574,196662,197667,Sternberg Task,14,18202,17,yes,1024
83.33333333,83.33333333,1069.555556,1069.555556,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,17,0,17,17,17,0,0,17,0,17,0,17,0,17,17,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,11,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,9 1 6 7 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,left,NA,left,1050,67135,8071,NA,1050,2,legacy,5,1024,2,48000,-16,experiment,4,even,9,197706,166947,198886,201092,151203,5579,158875,199889,72716,203095,NA,198882,5574,203096,204147,Sternberg Task,15,19252,18,yes,1024
84.21052632,84.21052632,1072.526316,1072.526316,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,18,0,18,18,18,0,0,18,0,18,0,18,0,18,18,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,11,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,9 3 1 2 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,left,NA,left,1126,67135,8071,NA,1126,2,legacy,5,1024,2,48000,-16,experiment,4,even,2,204190,166947,205371,207577,151203,5579,158875,206374,72716,209580,NA,205367,5574,209580,210707,Sternberg Task,16,20378,19,yes,1024
85,85,1071.3,1071.3,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,19,0,19,19,19,0,0,19,0,19,0,19,0,19,19,10/18/19 17:15,The main experiment item,yes,SternbergTask.osexp,C:/Users/Carolyn/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,11,C:/Users/Carolyn/Desktop/cp_subject-4.csv,legacy,9 1 7 2,Kafkaesque Koffka,3.2.8,2,y,0,left,right,left,NA,left,1048,67135,8071,NA,1048,2,legacy,4,1024,2,48000,-16,experiment,4,even,1,210814,166947,211991,214198,151203,5579,158875,212994,72716,216201,NA,211987,5574,216202,217251,Sternberg Task,17,21426,20,yes,1024
