"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1_sketchpad","correct_keyboard_response","correct_response","count_ISI_sketchpad","count_correct_sketchpad","count_exp_sequence","count_experiment","count_experiment_loop","count_fixation_sketchpad","count_incorrect_sketchpad","count_instruction1_sketchpad","count_instructions2_sketchpad","count_keyboard_response","count_memoryset_sketchpad","count_new_logger","count_practice_loop","count_probe_sketchpad","count_thankyou_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1_sketchpad","response_instructions2_sketchpad","response_keyboard_response","response_thankyou_sketchpad","response_time","response_time_instruction1_sketchpad","response_time_instructions2_sketchpad","response_time_keyboard_response","response_time_thankyou_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI_sketchpad","time_correct_sketchpad","time_exp_sequence","time_experiment","time_experiment_loop","time_fixation_sketchpad","time_incorrect_sketchpad","time_instruction1_sketchpad","time_instructions2_sketchpad","time_keyboard_response","time_memoryset_sketchpad","time_new_logger","time_practice_loop","time_probe_sketchpad","time_thankyou_sketchpad","title","total_correct","total_response_time","total_responses","width"
"0","0","717","717","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Oct 17 03:29:23 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/LG-subject-4.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","right","right","NA","right","NA","717.0","14258","NA","717","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","6","19995","NA","17790","2781","NA","17793","NA","2787","NA","21997","18794","22714","17047","21997","NA","Sternberg task ","0","717.0","1","1024"
"50","50","668","668","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Tue Oct 17 03:29:23 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/LG-subject-4.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","619.0","14258","NA","619","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","26061","NA","23857","2781","NA","23859","22779","2787","NA","28063","24860","28683","17047","28062","NA","Sternberg task ","1","1336.0","2","1024"
"66","66","662","662","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Tue Oct 17 03:29:23 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/LG-subject-4.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","right","NA","left","NA","650.0","14258","NA","650","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","31973","28690","29768","2781","NA","29770","22779","2787","NA","33975","30771","34626","17047","33975","NA","Sternberg task ","2","1986.0","3","1024"
"50","50","768","768","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Tue Oct 17 03:29:23 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/LG-subject-4.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","0","n","0","left","right","NA","left","NA","1089.0","14258","NA","1089","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","37913","34634","35709","2781","NA","35711","22779","2787","NA","39915","36712","41005","17047","39914","NA","Sternberg task ","2","3075.0","4","1024"
"60","60","718","718","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Tue Oct 17 03:29:23 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/LG-subject-4.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","left","right","NA","left","NA","517.0","14258","NA","517","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","4","44291","34634","42087","2781","NA","42089","41011","2787","NA","46292","43090","46810","17047","46292","NA","Sternberg task ","3","3592.0","5","1024"
"66","66","737","737","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Tue Oct 17 03:29:23 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/LG-subject-4.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","right","NA","left","NA","832.0","14258","NA","832","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","50093","46817","47889","2781","NA","47891","41011","2787","NA","52094","48892","52927","17047","52094","NA","Sternberg task ","4","4424.0","6","1024"
"71","71","792","792","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Tue Oct 17 03:29:23 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/LG-subject-4.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","1123.0","14258","NA","1123","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","56211","52931","54007","2781","NA","54009","41011","2787","NA","58213","55010","59337","17047","58212","NA","Sternberg task ","5","5547.0","7","1024"
"75","75","745","745","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Tue Oct 17 03:29:23 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/LG-subject-4.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","418.0","14258","NA","418","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","62638","59345","60434","2781","NA","60436","41011","2787","NA","64640","61437","65059","17047","64639","NA","Sternberg task ","6","5965.0","8","1024"
"66","66","732","732","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Tue Oct 17 03:29:23 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/LG-subject-4.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","right","right","NA","right","NA","625.0","14258","NA","625","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","68345","65063","66141","2781","NA","66143","41011","2787","NA","70346","67144","70972","17047","70346","NA","Sternberg task ","6","6590.0","9","1024"
"70","70","856","856","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Tue Oct 17 03:29:23 2023","The main experiment item","True","Sternbergtask.osexp","C:\Users\kikip\OneDrive\Dokumente\QUANT HW","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/kikip/OneDrive/Dokumente/QUANT HW/LG-subject-4.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","right","NA","right","NA","1979.0","14258","NA","1979","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","74259","65063","72055","2781","NA","72057","70979","2787","NA","76260","73058","78240","17047","76260","NA","Sternberg task ","7","8569.0","10","1024"
