"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response_1","correct_response","count_ISI_1","count_PracticeLoop","count_correctFeedback_1","count_expSequence_1","count_experiment","count_experimentLoop","count_fixation_1","count_incorrectFeedback_1","count_instruction1","count_instruction2","count_keyboard_response_1","count_logger_1","count_memorySet_1","count_probe_1","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","psychopy_waitblanking","repeat_cycle","response","response_instruction1","response_instruction2","response_keyboard_response_1","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_keyboard_response_1","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI_1","time_PracticeLoop","time_correctFeedback_1","time_expSequence_1","time_experiment","time_experimentLoop","time_fixation_1","time_incorrectFeedback_1","time_instruction1","time_instruction2","time_keyboard_response_1","time_logger_1","time_memorySet_1","time_probe_1","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"81.81818181818181","81.81818181818181","1097.4545454545455","1097.4545454545455","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","10","0","10","10","0","0","10","10","0","0","10","10","10","10","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","yes","0","left","left","NA","left","NA","537","18023","NA","537","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","89897","21892","86579","87693","3806","NA","87695","74363","3868","NA","91899","92437","88696","91899","NA","Sternberg Task","9","12072","11","yes","1024"
"83.33333333333333","83.33333333333333","1081","1081","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","11","0","11","11","0","0","11","11","0","0","11","11","11","11","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.12","0","n","yes","0","right","left","NA","right","NA","900","18023","NA","900","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","95762","21892","92444","93557","3806","NA","93559","74363","3868","NA","97763","98664","94560","97763","NA","Sternberg Task","10","12972","12","yes","1024"
"76.92307692307692","76.92307692307692","1114.3846153846155","1114.3846153846155","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","12","0","12","12","0","0","12","12","0","0","12","12","12","12","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","4 2 7 6 1 3","Lentiform Loewenfeld","3.3.12","0","n","yes","0","left","left","right","left","NA","1515","18023","3964","1515","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","8","106006","21892","98668","103801","3806","103671","103804","74363","3868","99707","108007","109523","104805","108007","NA","Sternberg Task","10","14487","13","yes","1024"
"71.42857142857143","71.42857142857143","1109.857142857143","1109.857142857143","black","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","13","0","13","13","0","0","13","13","0","0","13","13","13","13","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","6 1 2","Lentiform Loewenfeld","3.3.12","3","y","yes","0","right","left","right","right","NA","1051","18023","3964","1051","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","112863","21892","98668","110658","3806","103671","110660","109529","3868","99707","114864","115916","111661","114864","NA","Sternberg Task","10","15538","14","yes","1024"
"73.33333333333333","73.33333333333333","1104.7333333333333","1104.7333333333333","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","14","0","14","14","0","0","14","14","0","0","14","14","14","14","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","9 6 2 4 1","Lentiform Loewenfeld","3.3.12","4","y","yes","0","left","left","right","left","NA","1033","18023","3964","1033","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","4","119250","21892","98668","117046","3806","103671","117048","115922","3868","99707","121252","122285","118049","121252","NA","Sternberg Task","11","16571","15","yes","1024"
"75","75","1083.5625","1083.5625","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","15","0","15","15","0","0","15","15","0","0","15","15","15","15","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","9 5 3 8 4","Lentiform Loewenfeld","3.3.12","1","y","yes","0","left","left","right","left","NA","766","18023","3964","766","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","9","125615","21892","122292","123410","3806","103671","123413","115922","3868","99707","127616","128383","124414","127616","NA","Sternberg Task","12","17337","16","yes","1024"
"76.47058823529412","76.47058823529412","1058","1058","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","16","0","16","16","0","0","16","16","0","0","16","16","16","16","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","6 9 4 5 2","Lentiform Loewenfeld","3.3.12","0","n","yes","0","right","left","right","right","NA","649","18023","3964","649","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","1","131714","21892","128389","129510","3806","103671","129512","115922","3868","99707","133715","134365","130513","133715","NA","Sternberg Task","13","17986","17","yes","1024"
"77.77777777777777","77.77777777777777","1057.111111111111","1057.111111111111","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","17","0","17","17","0","0","17","17","0","0","17","17","17","17","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","3 9 6 2","Lentiform Loewenfeld","3.3.12","4","y","yes","0","left","left","right","left","NA","1042","18023","3964","1042","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","2","137705","21892","134370","135499","3806","103671","135502","115922","3868","99707","139706","140748","136504","139706","NA","Sternberg Task","14","19028","18","yes","1024"
"78.94736842105263","78.94736842105263","1047.7894736842106","1047.7894736842106","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","18","0","18","18","0","0","18","18","0","0","18","18","18","18","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","7 9","Lentiform Loewenfeld","3.3.12","0","n","yes","0","right","left","right","right","NA","880","18023","3964","880","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","1","144081","21892","140754","141877","3806","103671","141879","115922","3868","99707","146083","146964","142880","146083","NA","Sternberg Task","15","19908","19","yes","1024"
"80","80","1047.15","1047.15","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","19","0","19","19","0","0","19","19","0","0","19","19","19","19","0","Thu Oct 13 22:33:42 2022","The main experiment item","yes","SternbergTask.osexp","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/lil_p/OneDrive/Documents/School/Advanced Quantitative Analysis/Lab 3.1/AP-subject-1.csv","legacy","9 5 3 2 8 6","Lentiform Loewenfeld","3.3.12","0","n","yes","0","right","left","right","right","NA","1035","18023","3964","1035","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","7","150295","21892","146970","148090","3806","103671","148093","115922","3868","99707","152296","153332","149094","152296","NA","Sternberg Task","16","20943","20","yes","1024"
