"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_Instructions2","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instructions2","response_instruction1","response_keyboard_response","response_thankYou","response_time","response_time_Instructions2","response_time_instruction1","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Instructions2","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/24/20 21:03:33","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/solom/Desktop/MW-subject-2(s).csv","legacy","4 8","Lentiform Loewenfeld","3.3.3","1","y","0","None","NA","right","None","NA","2000","NA","30922","2000","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","40050","NA","NA","37837","4238","NA","37842","NA","4247","42054","44054","38846","35171","42054","NA","Sternberg task","0","2000","1","yes","1024"
"0","0","1848.5","1848.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","0","1","1","0","0","1","1","0","1","1","1","0","1","0","10/24/20 21:03:33","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/solom/Desktop/MW-subject-2(s).csv","legacy","6","Lentiform Loewenfeld","3.3.3","1","y","0","right","NA","right","right","NA","1697","NA","30922","1697","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","47754","NA","NA","45541","4238","NA","45546","44305","4247","49759","51457","46549","35171","49758","NA","Sternberg task","0","3697","2","yes","1024"
"0","0","1899.33333333","1899.33333333","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","2","0","2","2","0","0","2","2","0","2","2","2","0","2","0","10/24/20 21:03:33","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/solom/Desktop/MW-subject-2(s).csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.3","1","y","0","None","NA","right","None","NA","2001","NA","30922","2001","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","54954","NA","NA","52742","4238","NA","52747","51542","4247","56959","58960","53751","35171","56959","NA","Sternberg task","0","5698","3","yes","1024"
"25","25","1625.75","1625.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","0","0","3","3","0","3","3","3","0","3","0","10/24/20 21:03:33","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/solom/Desktop/MW-subject-2(s).csv","legacy","2 1","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","805","NA","30922","805","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","62814","NA","NA","60601","4238","NA","60605","59382","4247","64819","65625","61609","35171","64818","NA","Sternberg task","1","6503","4","yes","1024"
"20","20","1386.2","1386.2","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","4","0","4","4","0","0","4","4","0","4","4","4","0","4","0","10/24/20 21:03:33","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/solom/Desktop/MW-subject-2(s).csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.3","0","n","0","left","NA","right","left","NA","428","NA","30922","428","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","69079","NA","65653","66866","4238","NA","66871","59382","4247","71085","71514","67876","35171","71085","NA","Sternberg task","1","6931","5","yes","1024"
"33.3333333333","33.3333333333","1233","1233","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","0","5","5","0","0","5","5","0","5","5","5","0","5","0","10/24/20 21:03:33","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/solom/Desktop/MW-subject-2(s).csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.3","2","y","0","left","NA","right","left","NA","467","NA","30922","467","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","74952","NA","65653","72739","4238","NA","72743","71538","4247","76957","77426","73746","35171","76957","NA","Sternberg task","2","7398","6","yes","1024"
"42.8571428571","42.8571428571","1173.28571429","1173.28571429","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","0","6","6","0","0","6","6","0","6","6","6","0","6","0","10/24/20 21:03:33","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/solom/Desktop/MW-subject-2(s).csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.3","4","y","0","left","NA","right","left","NA","815","NA","30922","815","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","80861","NA","77447","78645","4238","NA","78650","71538","4247","82866","83682","79655","35171","82866","NA","Sternberg task","3","8213","7","yes","1024"
"50","50","1250.875","1250.875","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","0","7","7","0","0","7","7","0","7","7","7","0","7","0","10/24/20 21:03:33","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/solom/Desktop/MW-subject-2(s).csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","1794","NA","30922","1794","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","87121","NA","83704","84906","4238","NA","84910","71538","4247","89126","90921","85914","35171","89126","NA","Sternberg task","4","10007","8","yes","1024"
"55.5555555556","55.5555555556","1213.88888889","1213.88888889","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","8","8","0","0","8","8","0","8","8","8","0","8","0","10/24/20 21:03:33","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/solom/Desktop/MW-subject-2(s).csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","918","NA","30922","918","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","94356","NA","90943","92143","4238","NA","92147","71538","4247","96362","97282","93152","35171","96361","NA","Sternberg task","5","10925","9","yes","1024"
"60","60","1259.3","1259.3","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","0","9","9","0","0","9","9","0","9","9","9","0","9","0","10/24/20 21:03:33","The main experiment item","yes","Sternbergtask.osexp","C:\Users\solom\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/solom/Desktop/MW-subject-2(s).csv","legacy","5","Lentiform Loewenfeld","3.3.3","0","n","0","right","NA","right","right","NA","1668","NA","30922","1668","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","100726","NA","97311","98511","4238","NA","98515","71538","4247","102733","104402","99521","35171","102732","NA","Sternberg task","6","12593","10","yes","1024"
