"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_experiment","count_experimentLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_memoryset","count_new_keyboard_response","count_new_logger","count_practiceLoop","count_probe","count_thankyou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_new_keyboard_response","response_thankyou","response_time","response_time_instruction1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankyou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_experiment","time_experimentLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_memoryset","time_new_keyboard_response","time_new_logger","time_practiceLoop","time_probe","time_thankyou","title","total_correct","total_response_time","total_responses","width"
"81","81","562","562","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","10","10","0","0","10","10","10","0","0","10","10","10","0","10","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","right","left","NA","right","NA","348.0","394","NA","348","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","66425","57801","4808","NA","64222","64223","63185","4814","NA","65224","68426","68775","5209","68426","NA","Sternberg Task","9","6184.0","11","1024"
"83","83","558","558","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","11","11","0","0","11","11","11","0","0","11","11","11","0","11","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","517.0","394","NA","517","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","72022","57801","4808","NA","69820","69821","68783","4814","NA","70821","74022","74540","5209","74022","NA","Sternberg Task","10","6701.0","12","1024"
"84","84","526","526","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","12","12","0","0","12","12","12","0","0","12","12","12","0","12","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","6 7 5 9","Melodramatic Milgram","4.0.5","0","n","0","right","left","right","right","NA","140.0","394","734","140","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","2","78599","74547","4808","76283","76397","76398","68783","4814","75548","77398","80602","80743","5209","80601","NA","Sternberg Task","11","6841.0","13","1024"
"78","78","631","631","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","13","13","0","0","13","13","13","0","0","13","13","13","0","13","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","3 5 4 7","Melodramatic Milgram","4.0.5","1","y","0","None","left","right","None","NA","2000.0","394","734","2000","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","3","84011","80770","4808","76283","81809","81810","68783","4814","75548","82810","86012","88012","5209","86012","NA","Sternberg Task","11","8841.0","14","1024"
"80","80","609","609","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","14","14","0","0","14","14","14","0","0","14","14","14","0","14","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","9 3 1 2 5","Melodramatic Milgram","4.0.5","4","y","0","left","left","right","left","NA","304.0","394","734","304","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","2","91273","80770","4808","76283","89070","89071","88020","4814","75548","90072","93275","93580","5209","93274","NA","Sternberg Task","12","9145.0","15","1024"
"75","75","574","574","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","right","15","15","0","0","15","15","15","0","0","15","15","15","0","15","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","left","left","right","left","NA","51.0","394","734","51","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","8","96831","93587","4808","76283","94628","94630","88020","4814","75548","95630","98833","98885","5209","98832","NA","Sternberg Task","12","9196.0","16","1024"
"70","70","547","547","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","16","16","0","0","16","16","16","0","0","16","16","16","0","16","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","8","Melodramatic Milgram","4.0.5","1","y","0","right","left","right","right","NA","119.0","394","734","119","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","8","102138","93587","4808","76283","99935","99936","98893","4814","75548","100937","104140","104260","5209","104138","NA","Sternberg Task","12","9315.0","17","1024"
"72","72","545","545","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","17","17","0","0","17","17","17","0","0","17","17","17","0","17","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","5 2 6","Melodramatic Milgram","4.0.5","2","y","0","left","left","right","left","NA","496.0","394","734","496","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","107509","93587","4808","76283","105307","105308","104268","4814","75548","106309","109510","110007","5209","109509","NA","Sternberg Task","13","9811.0","18","1024"
"73","73","553","553","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","18","18","0","0","18","18","18","0","0","18","18","18","0","18","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","6 9 3 1","Melodramatic Milgram","4.0.5","4","y","0","left","left","right","left","NA","713.0","394","734","713","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","1","113255","110014","4808","76283","111052","111053","104268","4814","75548","112054","115255","115969","5209","115255","NA","Sternberg Task","14","10524.0","19","1024"
"75","75","567","567","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","19","19","0","0","19","19","19","0","0","19","19","19","0","19","0","Sat Oct 21 14:54:49 2023","The main experiment item","True","SternbergTask.osexp","C:\Users\katjo\OneDrive\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","11","C:/Users/katjo/OneDrive/Desktop/KEJ-subject-4.csv","legacy","3 5 9 6 2 4","Melodramatic Milgram","4.0.5","1","y","0","left","left","right","left","NA","828.0","394","734","828","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","3","119252","115995","4808","76283","117049","117050","104268","4814","75548","118051","121252","122081","5209","121252","NA","Sternberg Task","15","11352.0","20","1024"
