"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1_sketchpad","correct_keyboard_keyboard_response","correct_response","count__logger","count_correctfeeback_sketchpad","count_exp_sequence","count_experiment","count_experimentloop","count_fixation_sketchpad","count_incorrectfeedback_sketchpad","count_instruction1_sketchpad","count_instruction2_sketchpad","count_isi_sketchpad","count_keyboard_keyboard_response","count_memoryset_sketchpad","count_practice_loop","count_probe_sketchpad","count_thankyou_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_loop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1_sketchpad","response_instruction2_sketchpad","response_keyboard_keyboard_response","response_thankyou_sketchpad","response_time","response_time_instruction1_sketchpad","response_time_instruction2_sketchpad","response_time_keyboard_keyboard_response","response_time_thankyou_sketchpad","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time__logger","time_correctfeeback_sketchpad","time_exp_sequence","time_experiment","time_experimentloop","time_fixation_sketchpad","time_incorrectfeedback_sketchpad","time_instruction1_sketchpad","time_instruction2_sketchpad","time_isi_sketchpad","time_keyboard_keyboard_response","time_memoryset_sketchpad","time_practice_loop","time_probe_sketchpad","time_thankyou_sketchpad","title","total_correct","total_response_time","total_responses","width"
"45","45","879","879","#3d3846","practice","legacy","legacy","legacy","0","undefined","0","left","10","10","10","0","0","10","10","0","0","10","10","10","0","10","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","10","10","C:/Users/User/Desktop/subject-2.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","right","space","NA","right","NA","808.0","54491","NA","808","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","126578","101114","121565","2680","NA","121566","120523","2687","NA","123768","125769","122567","57180","125768","NA","Sternberg task","5","9677.0","11","1024"
"50","50","904","904","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","11","11","11","0","0","11","11","0","0","11","11","11","0","11","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","11","11","C:/Users/User/Desktop/subject-2.csv","legacy","6","Melodramatic Milgram","4.0.5","1","y","0","left","space","NA","left","NA","1182.0","54491","NA","1182","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","133022","101114","127635","2680","NA","127637","126584","2687","NA","129839","131840","128638","57180","131839","NA","Sternberg task","6","10859.0","12","1024"
"53","53","901","901","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","12","12","12","0","0","12","12","0","0","12","12","12","0","12","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","11","C:/Users/User/Desktop/subject-2.csv","legacy","9 7 4 5 8","Melodramatic Milgram","4.0.5","0","n","0","right","space","left","right","NA","859.0","54491","4039","859","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","6","143242","133028","138179","2680","138068","138180","126584","2687","134029","140382","142383","139181","57180","142382","NA","Sternberg task","7","11718.0","13","1024"
"57","57","887","887","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","13","13","13","0","0","13","13","0","0","13","13","13","0","13","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","11","C:/Users/User/Desktop/subject-2.csv","legacy","9 8 4","Melodramatic Milgram","4.0.5","1","y","0","left","space","left","left","NA","713.0","54491","4039","713","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","9","149219","143250","144302","2680","138068","144303","126584","2687","134029","146504","148505","145304","57180","148504","NA","Sternberg task","8","12431.0","14","1024"
"60","60","900","900","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","14","14","14","0","0","14","14","0","0","14","14","14","0","14","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","11","C:/Users/User/Desktop/subject-2.csv","legacy","4 1 5","Melodramatic Milgram","4.0.5","2","y","0","left","space","left","left","NA","1076.0","54491","4039","1076","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","1","155559","149225","150278","2680","138068","150279","126584","2687","134029","152481","154482","151280","57180","154482","NA","Sternberg task","9","13507.0","15","1024"
"56","56","875","875","#3d3846","experiment","legacy","legacy","legacy","0","undefined","0","left","15","15","15","0","0","15","15","0","0","15","15","15","0","15","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","11","C:/Users/User/Desktop/subject-2.csv","legacy","2 6 1 7 4","Melodramatic Milgram","4.0.5","2","y","0","right","space","left","right","NA","498.0","54491","4039","498","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","6","161319","155565","156618","2680","138068","156619","126584","2687","134029","158820","160821","157619","57180","160820","NA","Sternberg task","9","14005.0","16","1024"
"58","58","868","868","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","16","16","16","0","0","16","16","0","0","16","16","16","0","16","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","11","C:/Users/User/Desktop/subject-2.csv","legacy","8 5 1 3 9","Melodramatic Milgram","4.0.5","4","y","0","left","space","left","left","NA","766.0","54491","4039","766","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","167354","155565","162383","2680","138068","162384","161322","2687","134029","164586","166587","163385","57180","166586","NA","Sternberg task","10","14771.0","17","1024"
"61","61","854","854","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","17","17","17","0","0","17","17","0","0","17","17","17","0","17","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","11","C:/Users/User/Desktop/subject-2.csv","legacy","9 8 2 7 4","Melodramatic Milgram","4.0.5","0","n","0","right","space","left","right","NA","607.0","54491","4039","607","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","5","173204","167360","168393","2680","138068","168394","161322","2687","134029","170596","172597","169395","57180","172596","NA","Sternberg task","11","15378.0","18","1024"
"63","63","847","847","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","left","18","18","18","0","0","18","18","0","0","18","18","18","0","18","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","11","C:/Users/User/Desktop/subject-2.csv","legacy","3 5 4 7","Melodramatic Milgram","4.0.5","1","y","0","left","space","left","left","NA","717.0","54491","4039","717","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","3","179173","173210","174250","2680","138068","174252","161322","2687","134029","176453","178455","175253","57180","178454","NA","Sternberg task","12","16095.0","19","1024"
"65","65","839","839","#3d3846","experiment","legacy","legacy","legacy","1","undefined","1","right","19","19","19","0","0","19","19","0","0","19","19","19","0","19","0","Sun Oct 22 13:42:56 2023","The main experiment item","False","Sternbergtask.osexp","C:\Users\User\Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","11","C:/Users/User/Desktop/subject-2.csv","legacy","8 4 3 5","Melodramatic Milgram","4.0.5","0","n","0","right","space","left","right","NA","689.0","54491","4039","689","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","185118","179179","180224","2680","138068","180226","161322","2687","134029","182428","184428","181227","57180","184428","NA","Sternberg task","13","16784.0","20","1024"
