acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_iSi,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_logger,count_memorySet,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_iSi,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_logger,time_memorySet,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
90.90909091,90.90909091,864.6363636,864.6363636,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,10,10,0,0,10,10,10,0,0,10,10,10,0,10,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/rayra/Documents/subject-1.csv,legacy,5,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,NA,right,NA,648,38208,NA,648,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,105140,106375,3549,NA,106378,108587,73345,3554,NA,110591,111240,107382,41763,110591,NA,Sternberg task,10,9511,11,yes,1024
91.66666667,91.66666667,831.0833333,831.0833333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,11,11,0,0,11,11,11,0,0,11,11,11,0,11,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/rayra/Documents/subject-1.csv,legacy,6,Lentiform Loewenfeld,3.3.9,1,y,0,left,left,NA,left,NA,462,38208,NA,462,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,111248,112495,3549,NA,112498,114707,73345,3554,NA,116711,117174,113502,41763,116711,NA,Sternberg task,11,9973,12,yes,1024
84.61538462,84.61538462,818.2307692,818.2307692,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,12,12,0,0,12,12,12,0,0,12,12,12,0,12,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,0,11,C:/Users/rayra/Documents/subject-1.csv,legacy,6 7 8 5,Lentiform Loewenfeld,3.3.9,3,y,0,right,left,left,right,NA,664,38208,16490,664,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,8,117183,134903,3549,134737,134905,137112,73345,3554,118246,139117,139782,135908,41763,139117,NA,Sternberg task,11,10637,13,yes,1024
85.71428571,85.71428571,803.2857143,803.2857143,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,13,13,0,0,13,13,13,0,0,13,13,13,0,13,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,1,11,C:/Users/rayra/Documents/subject-1.csv,legacy,6 7 9 3 1 2,Lentiform Loewenfeld,3.3.9,1,y,0,left,left,left,left,NA,609,38208,16490,609,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,117183,141086,3549,134737,141090,143299,139801,3554,118246,145303,145913,142093,41763,145303,NA,Sternberg task,12,11246,14,yes,1024
86.66666667,86.66666667,808.0666667,808.0666667,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,14,14,0,0,14,14,14,0,0,14,14,14,0,14,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,2,11,C:/Users/rayra/Documents/subject-1.csv,legacy,7 8 6 1,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,left,right,NA,875,38208,16490,875,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,3,145921,147176,3549,134737,147178,149388,139801,3554,118246,151393,152268,148183,41763,151392,NA,Sternberg task,13,12121,15,yes,1024
87.5,87.5,799.75,799.75,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,15,15,0,0,15,15,15,0,0,15,15,15,0,15,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,3,11,C:/Users/rayra/Documents/subject-1.csv,legacy,3 9 7 6 4,Lentiform Loewenfeld,3.3.9,3,y,0,left,left,left,left,NA,675,38208,16490,675,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,7,152277,153554,3549,134737,153556,155766,139801,3554,118246,157771,158447,154560,41763,157770,NA,Sternberg task,14,12796,16,yes,1024
88.23529412,88.23529412,784.2941176,784.2941176,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,16,16,0,0,16,16,16,0,0,16,16,16,0,16,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,4,11,C:/Users/rayra/Documents/subject-1.csv,legacy,7 6,Lentiform Loewenfeld,3.3.9,2,y,0,left,left,left,left,NA,537,38208,16490,537,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,6,158456,159732,3549,134737,159736,161945,139801,3554,118246,163949,164487,160741,41763,163949,NA,Sternberg task,15,13333,17,yes,1024
88.88888889,88.88888889,790.5,790.5,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,right,17,17,0,0,17,17,17,0,0,17,17,17,0,17,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,5,11,C:/Users/rayra/Documents/subject-1.csv,legacy,9 7 4 5 8,Lentiform Loewenfeld,3.3.9,0,n,0,right,left,left,right,NA,896,38208,16490,896,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,6,164510,165702,3549,134737,165705,167914,139801,3554,118246,169919,170816,166710,41763,169919,NA,Sternberg task,16,14229,18,yes,1024
89.47368421,89.47368421,776.0526316,776.0526316,black,experiment,legacy,legacy,legacy,0,uniform,1,undefined,1,left,18,18,0,0,18,18,18,0,0,18,18,18,0,18,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,6,11,C:/Users/rayra/Documents/subject-1.csv,legacy,6 2,Lentiform Loewenfeld,3.3.9,1,y,0,left,left,left,left,NA,516,38208,16490,516,NA,2,legacy,2,1024,2,48000,-16,experiment,1,odd,6,170823,172058,3549,134737,172060,174271,139801,3554,118246,176275,176791,173066,41763,176275,NA,Sternberg task,17,14745,19,yes,1024
85,85,796.05,796.05,black,experiment,legacy,legacy,legacy,0,uniform,0,undefined,0,left,19,19,0,0,19,19,19,0,0,19,19,19,0,19,0,Fri Oct 15 20:26:29 2021,The main experiment item,yes,Sternbergtask.osexp,C:/Users/rayra/Documents,no,mono,no,18,no,white,no,yes,768,legacy,7,11,C:/Users/rayra/Documents/subject-1.csv,legacy,4 6 2 5 1,Lentiform Loewenfeld,3.3.9,5,y,0,right,left,left,right,NA,1176,38208,16490,1176,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,1,176799,178041,3549,134737,178044,180254,139801,3554,118246,182259,183436,179049,41763,182258,NA,Sternberg task,17,15921,20,yes,1024
