"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_Fixation","count_ISI","count_Instruction1","count_Instructions2","count_ThankYou","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_incorrectFeedback","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_ThankYou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_ThankYou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_Fixation","time_ISI","time_Instruction1","time_Instructions2","time_ThankYou","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_incorrectFeedback","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.9090909091","90.9090909091","1023.36363636","1023.36363636","black","no","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","10","10","0","0","0","10","10","0","0","10","10","10","10","0","10","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Anabel/Desktop/subject-2.csv","legacy","3 1 9 4","Jazzy James","3.1.9","0","n","0","left","space","NA","NA","left","854","16227","NA","NA","854","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","82559","84763","1548","NA","NA","81476","82557","1544","NA","NA","86765","83561","87620","17777","86765","Sternberg Task","10","11257","11","yes","1024"
"91.6666666667","91.6666666667","1047.66666667","1047.66666667","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","11","11","0","0","0","11","11","0","0","11","11","11","11","0","11","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","1 5 2 9","Jazzy James","3.1.9","2","y","0","left","space","NA","NA","left","1315","16227","NA","NA","1315","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","88750","90954","1548","NA","NA","81476","88748","1544","NA","87676","92956","89752","94273","17777","92956","Sternberg Task","11","12572","12","yes","1024"
"92.3076923077","92.3076923077","1035","1035","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","12","12","0","0","0","12","12","0","0","12","12","12","12","0","12","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","8 5 1 3 9","Jazzy James","3.1.9","4","y","0","left","space","space","NA","left","883","16227","3393","NA","883","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","98854","101058","1548","95357","NA","94332","98853","1544","98751","87676","103060","99856","103944","17777","103060","Sternberg Task","12","13455","13","yes","1024"
"92.8571428571","92.8571428571","1019.21428571","1019.21428571","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","13","13","0","0","0","13","13","0","0","13","13","13","13","0","13","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","2 5 4 8 7","Jazzy James","3.1.9","3","y","0","left","space","space","NA","left","814","16227","3393","NA","814","2","legacy","5","1024","2","48000","-16","experiment","2","even","4","105073","107277","1548","95357","NA","103997","105071","1544","98751","87676","109279","106075","110095","17777","109279","Sternberg Task","13","14269","14","yes","1024"
"93.3333333333","93.3333333333","997.533333333","997.533333333","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","14","14","0","0","0","14","14","0","0","14","14","14","14","0","14","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","8 5 7 3 6","Jazzy James","3.1.9","0","n","0","right","space","space","NA","right","694","16227","3393","NA","694","2","legacy","5","1024","2","48000","-16","experiment","2","even","9","111239","113443","1548","95357","NA","110153","111237","1544","98751","87676","115445","112241","116140","17777","115445","Sternberg Task","14","14963","15","yes","1024"
"87.5","87.5","1010.625","1010.625","black","no","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","15","15","0","0","0","15","15","0","0","15","15","15","15","0","15","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","7 2 3","Jazzy James","3.1.9","3","y","0","right","space","space","NA","right","1207","16227","3393","NA","1207","2","legacy","3","1024","2","48000","-16","experiment","2","even","3","117278","119483","1548","95357","NA","116197","117277","1544","98751","87676","121485","118281","122693","17777","121485","Sternberg Task","14","16170","16","yes","1024"
"82.3529411765","82.3529411765","1468.70588235","1468.70588235","black","no","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","16","16","0","0","0","16","16","0","0","16","16","16","16","0","16","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","2 7 5","Jazzy James","3.1.9","0","n","0","left","space","space","NA","left","8798","16227","3393","NA","8798","2","legacy","3","1024","2","48000","-16","experiment","2","even","8","123838","126042","1548","95357","NA","116197","123836","1544","98751","122753","128044","124840","136843","17777","128044","Sternberg Task","14","24968","17","yes","1024"
"83.3333333333","83.3333333333","1452.11111111","1452.11111111","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","17","17","0","0","0","17","17","0","0","17","17","17","17","0","17","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","7 4 2 8 1 9","Jazzy James","3.1.9","0","n","0","right","space","space","NA","right","1170","16227","3393","NA","1170","2","legacy","6","1024","2","48000","-16","experiment","2","even","5","137977","140181","1548","95357","NA","116197","137975","1544","98751","136898","142183","138979","143354","17777","142183","Sternberg Task","15","26138","18","yes","1024"
"84.2105263158","84.2105263158","1435.84210526","1435.84210526","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","18","18","0","0","0","18","18","0","0","18","18","18","18","0","18","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","4 2 6 9","Jazzy James","3.1.9","0","n","0","right","space","space","NA","right","1143","16227","3393","NA","1143","2","legacy","4","1024","2","48000","-16","experiment","2","even","7","144487","146691","1548","95357","NA","143409","144485","1544","98751","136898","148693","145489","149837","17777","148693","Sternberg Task","16","27281","19","yes","1024"
"85","85","1414.8","1414.8","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","19","19","0","0","0","19","19","0","0","19","19","19","19","0","19","10/02/18 15:13:01","The main experiment item","yes","NA","SternbergTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/Anabel/Desktop/subject-2.csv","legacy","9","Jazzy James","3.1.9","0","n","0","right","space","space","NA","right","1015","16227","3393","NA","1015","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","150955","153159","1548","95357","NA","149887","150953","1544","98751","136898","155161","151957","156178","17777","155161","Sternberg Task","17","28296","20","yes","1024"
