"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/07/18 19:19:19","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/I. Edwards/Desktop/kg-subject-3.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","None","right","NA","None","NA","2000","56253","NA","2000","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","63161","NA","60938","2931","NA","60943","NA","2938","NA","65174","67174","61950","59193","65173","NA","Sternberg task","0","2000","1","yes","1024"
"50","50","1476.5","1476.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/07/18 19:19:19","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/I. Edwards/Desktop/kg-subject-3.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","953","56253","NA","953","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","70857","NA","68628","2931","NA","68632","67366","2938","NA","72871","73825","69645","59193","72870","NA","Sternberg task","1","2953","2","yes","1024"
"66.6666666667","66.6666666667","1315.66666667","1315.66666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/07/18 19:19:19","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/I. Edwards/Desktop/kg-subject-3.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","994","56253","NA","994","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","77322","73837","75093","2931","NA","75098","67366","2938","NA","79334","80329","76110","59193","79333","NA","Sternberg task","2","3947","3","yes","1024"
"75","75","1247.5","1247.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/07/18 19:19:19","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/I. Edwards/Desktop/kg-subject-3.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","1043","56253","NA","1043","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","83827","80339","81598","2931","NA","81603","67366","2938","NA","85839","86883","82615","59193","85839","NA","Sternberg task","3","4990","4","yes","1024"
"80","80","1157.6","1157.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/07/18 19:19:19","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/I. Edwards/Desktop/kg-subject-3.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","798","56253","NA","798","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","90383","86897","88153","2931","NA","88159","67366","2938","NA","92397","93196","89171","59193","92395","NA","Sternberg task","4","5788","5","yes","1024"
"83.3333333333","83.3333333333","1108","1108","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/07/18 19:19:19","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/I. Edwards/Desktop/kg-subject-3.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","left","right","NA","left","NA","860","56253","NA","860","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","96696","93207","94467","2931","NA","94471","67366","2938","NA","98709","99571","95484","59193","98709","NA","Sternberg task","5","6648","6","yes","1024"
"85.7142857143","85.7142857143","1037.57142857","1037.57142857","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/07/18 19:19:19","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/I. Edwards/Desktop/kg-subject-3.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","615","56253","NA","615","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","103063","99581","100833","2931","NA","100839","67366","2938","NA","105075","105691","101850","59193","105074","NA","Sternberg task","6","7263","7","yes","1024"
"87.5","87.5","985.5","985.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/07/18 19:19:19","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/I. Edwards/Desktop/kg-subject-3.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","621","56253","NA","621","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","109189","105702","106961","2931","NA","106965","67366","2938","NA","111201","111823","107977","59193","111201","NA","Sternberg task","7","7884","8","yes","1024"
"88.8888888889","88.8888888889","958.555555556","958.555555556","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/07/18 19:19:19","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/I. Edwards/Desktop/kg-subject-3.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","743","56253","NA","743","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","115311","111834","113083","2931","NA","113087","67366","2938","NA","117325","118070","114098","59193","117323","NA","Sternberg task","8","8627","9","yes","1024"
"90","90","1000.6","1000.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/07/18 19:19:19","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/I. Edwards/Desktop/kg-subject-3.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","right","NA","left","NA","1379","56253","NA","1379","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","121564","118081","119335","2931","NA","119339","67366","2938","NA","123577","124958","120352","59193","123577","NA","Sternberg task","9","10006","10","yes","1024"
