"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboardResponse","correct_response","count_ISI","count_Practiceloop","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrect","count_instruction1","count_instructions2","count_keyboardResponse","count_logger","count_memorySet","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboardResponse","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboardResponse","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Practiceloop","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrect","time_instruction1","time_instructions2","time_keyboardResponse","time_logger","time_memorySet","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"27.2727272727","27.2727272727","1132.27272727","1132.27272727","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","10","0","10","10","0","0","10","10","0","0","10","10","10","10","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","728","85069","NA","728","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","157667","88344","154378","155462","3268","NA","155464","148348","3274","NA","159668","160397","156466","159668","NA","Sternberg task","3","12455","11","yes","1024"
"33.3333333333","33.3333333333","1132","1132","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","11","0","11","11","0","0","11","11","0","0","11","11","11","11","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","1129","85069","NA","1129","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","163696","88344","160408","161492","3268","NA","161494","148348","3274","NA","165697","166827","162495","165697","NA","Sternberg task","4","13584","12","yes","1024"
"38.4615384615","38.4615384615","1108.61538462","1108.61538462","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","12","0","12","12","0","0","12","12","0","0","12","12","12","12","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","2","y","0","left","right","right","left","NA","828","85069","43556","828","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","1","213718","88344","166837","211512","3268","211410","211514","148348","3274","167854","215719","216548","212515","215719","NA","Sternberg task","5","14412","13","yes","1024"
"42.8571428571","42.8571428571","1079.35714286","1079.35714286","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","13","0","13","13","0","0","13","13","0","0","13","13","13","13","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","6 8 4","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","right","NA","699","85069","43556","699","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","1","219850","88344","216559","217645","3268","211410","217647","148348","3274","167854","221851","222550","218648","221851","NA","Sternberg task","6","15111","14","yes","1024"
"46.6666666667","46.6666666667","1078.13333333","1078.13333333","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","14","0","14","14","0","0","14","14","0","0","14","14","14","14","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","8 3","Kafkaesque Koffka","3.2.5","2","y","0","left","right","right","left","NA","1061","85069","43556","1061","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","3","225842","88344","222554","223637","3268","211410","223639","148348","3274","167854","227844","228905","224641","227843","NA","Sternberg task","7","16172","15","yes","1024"
"50","50","1045.5","1045.5","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","15","0","15","15","0","0","15","15","0","0","15","15","15","15","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","7 9","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","right","NA","556","85069","43556","556","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","1","232204","88344","228916","230000","3268","211410","230002","148348","3274","167854","234206","234762","231003","234205","NA","Sternberg task","8","16728","16","yes","1024"
"52.9411764706","52.9411764706","1025.35294118","1025.35294118","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","16","0","16","16","0","0","16","16","0","0","16","16","16","16","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","2 8 9","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","right","NA","703","85069","43556","703","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","6","238062","88344","234773","235857","3268","211410","235859","148348","3274","167854","240064","240768","236861","240064","NA","Sternberg task","9","17431","17","yes","1024"
"55.5555555556","55.5555555556","1009","1009","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","17","0","17","17","0","0","17","17","0","0","17","17","17","17","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","2 3 7 4","Kafkaesque Koffka","3.2.5","1","y","0","left","right","right","left","NA","731","85069","43556","731","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","2","244067","88344","240778","241862","3268","211410","241864","148348","3274","167854","246068","246800","242865","246068","NA","Sternberg task","10","18162","18","yes","1024"
"57.8947368421","57.8947368421","996.947368421","996.947368421","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","18","0","18","18","0","0","18","18","0","0","18","18","18","18","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","6 3 1 7 9 8","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","right","NA","780","85069","43556","780","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","250101","88344","246811","247896","3268","211410","247898","148348","3274","167854","252103","252883","248899","252102","NA","Sternberg task","11","18942","19","yes","1024"
"60","60","980.8","980.8","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","19","0","19","19","0","0","19","19","0","0","19","19","19","19","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","4","Kafkaesque Koffka","3.2.5","1","y","0","left","right","right","left","NA","674","85069","43556","674","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","4","256182","88344","252894","253977","3268","211410","253979","148348","3274","167854","258184","258858","254980","258183","NA","Sternberg task","12","19616","20","yes","1024"
"61.9047619048","61.9047619048","990.761904762","990.761904762","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","20","0","20","20","0","0","20","20","0","0","20","20","20","20","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","8","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","7 4 2 6 3 5","Kafkaesque Koffka","3.2.5","6","y","0","left","right","right","left","NA","1190","85069","43556","1190","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","5","262158","88344","258869","259953","3268","211410","259955","148348","3274","167854","264159","265349","260956","264159","NA","Sternberg task","13","20806","21","yes","1024"
"63.6363636364","63.6363636364","993.5","993.5","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","21","0","21","21","0","0","21","21","0","0","21","21","21","21","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","9","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","9 3 8 2 1 4","Kafkaesque Koffka","3.2.5","3","y","0","left","right","right","left","NA","1051","85069","43556","1051","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","8","268650","88344","265360","266445","3268","211410","266447","148348","3274","167854","270651","271703","267449","270651","NA","Sternberg task","14","21857","22","yes","1024"
"65.2173913043","65.2173913043","981.173913043","981.173913043","black","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","22","0","22","22","0","0","22","22","0","0","22","22","22","22","0","10/04/18 21:58:53","The main experiment item","yes","Sternbergtask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","10","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-3.csv","legacy","2 8 9 4 1","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","right","NA","710","85069","43556","710","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","5","275002","88344","271714","272798","3268","211410","272800","148348","3274","167854","277004","277715","273801","277003","NA","Sternberg task","15","22567","23","yes","1024"
