"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instructions1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instructions1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instructions1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","1216","1216","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Oct  1 13:07:57 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/emorgan/Desktop/EM subject-3, f, 21.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","right","right","NA","right","NA","1216","32092","NA","1216","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","43366","NA","41133","6805","NA","41144","NA","6830","NA","45377","46594","42154","39298","45377","NA","Sternberg Task","0","1216","1","yes","1024"
"0","0","1608","1608","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Mon Oct  1 13:07:57 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/emorgan/Desktop/EM subject-3, f, 21.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","None","right","NA","None","NA","2000","32092","NA","2000","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","50006","NA","47775","6805","NA","47786","46687","6830","NA","52017","54017","48796","39298","52017","NA","Sternberg Task","0","3216","2","yes","1024"
"0","0","1285.66666667","1285.66666667","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Mon Oct  1 13:07:57 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/emorgan/Desktop/EM subject-3, f, 21.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","right","right","NA","right","NA","641","32092","NA","641","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","57373","NA","55141","6805","NA","55152","54056","6830","NA","59385","60027","56163","39298","59385","NA","Sternberg Task","0","3857","3","yes","1024"
"0","0","1464.25","1464.25","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Mon Oct  1 13:07:57 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/emorgan/Desktop/EM subject-3, f, 21.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","None","right","NA","None","NA","2000","32092","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","63355","NA","61122","6805","NA","61133","60044","6830","NA","65366","67366","62144","39298","65366","NA","Sternberg Task","0","5857","4","yes","1024"
"20","20","1384.8","1384.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Mon Oct  1 13:07:57 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/emorgan/Desktop/EM subject-3, f, 21.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","1067","32092","NA","1067","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","70694","NA","68461","6805","NA","68472","67379","6830","NA","72706","73775","69483","39298","72706","NA","Sternberg Task","1","6924","5","yes","1024"
"33.3333333333","33.3333333333","1301.5","1301.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Mon Oct  1 13:07:57 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/emorgan/Desktop/EM subject-3, f, 21.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","885","32092","NA","885","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","77100","73787","74867","6805","NA","74878","67379","6830","NA","79111","79997","75889","39298","79111","NA","Sternberg Task","2","7809","6","yes","1024"
"42.8571428571","42.8571428571","1265.42857143","1265.42857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Mon Oct  1 13:07:57 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/emorgan/Desktop/EM subject-3, f, 21.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","1049","32092","NA","1049","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","83325","80014","81092","6805","NA","81103","67379","6830","NA","85336","86386","82115","39298","85336","NA","Sternberg Task","3","8858","7","yes","1024"
"50","50","1201.125","1201.125","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Mon Oct  1 13:07:57 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/emorgan/Desktop/EM subject-3, f, 21.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","751","32092","NA","751","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","89721","86403","87488","6805","NA","87499","67379","6830","NA","91732","92484","88509","39298","91732","NA","Sternberg Task","4","9609","8","yes","1024"
"55.5555555556","55.5555555556","1190","1190","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Mon Oct  1 13:07:57 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/emorgan/Desktop/EM subject-3, f, 21.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","1101","32092","NA","1101","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","95808","92496","93574","6805","NA","93585","67379","6830","NA","97818","98920","94596","39298","97818","NA","Sternberg Task","5","10710","9","yes","1024"
"60","60","1215.8","1215.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Mon Oct  1 13:07:57 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/emorgan/Desktop/EM subject-3, f, 21.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","left","right","NA","left","NA","1448","32092","NA","1448","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","102265","98955","100032","6805","NA","100044","67379","6830","NA","104276","105725","101054","39298","104276","NA","Sternberg Task","6","12158","10","yes","1024"
