"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/07/18 17:07:08","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/I. Edwards/Desktop/kg-subject-1.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","None","left","NA","None","NA","2000","63295","NA","2000","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","70222","NA","67993","2945","NA","67997","NA","2952","NA","72238","74238","69010","66250","72234","NA","Sternberg task","0","2000","1","yes","1024"
"50","50","1761","1761","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/07/18 17:07:08","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/I. Edwards/Desktop/kg-subject-1.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","left","left","NA","left","NA","1522","63295","NA","1522","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","77919","NA","75690","2945","NA","75695","74430","2952","NA","79936","81459","76707","66250","79930","NA","Sternberg task","1","3522","2","yes","1024"
"33.3333333333","33.3333333333","1492","1492","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/07/18 17:07:08","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/I. Edwards/Desktop/kg-subject-1.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","left","left","NA","left","NA","954","63295","NA","954","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","84944","81470","82714","2945","NA","82720","74430","2952","NA","86959","87914","83732","66250","86956","NA","Sternberg task","1","4476","3","yes","1024"
"25","25","1297.5","1297.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/07/18 17:07:08","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/I. Edwards/Desktop/kg-subject-1.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","right","left","NA","right","NA","714","63295","NA","714","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","91427","81470","89198","2945","NA","89203","87925","2952","NA","93432","94148","90215","66250","93431","NA","Sternberg task","1","5190","4","yes","1024"
"40","40","1316.4","1316.4","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/07/18 17:07:08","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/I. Edwards/Desktop/kg-subject-1.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","1392","63295","NA","1392","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","97645","81470","95418","2945","NA","95422","94159","2952","NA","99653","101046","96432","66250","99652","NA","Sternberg task","2","6582","5","yes","1024"
"50","50","1201.5","1201.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/07/18 17:07:08","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/I. Edwards/Desktop/kg-subject-1.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","627","63295","NA","627","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","104534","101057","102304","2945","NA","102308","94159","2952","NA","106547","107175","103321","66250","106545","NA","Sternberg task","3","7209","6","yes","1024"
"42.8571428571","42.8571428571","1126.71428571","1126.71428571","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/07/18 17:07:08","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/I. Edwards/Desktop/kg-subject-1.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","right","left","NA","right","NA","678","63295","NA","678","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","110669","107186","108440","2945","NA","108445","94159","2952","NA","112683","113363","109457","66250","112681","NA","Sternberg task","3","7887","7","yes","1024"
"50","50","1186","1186","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/07/18 17:07:08","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/I. Edwards/Desktop/kg-subject-1.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","1601","63295","NA","1601","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","116851","107186","114631","2945","NA","114636","113373","2952","NA","118856","120458","115648","66250","118855","NA","Sternberg task","4","9488","8","yes","1024"
"55.5555555556","55.5555555556","1235.11111111","1235.11111111","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/07/18 17:07:08","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/I. Edwards/Desktop/kg-subject-1.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","1628","63295","NA","1628","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","123935","120473","121716","2945","NA","121720","113373","2952","NA","125953","127583","122732","66250","125949","NA","Sternberg task","5","11116","9","yes","1024"
"60","60","1302.5","1302.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/07/18 17:07:08","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/I. Edwards/Desktop/kg-subject-1.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","1909","63295","NA","1909","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","131087","127594","128875","2945","NA","128880","113373","2952","NA","133092","135002","129883","66250","133091","NA","Sternberg task","6","13025","10","yes","1024"
