"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_ISI","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_logger","count_memorySet","count_new_keyboard_response","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_ISI","response_instruction1","response_instruction2","response_new_keyboard_response","response_thankYou","response_time","response_time_ISI","response_time_instruction1","response_time_instruction2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_logger","time_memorySet","time_new_keyboard_response","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.9090909091","90.9090909091","1782.63636364","1782.63636364","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","10","10","10","0","0","10","10","0","0","10","10","10","0","10","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","10","10","/Volumes/USB20FD/subject-2 f.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","NA","right","NA","907","648","78277","NA","907","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","221635","218288","219396","2307","NA","219407","148552","2324","NA","223204","220420","222295","132152","222294","NA","Sternberg Task","10","19609","11","yes","1024"
"83.3333333333","83.3333333333","1822.83333333","1822.83333333","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","0","right","11","11","11","0","0","11","11","0","0","11","11","11","0","11","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Volumes/USB20FD/subject-2 f.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","left","up","","NA","left","NA","2265","1795","78277","NA","2265","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","226560","223216","224320","2307","NA","224331","148552","2324","NA","230632","225344","228366","132152","228366","NA","Sternberg Task","10","21874","12","yes","1024"
"76.9230769231","76.9230769231","1820.84615385","1820.84615385","black","experiment","legacy","legacy","legacy","0","uniform","0","0","undefined","0","right","12","12","12","0","0","12","12","0","0","12","12","12","0","12","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","0","11","/Volumes/USB20FD/subject-2 f.csv","legacy","1 4 9 3","Kafkaesque Koffka","3.2.5","0","n","0","left","up","","up","left","NA","1797","1807","78277","11966","1797","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","246005","223216","243763","2307","243648","243773","230645","2324","231681","249623","244789","247825","132152","247825","NA","Sternberg Task","10","23671","13","yes","1024"
"78.5714285714","78.5714285714","1830.07142857","1830.07142857","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","13","13","13","0","0","13","13","0","0","13","13","13","0","13","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","1","11","/Volumes/USB20FD/subject-2 f.csv","legacy","6 9 7 4 5 1","Kafkaesque Koffka","3.2.5","2","y","0","left","up","","up","left","NA","1950","2611","78277","11966","1950","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","9","252985","223216","250743","2307","243648","250753","249636","2324","231681","257558","251769","255607","132152","255607","NA","Sternberg Task","11","25621","14","yes","1024"
"80","80","1772.13333333","1772.13333333","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","14","14","14","0","0","14","14","0","0","14","14","14","0","14","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","2","11","/Volumes/USB20FD/subject-2 f.csv","legacy","9 1 6 7 8","Kafkaesque Koffka","3.2.5","1","y","0","left","up","","up","left","NA","961","2339","78277","11966","961","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","9","260918","257571","258675","2307","243648","258685","249636","2324","231681","264230","259702","263268","132152","263268","NA","Sternberg Task","12","26582","15","yes","1024"
"81.25","81.25","1742.375","1742.375","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","15","15","15","0","0","15","15","0","0","15","15","15","0","15","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","3","11","/Volumes/USB20FD/subject-2 f.csv","legacy","7 8 4 6 9 5","Kafkaesque Koffka","3.2.5","4","y","0","left","up","","up","left","NA","1296","977","78277","11966","1296","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","267593","264244","265353","2307","243648","265363","249636","2324","231681","269878","266376","268581","132152","268581","NA","Sternberg Task","13","27878","16","yes","1024"
"82.3529411765","82.3529411765","1697.64705882","1697.64705882","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","16","16","16","0","0","16","16","0","0","16","16","16","0","16","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","4","11","/Volumes/USB20FD/subject-2 f.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","2","y","0","left","up","","up","left","NA","982","1385","78277","11966","982","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","1","273236","269891","270999","2307","243648","271008","249636","2324","231681","275615","272021","274632","132152","274632","NA","Sternberg Task","14","28860","17","yes","1024"
"83.3333333333","83.3333333333","1638.66666667","1638.66666667","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","17","17","17","0","0","17","17","0","0","17","17","17","0","17","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","5","11","/Volumes/USB20FD/subject-2 f.csv","legacy","1 7 5 2","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","636","1240","78277","11966","636","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","3","278973","275628","276732","2307","243648","276743","249636","2324","231681","280862","277756","280224","132152","280224","NA","Sternberg Task","15","29496","18","yes","1024"
"84.2105263158","84.2105263158","1612.57894737","1612.57894737","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","18","18","18","0","0","18","18","0","0","18","18","18","0","18","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","6","11","/Volumes/USB20FD/subject-2 f.csv","legacy","8 9","Kafkaesque Koffka","3.2.5","0","n","0","right","up","","up","right","NA","1143","84","78277","11966","1143","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","284217","280874","281984","2307","243648","281994","249636","2324","231681","285458","283005","284313","132152","284313","NA","Sternberg Task","16","30639","19","yes","1024"
"85","85","1574.65","1574.65","black","experiment","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","19","19","19","0","0","19","19","0","0","19","19","19","0","19","0","Sun Oct  7 18:07:52 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","7","11","/Volumes/USB20FD/subject-2 f.csv","legacy","5 2 6","Kafkaesque Koffka","3.2.5","2","y","0","left","up","","up","left","NA","854","502","78277","11966","854","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","288820","285474","286581","2307","243648","286591","249636","2324","231681","290188","287604","289333","132152","289333","NA","Sternberg Task","17","31493","20","yes","1024"
