"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instruction2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","8","8","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/07/18 17:53:30","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/I. Edwards/Desktop/kg-subject-2.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","left","right","NA","left","NA","8","41786","NA","8","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","48240","NA","46010","2667","NA","46016","NA","2677","NA","50252","50262","47028","44465","50251","NA","Sternberg task","0","8","1","yes","1024"
"0","0","342","342","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/07/18 17:53:30","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/I. Edwards/Desktop/kg-subject-2.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","right","right","NA","right","NA","676","41786","NA","676","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","53916","NA","51687","2667","NA","51691","50448","2677","NA","55931","56608","52703","44465","55927","NA","Sternberg task","0","684","2","yes","1024"
"0","0","520.333333333","520.333333333","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/07/18 17:53:30","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/I. Edwards/Desktop/kg-subject-2.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","right","right","NA","right","NA","877","41786","NA","877","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","60107","NA","57879","2667","NA","57883","56619","2677","NA","62119","62997","58895","44465","62119","NA","Sternberg task","0","1561","3","yes","1024"
"0","0","557.5","557.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/07/18 17:53:30","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/I. Edwards/Desktop/kg-subject-2.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","right","right","NA","right","NA","669","41786","NA","669","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","66486","NA","64258","2667","NA","64262","63007","2677","NA","68499","69169","65273","44465","68498","NA","Sternberg task","0","2230","4","yes","1024"
"20","20","560.8","560.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/07/18 17:53:30","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/I. Edwards/Desktop/kg-subject-2.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","574","41786","NA","574","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","72664","NA","70435","2667","NA","70440","69181","2677","NA","74679","75254","71452","44465","74675","NA","Sternberg task","1","2804","5","yes","1024"
"16.6666666667","16.6666666667","535.666666667","535.666666667","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/07/18 17:53:30","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/I. Edwards/Desktop/kg-subject-2.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","left","right","NA","left","NA","410","41786","NA","410","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","78741","75265","76512","2667","NA","76517","69181","2677","NA","80753","81164","77528","44465","80753","NA","Sternberg task","1","3214","6","yes","1024"
"28.5714285714","28.5714285714","538.428571429","538.428571429","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/07/18 17:53:30","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/I. Edwards/Desktop/kg-subject-2.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","555","41786","NA","555","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","84656","75265","82426","2667","NA","82431","81175","2677","NA","86668","87224","83444","44465","86667","NA","Sternberg task","2","3769","7","yes","1024"
"25","25","519.375","519.375","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/07/18 17:53:30","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/I. Edwards/Desktop/kg-subject-2.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","right","right","NA","right","NA","386","41786","NA","386","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","90715","87235","88486","2667","NA","88491","81175","2677","NA","92733","93120","89503","44465","92727","NA","Sternberg task","2","4155","8","yes","1024"
"33.3333333333","33.3333333333","504.555555556","504.555555556","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/07/18 17:53:30","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/I. Edwards/Desktop/kg-subject-2.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","386","41786","NA","386","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","96620","87235","94391","2667","NA","94395","93131","2677","NA","98632","99020","95407","44465","98632","NA","Sternberg task","3","4541","9","yes","1024"
"30","30","654.1","654.1","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/07/18 17:53:30","The main experiment item","yes","Sternbergtask.osexp","C:/Users/I. Edwards/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/I. Edwards/Desktop/kg-subject-2.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","None","right","NA","None","NA","2000","41786","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","102509","99031","100282","2667","NA","100286","93131","2677","NA","104522","106523","101298","44465","104522","NA","Sternberg task","3","6541","10","yes","1024"
