"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","no","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/05/18 14:26:33","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Knitwitty/Documents/subject-1.csv","legacy","2 9 4","Jazzy James","3.1.9","3","y","0","None","right","NA","None","NA","2000","29653","NA","2000","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","47494","NA","45284","5111","NA","45288","NA","5115","NA","49497","51498","46291","34770","49497","NA","Sternberg task","0","2000","1","yes","1024"
"50","50","1701","1701","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/05/18 14:26:33","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Knitwitty/Documents/subject-1.csv","legacy","4 1 5","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","1402","29653","NA","1402","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","54905","NA","52695","5111","NA","52698","51538","5115","NA","56910","58313","53702","34770","56910","NA","Sternberg task","1","3402","2","yes","1024"
"66.6666666667","66.6666666667","1604.66666667","1604.66666667","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/05/18 14:26:33","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Knitwitty/Documents/subject-1.csv","legacy","9 6 7 4 5","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","1412","29653","NA","1412","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","61704","58331","59495","5111","NA","59499","51538","5115","NA","63708","65122","60502","34770","63708","NA","Sternberg task","2","4814","3","yes","1024"
"75","75","1374.75","1374.75","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/05/18 14:26:33","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Knitwitty/Documents/subject-1.csv","legacy","2 1","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","685","29653","NA","685","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","68599","65237","66389","5111","NA","66393","51538","5115","NA","70603","71290","67395","34770","70603","NA","Sternberg task","3","5499","4","yes","1024"
"80","80","1298","1298","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/05/18 14:26:33","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Knitwitty/Documents/subject-1.csv","legacy","6","Jazzy James","3.1.9","1","y","0","left","right","NA","left","NA","991","29653","NA","991","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","74676","71311","72466","5111","NA","72470","51538","5115","NA","76681","77673","73473","34770","76680","NA","Sternberg task","4","6490","5","yes","1024"
"83.3333333333","83.3333333333","1232.16666667","1232.16666667","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/05/18 14:26:33","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Knitwitty/Documents/subject-1.csv","legacy","4 8","Jazzy James","3.1.9","1","y","0","left","right","NA","left","NA","903","29653","NA","903","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","81059","77690","78849","5111","NA","78853","51538","5115","NA","83064","83969","79856","34770","83063","NA","Sternberg task","5","7393","6","yes","1024"
"85.7142857143","85.7142857143","1179.14285714","1179.14285714","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/05/18 14:26:33","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Knitwitty/Documents/subject-1.csv","legacy","5","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","861","29653","NA","861","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","87350","83985","85138","5111","NA","85143","51538","5115","NA","89355","90218","86146","34770","89354","NA","Sternberg task","6","8254","7","yes","1024"
"87.5","87.5","1177.625","1177.625","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/05/18 14:26:33","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Knitwitty/Documents/subject-1.csv","legacy","3 1 9 4","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","1167","29653","NA","1167","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","93605","90236","91393","5111","NA","91397","51538","5115","NA","95609","96777","92402","34770","95609","NA","Sternberg task","7","9421","8","yes","1024"
"88.8888888889","88.8888888889","1122.22222222","1122.22222222","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/05/18 14:26:33","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Knitwitty/Documents/subject-1.csv","legacy","5 7 8 4 1 2","Jazzy James","3.1.9","0","n","0","right","right","NA","right","NA","679","29653","NA","679","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","100165","96794","97953","5111","NA","97958","51538","5115","NA","102169","102849","98962","34770","102169","NA","Sternberg task","8","10100","9","yes","1024"
"90","90","1076.1","1076.1","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/05/18 14:26:33","The main experiment item","yes","NA","Sternbergtask.osexp","C:\Users\Knitwitty\Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Knitwitty/Documents/subject-1.csv","legacy","1 7 9 8 5","Jazzy James","3.1.9","4","y","0","left","right","NA","left","NA","661","29653","NA","661","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","106239","102866","104028","5111","NA","104033","51538","5115","NA","108243","108906","105036","34770","108243","NA","Sternberg task","9","10761","10","yes","1024"
