"acc","accuracy","average_response_time","avg_rt","background","bidi","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Instruction1","correct_keyboard_response","correct_response","count_CorrectResponse","count_ExperimentLoop","count_Fixation","count_ISI","count_IncorrectFeedback","count_Instruction1","count_Instructions2","count_Memory","count_PracticeLoop","count_Probe","count_Sternburgtask","count_Thankyou","count_XSequence","count_keyboard_response","count_logger","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_Instruction1","response_Instructions2","response_Thankyou","response_keyboard_response","response_time","response_time_Instruction1","response_time_Instructions2","response_time_Thankyou","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_CorrectResponse","time_ExperimentLoop","time_Fixation","time_ISI","time_IncorrectFeedback","time_Instruction1","time_Instructions2","time_Memory","time_PracticeLoop","time_Probe","time_Sternburgtask","time_Thankyou","time_XSequence","time_keyboard_response","time_logger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"72.7272727273","72.7272727273","1070.27272727","1070.27272727","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","10","0","10","10","10","0","0","10","0","10","0","0","10","10","10","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","10","10","/Users/danieldalton/subject-1.csv","legacy","6","Jazzy James","3.1.9","1","y","0","left","right","NA","NA","left","490","50265","NA","NA","490","2","legacy","1","1024","2","48000","-16","Sternburgtask","1","odd","6","116770","NA","117824","120054","98226","2010","NA","118838","52291","122073","1978","NA","117813","122073","122565","New experiment","8","11773","11","yes","1024"
"75","75","1021.25","1021.25","black","no","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","11","0","11","11","11","0","0","11","0","11","0","0","11","11","11","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Users/danieldalton/subject-1.csv","legacy","4 3 1 7 9 8","Jazzy James","3.1.9","1","y","0","left","right","NA","NA","left","482","50265","NA","NA","482","2","legacy","6","1024","2","48000","-16","Sternburgtask","1","odd","4","122582","NA","123634","125868","98226","2010","NA","124651","52291","127882","1978","NA","123623","127883","128368","New experiment","9","12255","12","yes","1024"
"76.9230769231","76.9230769231","1032.84615385","1032.84615385","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","12","0","12","12","12","0","0","12","0","12","0","0","12","12","12","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","0","11","/Users/danieldalton/subject-1.csv","legacy","8 4 3 5","Jazzy James","3.1.9","0","n","0","right","right","left","NA","right","1172","50265","3969","NA","1172","2","legacy","4","1024","2","48000","-16","Sternburgtask","1","odd","6","128383","133384","133470","135703","98226","2010","129413","134484","52291","137716","1978","NA","133459","137717","138891","New experiment","10","13427","13","yes","1024"
"78.5714285714","78.5714285714","1031.42857143","1031.42857143","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","13","0","13","13","13","0","0","13","0","13","0","0","13","13","13","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","1","11","/Users/danieldalton/subject-1.csv","legacy","9 3 8 2 1 4","Jazzy James","3.1.9","3","y","0","left","right","left","NA","left","1013","50265","3969","NA","1013","2","legacy","6","1024","2","48000","-16","Sternburgtask","1","odd","8","138905","133384","139959","142188","98226","2010","129413","140976","52291","144204","1978","NA","139948","144205","145220","New experiment","11","14440","14","yes","1024"
"80","80","1019.13333333","1019.13333333","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","right","14","0","14","14","14","0","0","14","0","14","0","0","14","14","14","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","2","11","/Users/danieldalton/subject-1.csv","legacy","6 8","Jazzy James","3.1.9","0","n","0","right","right","left","NA","right","847","50265","3969","NA","847","2","legacy","2","1024","2","48000","-16","Sternburgtask","1","odd","9","145234","133384","146287","148526","98226","2010","129413","147303","52291","150548","1978","NA","146274","150548","151397","New experiment","12","15287","15","yes","1024"
"81.25","81.25","1016.4375","1016.4375","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","15","0","15","15","15","0","0","15","0","15","0","0","15","15","15","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","3","11","/Users/danieldalton/subject-1.csv","legacy","9 3 1 2 5","Jazzy James","3.1.9","4","y","0","left","right","left","NA","left","976","50265","3969","NA","976","2","legacy","5","1024","2","48000","-16","Sternburgtask","1","odd","2","151411","133384","152464","154706","98226","2010","129413","153484","52291","156722","1978","NA","152453","156722","157699","New experiment","13","16263","16","yes","1024"
"76.4705882353","76.4705882353","1013.17647059","1013.17647059","black","no","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","left","16","0","16","16","16","0","0","16","0","16","0","0","16","16","16","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","4","11","/Users/danieldalton/subject-1.csv","legacy","6 7 9 3 1 2","Jazzy James","3.1.9","1","y","0","right","right","left","NA","right","961","50265","3969","NA","961","2","legacy","6","1024","2","48000","-16","Sternburgtask","1","odd","6","157715","133384","158767","161001","98226","2010","129413","159784","52291","163014","1978","NA","158755","163014","163977","New experiment","13","17224","17","yes","1024"
"77.7777777778","77.7777777778","998.944444444","998.944444444","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","17","0","17","17","17","0","0","17","0","17","0","0","17","17","17","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","5","11","/Users/danieldalton/subject-1.csv","legacy","3 5 7 1","Jazzy James","3.1.9","3","y","0","left","right","left","NA","left","757","50265","3969","NA","757","2","legacy","4","1024","2","48000","-16","Sternburgtask","1","odd","7","157715","133384","165052","167284","163992","2010","129413","166067","52291","169297","1978","NA","165040","169297","170056","New experiment","14","17981","18","yes","1024"
"73.6842105263","73.6842105263","988.684210526","988.684210526","black","no","experiment","legacy","legacy","legacy","0","uniform","0","undefined","0","right","18","0","18","18","18","0","0","18","0","18","0","0","18","18","18","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","6","11","/Users/danieldalton/subject-1.csv","legacy","5","Jazzy James","3.1.9","0","n","0","left","right","left","NA","left","804","50265","3969","NA","804","2","legacy","1","1024","2","48000","-16","Sternburgtask","1","odd","8","170069","133384","171125","173356","163992","2010","129413","172139","52291","175368","1978","NA","171114","175368","176175","New experiment","14","18785","19","yes","1024"
"75","75","987.05","987.05","black","no","experiment","legacy","legacy","legacy","0","uniform","1","undefined","1","left","19","0","19","19","19","0","0","19","0","19","0","0","19","19","19","Tue Oct  2 19:10:41 2018","The main experiment item","yes","NA","Sternburg Task.osexp","/Users/danieldalton","no","mono","no","18","no","white","no","yes","768","legacy","7","11","/Users/danieldalton/subject-1.csv","legacy","9 1 6 7 8","Jazzy James","3.1.9","1","y","0","left","right","left","NA","left","956","50265","3969","NA","956","2","legacy","5","1024","2","48000","-16","Sternburgtask","1","odd","9","170069","133384","177244","179476","176189","2010","129413","178259","52291","181491","1978","NA","177233","181492","182450","New experiment","15","19741","20","yes","1024"
