"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_ISI","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_logger","count_memorySet","count_new_keyboard_response","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_ISI","response_instruction1","response_instruction2","response_new_keyboard_response","response_thankYou","response_time","response_time_ISI","response_time_instruction1","response_time_instruction2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_logger","time_memorySet","time_new_keyboard_response","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1667","1667","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Volumes/USB20FD/subject-1 actual.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","NA","right","NA","1667","6096","129562","NA","1667","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","134453","NA","132207","2351","NA","132218","NA","2368","NA","142228","133234","140560","131936","140560","NA","Sternberg Task","1","1667","1","yes","1024"
"100","100","2433.5","2433.5","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Volumes/USB20FD/subject-1 actual.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","NA","right","NA","3200","2399","129562","NA","3200","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","145654","142296","143411","2351","NA","143421","NA","2368","NA","151265","144437","148064","131936","148064","NA","Sternberg Task","2","4867","2","yes","1024"
"100","100","2262.33333333","2262.33333333","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Volumes/USB20FD/subject-1 actual.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","right","NA","left","NA","1920","3776","129562","NA","1920","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","154631","151279","152392","2351","NA","152402","NA","2368","NA","160339","153416","158418","131936","158418","NA","Sternberg Task","3","6787","3","yes","1024"
"75","75","2453.75","2453.75","black","practice","legacy","legacy","legacy","0","uniform","0","0","undefined","0","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Volumes/USB20FD/subject-1 actual.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","right","right","right","NA","right","NA","3028","2019","129562","NA","3028","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","163701","160352","161460","2351","NA","161471","NA","2368","NA","168760","162484","165731","131936","165731","NA","Sternberg Task","3","9815","4","yes","1024"
"80","80","2142","2142","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Volumes/USB20FD/subject-1 actual.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","right","NA","left","NA","895","2872","129562","NA","895","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","172120","160352","169876","2351","NA","169886","168772","2368","NA","175899","170905","175003","131936","175003","NA","Sternberg Task","4","10710","5","yes","1024"
"83.3333333333","83.3333333333","1953","1953","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Volumes/USB20FD/subject-1 actual.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","left","right","right","NA","left","NA","1008","1983","129562","NA","1008","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","179264","175917","177019","2351","NA","177029","168772","2368","NA","182268","178046","181259","131936","181258","NA","Sternberg Task","5","11718","6","yes","1024"
"85.7142857143","85.7142857143","2093.28571429","2093.28571429","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Volumes/USB20FD/subject-1 actual.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","left","right","right","NA","left","NA","2935","2960","129562","NA","2935","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","185625","182282","183382","2351","NA","183393","168772","2368","NA","191532","184408","188596","131936","188596","NA","Sternberg Task","6","14653","7","yes","1024"
"87.5","87.5","1982.625","1982.625","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Volumes/USB20FD/subject-1 actual.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","NA","right","NA","1208","2546","129562","NA","1208","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","194885","191546","192650","2351","NA","192660","168772","2368","NA","198652","193670","197443","131936","197442","NA","Sternberg Task","7","15861","8","yes","1024"
"88.8888888889","88.8888888889","1859.88888889","1859.88888889","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Volumes/USB20FD/subject-1 actual.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","left","right","right","NA","left","NA","878","2614","129562","NA","878","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","202014","198665","199770","2351","NA","199781","168772","2368","NA","205518","200797","204639","131936","204639","NA","Sternberg Task","8","16739","9","yes","1024"
"90","90","1852.5","1852.5","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Volumes/USB20FD/subject-1 actual.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","NA","right","NA","1786","2450","129562","NA","1786","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","208883","205532","206645","2351","NA","206655","168772","2368","NA","213132","207669","211345","131936","211345","NA","Sternberg Task","9","18525","10","yes","1024"
"90.9090909091","90.9090909091","1858","1858","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","right","10","10","10","0","0","10","10","0","0","10","10","10","0","10","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","10","10","/Volumes/USB20FD/subject-1 actual.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","NA","right","NA","1913","1616","129562","NA","1913","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","216503","213146","214256","2351","NA","214267","168772","2368","NA","220046","215285","218131","131936","218131","NA","Sternberg Task","10","20438","11","yes","1024"
"91.6666666667","91.6666666667","1812","1812","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","right","11","11","11","0","0","11","11","0","0","11","11","11","0","11","0","Sun Oct  7 16:48:22 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","11","11","/Volumes/USB20FD/subject-1 actual.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","right","right","right","NA","right","NA","1306","1781","129562","NA","1306","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","223404","220059","221164","2351","NA","221174","168772","2368","NA","226505","222188","225197","131936","225197","NA","Sternberg Task","11","21744","12","yes","1024"
