subject,gender,age
1,f,25
2,f,23
3,f,21
4,f,21
5,f,19
6,m,24
7,m,32
8,m,25
9,f,32
10,m,28
11,f,34
12,m,63
13,f,27
14,f,29
15,f,27
16,f,21
17,f,46
18,m,59
19,f,26
20,f,43
21,m,19
22,f,26
23,f,24
24,f,23
25,f,21
26,f,21
27,m,23
