"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","None","right","NA","None","NA","2000","86748","NA","2000","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","96321","NA","94034","4673","NA","94084","NA","4709","NA","98326","95117","100326","91459","98326","NA","Sternburg task","0","2000","1","yes","1024"
"50","50","1447.5","1447.5","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","895","86748","NA","895","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","104442","NA","102141","4673","NA","102193","100482","4709","NA","106447","103225","107343","91459","106446","NA","Sternburg task","1","2895","2","yes","1024"
"66.6666666667","66.6666666667","1222","1222","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","771","86748","NA","771","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","111350","107381","109032","4673","NA","109103","100482","4709","NA","113354","110133","114125","91459","113354","NA","Sternburg task","2","3666","3","yes","1024"
"75","75","1018","1018","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","406","86748","NA","406","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","118223","114257","115903","4673","NA","115966","100482","4709","NA","120227","117006","120633","91459","120227","NA","Sternburg task","3","4072","4","yes","1024"
"80","80","935.2","935.2","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","604","86748","NA","604","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","124662","120700","122366","4673","NA","122428","100482","4709","NA","126665","123458","127270","91459","126665","NA","Sternburg task","4","4676","5","yes","1024"
"83.3333333333","83.3333333333","930.333333333","930.333333333","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","right","NA","left","NA","906","86748","NA","906","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","131280","127339","128994","4673","NA","129054","100482","4709","NA","133283","130076","134190","91459","133283","NA","Sternburg task","5","5582","6","yes","1024"
"85.7142857143","85.7142857143","895.571428571","895.571428571","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","687","86748","NA","687","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","138208","134263","135914","4673","NA","135974","100482","4709","NA","140211","137004","140899","91459","140211","NA","Sternburg task","6","6269","7","yes","1024"
"87.5","87.5","916.125","916.125","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","1060","86748","NA","1060","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","144962","140969","142654","4673","NA","142714","100482","4709","NA","146979","143745","148039","91459","146978","NA","Sternburg task","7","7329","8","yes","1024"
"88.8888888889","88.8888888889","874.555555556","874.555555556","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","6","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","542","86748","NA","542","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","152012","148073","149720","4673","NA","149779","100482","4709","NA","154016","150806","154560","91459","154015","NA","Sternburg task","8","7871","9","yes","1024"
"90","90","846.2","846.2","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","591","86748","NA","591","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","158594","154633","156280","4673","NA","156347","100482","4709","NA","160599","157376","161191","91459","160598","NA","Sternburg task","9","8462","10","yes","1024"
"90.9090909091","90.9090909091","811.363636364","811.363636364","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","10","10","10","0","0","10","10","0","0","10","10","10","0","10","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","2 1","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","463","86748","NA","463","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","165179","161248","162894","4673","NA","162947","100482","4709","NA","167195","163975","167658","91459","167195","NA","Sternburg task","10","8925","11","yes","1024"
"83.3333333333","83.3333333333","813.333333333","813.333333333","black","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","0","left","11","11","11","0","0","11","11","0","0","11","11","11","0","11","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","right","right","NA","right","NA","835","86748","NA","835","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","171655","167710","169350","4673","NA","169404","100482","4709","NA","173660","170437","174497","91459","173659","NA","Sternburg task","10","9760","12","yes","1024"
"84.6153846154","84.6153846154","790.307692308","790.307692308","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","12","12","12","0","0","12","12","0","0","12","12","12","0","12","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","0","11","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","3 9 1","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","514","86748","13566","514","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","7","192181","167710","189879","4673","189215","189938","174567","4709","175648","194185","190977","194701","91459","194184","NA","Sternburg task","11","10274","13","yes","1024"
"85.7142857143","85.7142857143","787.428571429","787.428571429","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","13","13","13","0","0","13","13","0","0","13","13","13","0","13","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","1","11","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","3 5 4 7","Kafkaesque Koffka","3.2.5","1","y","0","left","right","left","left","NA","750","86748","13566","750","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","3","198704","194763","196410","4673","189215","196463","174567","4709","175648","200708","197500","201459","91459","200708","NA","Sternburg task","12","11024","14","yes","1024"
"80","80","768.8","768.8","black","experiment","xpyriment","legacy","legacy","0","uniform","0","undefined","0","left","14","14","14","0","0","14","14","0","0","14","14","14","0","14","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","2","11","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","6 9 7 4 5 1","Kafkaesque Koffka","3.2.5","2","y","0","right","right","left","right","NA","508","86748","13566","508","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","9","205518","201519","203208","4673","189215","203272","174567","4709","175648","207535","204302","208045","91459","207534","NA","Sternburg task","12","11532","15","yes","1024"
"81.25","81.25","749.5625","749.5625","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","15","15","15","0","0","15","15","0","0","15","15","15","0","15","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","3","11","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","1 6 4","Kafkaesque Koffka","3.2.5","0","n","0","right","right","left","right","NA","461","86748","13566","461","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","7","212083","201519","209784","4673","189215","209836","208117","4709","175648","214086","210879","214548","91459","214086","NA","Sternburg task","13","11993","16","yes","1024"
"82.3529411765","82.3529411765","743.058823529","743.058823529","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","16","16","16","0","0","16","16","0","0","16","16","16","0","16","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","4","11","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","4 1 5","Kafkaesque Koffka","3.2.5","2","y","0","left","right","left","left","NA","639","86748","13566","639","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","1","218584","214624","216271","4673","189215","216335","208117","4709","175648","220587","217367","221228","91459","220587","NA","Sternburg task","14","12632","17","yes","1024"
"83.3333333333","83.3333333333","749.277777778","749.277777778","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","17","17","17","0","0","17","17","0","0","17","17","17","0","17","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","5","11","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","2 6 1 7 4","Kafkaesque Koffka","3.2.5","2","y","0","left","right","left","left","NA","855","86748","13566","855","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","6","225274","221289","222964","4673","189215","223017","208117","4709","175648","227277","224057","228132","91459","227277","NA","Sternburg task","15","13487","18","yes","1024"
"84.2105263158","84.2105263158","746.368421053","746.368421053","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","18","18","18","0","0","18","18","0","0","18","18","18","0","18","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","6","11","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","9 5 3 8 4","Kafkaesque Koffka","3.2.5","1","y","0","left","right","left","left","NA","694","86748","13566","694","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","9","232161","228185","229850","4673","189215","229914","208117","4709","175648","234177","230945","234872","91459","234177","NA","Sternburg task","16","14181","19","yes","1024"
"85","85","752.1","752.1","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","19","19","19","0","0","19","19","0","0","19","19","19","0","19","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","7","11","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","7 8 4 6 9 5","Kafkaesque Koffka","3.2.5","4","y","0","left","right","left","left","NA","861","86748","13566","861","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","238883","234934","236572","4673","189215","236637","208117","4709","175648","240900","237666","241761","91459","240899","NA","Sternburg task","17","15042","20","yes","1024"
"80.9523809524","80.9523809524","736.333333333","736.333333333","black","experiment","xpyriment","legacy","legacy","0","uniform","0","undefined","0","left","20","20","20","0","0","20","20","0","0","20","20","20","0","20","0","10/07/18 23:05:12","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","8","11","C:/Users/Owner/Documents/ctsubject-3.csv","xpyriment","8","Kafkaesque Koffka","3.2.5","1","y","0","right","right","left","right","NA","421","86748","13566","421","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","8","245759","241813","243464","4673","189215","243528","208117","4709","175648","247762","244554","248184","91459","247762","NA","Sternburg task","17","15463","21","yes","1024"
