"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.8333333333","90.8333333333","873.458333333","873.458333333","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","119","119","119","0","0","119","119","0","0","119","119","119","0","119","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","107","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","5 2","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","right","NA","920","29832","29268","920","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","7","886471","882493","884155","1754","145324","884216","819523","1774","116055","888474","885254","889398","31607","888474","NA","Sternburg task","109","104815","120","yes","1024"
"90.9090909091","90.9090909091","872.239669421","872.239669421","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","120","120","120","0","0","120","120","0","0","120","120","120","0","120","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","108","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","6 9 5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","right","NA","726","29832","29268","726","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","8","893389","889459","891096","1754","145324","891158","819523","1774","116055","895405","892185","896134","31607","895405","NA","Sternburg task","110","105541","121","yes","1024"
"90.9836065574","90.9836065574","872.155737705","872.155737705","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","121","121","121","0","0","121","121","0","0","121","121","121","0","121","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","109","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","7 8 4 6 9 5","Kafkaesque Koffka","3.2.5","4","y","0","left","left","right","left","NA","862","29832","29268","862","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","900131","896188","897837","1754","145324","897898","819523","1774","116055","902147","898927","903011","31607","902147","NA","Sternburg task","111","106403","122","yes","1024"
"91.0569105691","91.0569105691","870.926829268","870.926829268","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","122","122","122","0","0","122","122","0","0","122","122","122","0","122","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","110","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","5 2 9 6 1 7","Kafkaesque Koffka","3.2.5","3","y","0","left","left","right","left","NA","721","29832","29268","721","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","9","907005","903061","904708","1754","145324","904770","819523","1774","116055","909008","905801","909735","31607","909008","NA","Sternburg task","112","107124","123","yes","1024"
"91.1290322581","91.1290322581","869.709677419","869.709677419","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","123","123","123","0","0","123","123","0","0","123","123","123","0","123","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","111","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","5 9 2 3","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","right","NA","720","29832","29268","720","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","8","913741","909800","911448","1754","145324","911509","819523","1774","116055","915757","912537","916484","31607","915757","NA","Sternburg task","113","107844","124","yes","1024"
"91.2","91.2","868.384","868.384","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","124","124","124","0","0","124","124","0","0","124","124","124","0","124","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","112","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","4 9 7 8 5 3","Kafkaesque Koffka","3.2.5","4","y","0","left","left","right","left","NA","704","29832","29268","704","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","8","920516","916546","918195","1754","145324","918269","819523","1774","116055","922520","919298","923227","31607","922520","NA","Sternburg task","114","108548","125","yes","1024"
"91.2698412698","91.2698412698","871.301587302","871.301587302","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","125","125","125","0","0","125","125","0","0","125","125","125","0","125","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","113","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","4 2 7 6 1 3","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","right","NA","1236","29832","29268","1236","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","8","927239","923297","924936","1754","145324","925008","819523","1774","116055","929255","926035","930494","31607","929254","NA","Sternburg task","115","109784","126","yes","1024"
"91.3385826772","91.3385826772","871.637795276","871.637795276","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","126","126","126","0","0","126","126","0","0","126","126","126","0","126","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","114","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","7 2 3","Kafkaesque Koffka","3.2.5","3","y","0","left","left","right","left","NA","914","29832","29268","914","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","3","934561","930535","932268","1754","145324","932329","819523","1774","116055","936577","933357","937493","31607","936577","NA","Sternburg task","116","110698","127","yes","1024"
"91.40625","91.40625","869.875","869.875","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","127","127","127","0","0","127","127","0","0","127","127","127","0","127","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","115","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","6 5","Kafkaesque Koffka","3.2.5","2","y","0","left","left","right","left","NA","646","29832","29268","646","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","941584","937623","939275","1754","145324","939337","819523","1774","116055","943599","940367","944247","31607","943599","NA","Sternburg task","117","111344","128","yes","1024"
"91.4728682171","91.4728682171","868.108527132","868.108527132","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","128","128","128","0","0","128","128","0","0","128","128","128","0","128","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","116","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","1","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","right","NA","642","29832","29268","642","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","7","948223","944291","945931","1754","145324","945992","819523","1774","116055","950239","947019","950885","31607","950239","NA","Sternburg task","118","111986","129","yes","1024"
"91.5384615385","91.5384615385","866.607692308","866.607692308","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","129","129","129","0","0","129","129","0","0","129","129","129","0","129","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","117","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","9 8 2 7 4","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","right","NA","673","29832","29268","673","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","5","954881","950943","952585","1754","145324","952646","819523","1774","116055","956885","953665","957561","31607","956884","NA","Sternburg task","119","112659","130","yes","1024"
"91.6030534351","91.6030534351","865.312977099","865.312977099","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","130","130","130","0","0","130","130","0","0","130","130","130","0","130","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","118","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","6 7 9 3 1 2","Kafkaesque Koffka","3.2.5","1","y","0","left","left","right","left","NA","697","29832","29268","697","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","961571","957616","959251","1754","145324","959324","819523","1774","116055","963575","960355","964276","31607","963574","NA","Sternburg task","120","113356","131","yes","1024"
"91.6666666667","91.6666666667","865.515151515","865.515151515","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","131","131","131","0","0","131","131","0","0","131","131","131","0","131","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","119","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","4 1","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","right","NA","892","29832","29268","892","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","6","968283","964333","965974","1754","145324","966037","819523","1774","116055","970286","967079","971184","31607","970286","NA","Sternburg task","121","114248","132","yes","1024"
"91.7293233083","91.7293233083","863.676691729","863.676691729","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","132","132","132","0","0","132","132","0","0","132","132","132","0","132","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","120","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","1 4 9 2 5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","right","NA","621","29832","29268","621","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","7","975214","971245","972918","1754","145324","972980","819523","1774","116055","977230","974010","977860","31607","977230","NA","Sternburg task","122","114869","133","yes","1024"
"91.0447761194","91.0447761194","861.350746269","861.350746269","black","experiment","xpyriment","legacy","legacy","0","uniform","0","undefined","0","right","133","133","133","0","0","133","133","0","0","133","133","133","0","133","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","121","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","2 5 1 4","Kafkaesque Koffka","3.2.5","0","n","0","left","left","right","left","NA","552","29832","29268","552","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","981856","977919","979555","1754","145324","979616","819523","1774","116055","983859","980640","984416","31607","983859","NA","Sternburg task","122","115421","134","yes","1024"
"90.3703703704","90.3703703704","863.851851852","863.851851852","black","experiment","xpyriment","legacy","legacy","0","uniform","0","undefined","0","right","134","134","134","0","0","134","134","0","0","134","134","134","0","134","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","122","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","6 2 9 3 8 4","Kafkaesque Koffka","3.2.5","0","n","0","left","left","right","left","NA","1199","29832","29268","1199","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","1","988469","977919","986162","1754","145324","986224","984476","1774","116055","990472","987265","991673","31607","990472","NA","Sternburg task","122","116620","135","yes","1024"
"90.4411764706","90.4411764706","861.779411765","861.779411765","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","135","135","135","0","0","135","135","0","0","135","135","135","0","135","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","123","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","3 4","Kafkaesque Koffka","3.2.5","1","y","0","left","left","right","left","NA","582","29832","29268","582","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","3","995649","977919","993362","1754","145324","993435","991724","1774","116055","997665","994446","998251","31607","997665","NA","Sternburg task","123","117202","136","yes","1024"
"90.5109489051","90.5109489051","864.364963504","864.364963504","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","136","136","136","0","0","136","136","0","0","136","136","136","0","136","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","124","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","7 1","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","right","NA","1216","29832","29268","1216","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","8","1002291","998303","999954","1754","145324","1000028","991724","1774","116055","1004294","1001074","1005515","31607","1004294","NA","Sternburg task","124","118418","137","yes","1024"
"90.5797101449","90.5797101449","869.826086957","869.826086957","black","experiment","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","137","137","137","0","0","137","137","0","0","137","137","137","0","137","0","10/07/18 21:50:52","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","125","11","C:/Users/Owner/Documents/ctsubject-2.csv","xpyriment","7 1 8 4 9 3","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","right","NA","1618","29832","29268","1618","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","1009528","1005581","1007219","1754","145324","1007281","991724","1774","116055","1011532","1008309","1013152","31607","1011532","NA","Sternburg task","125","120036","138","yes","1024"
