"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2001","2001","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct  7 19:45:14 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-3.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","None","left","NA","None","NA","2001","64375","NA","2001","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","69176","NA","66948","2325","NA","66955","NA","2338","NA","71184","73185","67965","66720","71184","NA","Sternberg Task","0","2001","1","yes","1024"
"0","0","2000.5","2000.5","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct  7 19:45:14 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-3.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","None","left","NA","None","NA","2000","64375","NA","2000","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","76560","NA","74333","2325","NA","74342","73239","2338","NA","78568","80568","75351","66720","78567","NA","Sternberg Task","0","4001","2","yes","1024"
"0","0","1988.66666667","1988.66666667","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct  7 19:45:14 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-3.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","left","left","NA","left","NA","1965","64375","NA","1965","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","83890","NA","81663","2325","NA","81670","80580","2338","NA","85898","87864","82680","66720","85898","NA","Sternberg Task","0","5966","3","yes","1024"
"0","0","1764.75","1764.75","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct  7 19:45:14 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-3.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","right","left","NA","right","NA","1093","64375","NA","1093","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","91185","NA","88958","2325","NA","88966","87874","2338","NA","93193","94288","89975","66720","93193","NA","Sternberg Task","0","7059","4","yes","1024"
"20","20","1678.8","1678.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct  7 19:45:14 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-3.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","1335","64375","NA","1335","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","97609","NA","95380","2325","NA","95388","94298","2338","NA","99617","100954","96398","66720","99617","NA","Sternberg Task","1","8394","5","yes","1024"
"33.3333333333","33.3333333333","1546.66666667","1546.66666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct  7 19:45:14 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-3.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","886","64375","NA","886","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","104275","100967","102049","2325","NA","102056","94298","2338","NA","106283","107171","103064","66720","106283","NA","Sternberg Task","2","9280","6","yes","1024"
"42.8571428571","42.8571428571","1433.71428571","1433.71428571","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct  7 19:45:14 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-3.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","left","NA","left","NA","756","64375","NA","756","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","110494","107184","108266","2325","NA","108275","94298","2338","NA","112503","113260","109284","66720","112502","NA","Sternberg Task","3","10036","7","yes","1024"
"50","50","1364.25","1364.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct  7 19:45:14 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-3.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","878","64375","NA","878","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","116580","113271","114354","2325","NA","114361","94298","2338","NA","118588","119468","115370","66720","118588","NA","Sternberg Task","4","10914","8","yes","1024"
"55.5555555556","55.5555555556","1389.44444444","1389.44444444","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct  7 19:45:14 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-3.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","1591","64375","NA","1591","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","122787","119478","120560","2325","NA","120568","94298","2338","NA","124797","126390","121576","66720","124797","NA","Sternberg Task","5","12505","9","yes","1024"
"60","60","1322.1","1322.1","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct  7 19:45:14 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-3.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","716","64375","NA","716","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","129709","126400","127481","2325","NA","127489","94298","2338","NA","131718","132435","128498","66720","131718","NA","Sternberg Task","6","13221","10","yes","1024"
