condition,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_Stimulus,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction1,count_instruction2,count_instruction3,count_keyboard_response,count_logger,count_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction1,response_instruction2,response_instruction3,response_keyboard_response,response_time,response_time_finish,response_time_instruction1,response_time_instruction2,response_time_instruction3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_Stimulus,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction1,time_instruction2,time_instruction3,time_keyboard_response,time_logger,time_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
Congruent,100,100,1070,1070,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep  9 20:22:07 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/hannahrae97/Desktop/CTsubject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,h,NA,NA,s,1070,NA,80026,NA,NA,1070,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,83958,NA,NA,NA,84189,NA,3911,NA,NA,84075,3921,NA,NA,84189,85260,84065,Flanker Task,1,1070,1,yes,1024
congruent,100,100,788.5,788.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,Sun Sep  9 20:22:07 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/hannahrae97/Desktop/CTsubject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,h,NA,NA,h,507,NA,80026,NA,NA,507,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,83958,NA,NA,85279,86508,NA,3911,NA,NA,86395,3921,NA,NA,86508,87016,86387,Flanker Task,2,1577,2,yes,1024
Congruent,100,100,723,723,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,2,2,2,0,2,0,2,0,0,0,2,2,2,Sun Sep  9 20:22:07 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/hannahrae97/Desktop/CTsubject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,h,NA,NA,s,592,NA,80026,NA,NA,592,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,83958,NA,NA,87028,88235,NA,3911,NA,NA,88126,3921,NA,NA,88235,88828,88118,Flanker Task,3,2169,3,yes,1024
congruent,100,100,655,655,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,3,3,3,0,3,0,3,0,0,0,3,3,3,Sun Sep  9 20:22:07 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/hannahrae97/Desktop/CTsubject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,h,NA,NA,h,451,NA,80026,NA,NA,451,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,83958,NA,NA,88839,90048,NA,3911,NA,NA,89940,3921,NA,NA,90048,90500,89932,Flanker Task,4,2620,4,yes,1024
incongruent,100,100,677.4,677.4,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,4,4,4,0,4,0,4,0,0,0,4,4,4,Sun Sep  9 20:22:07 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/hannahrae97/Desktop/CTsubject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,h,NA,NA,s,767,NA,80026,NA,NA,767,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,83958,NA,NA,90513,91722,NA,3911,NA,NA,91614,3921,NA,NA,91723,92491,91605,Flanker Task,5,3387,5,yes,1024
incongruent,100,100,670.5,670.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,5,5,5,0,5,0,5,0,0,0,5,5,5,Sun Sep  9 20:22:07 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/hannahrae97/Desktop/CTsubject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,h,NA,NA,h,636,NA,80026,NA,NA,636,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,83958,NA,NA,92503,93708,NA,3911,NA,NA,93600,3921,NA,NA,93708,94345,93591,Flanker Task,6,4023,6,yes,1024
Congruent,100,100,647.8571429,647.8571429,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,6,6,6,0,6,0,6,0,0,0,6,6,6,Sun Sep  9 20:22:07 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/hannahrae97/Desktop/CTsubject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,h,NA,NA,s,512,NA,80026,NA,NA,512,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,83958,NA,NA,94358,95564,NA,3911,NA,NA,95455,3921,NA,NA,95564,96077,95446,Flanker Task,7,4535,7,yes,1024
incongruent,100,100,635.125,635.125,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,7,7,7,0,7,0,7,0,0,0,7,7,7,Sun Sep  9 20:22:07 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/hannahrae97/Desktop/CTsubject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,h,NA,NA,h,546,NA,80026,NA,NA,546,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,83958,NA,NA,96088,97300,NA,3911,NA,NA,97190,3921,NA,NA,97300,97847,97181,Flanker Task,8,5081,8,yes,1024
congruent,100,100,626.2222222,626.2222222,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,8,8,8,0,8,0,8,0,0,0,8,8,8,Sun Sep  9 20:22:07 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/hannahrae97/Desktop/CTsubject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,h,NA,NA,h,555,NA,80026,NA,NA,555,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,83958,NA,NA,97861,99069,NA,3911,NA,NA,98961,3921,NA,NA,99069,99625,98953,Flanker Task,9,5636,9,yes,1024
congruent,100,100,610.8,610.8,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,9,9,9,0,9,0,9,0,0,0,9,9,9,Sun Sep  9 20:22:07 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/hannahrae97/Desktop/CTsubject-1.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,h,NA,NA,h,472,NA,80026,NA,NA,472,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,83958,NA,NA,99637,100847,NA,3911,NA,NA,100737,3921,NA,NA,100847,101320,100729,Flanker Task,10,6108,10,yes,1024
