condition,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_Stimulus,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction1,count_instruction2,count_instruction3,count_keyboard_response,count_logger,count_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction1,response_instruction2,response_instruction3,response_keyboard_response,response_time,response_time_finish,response_time_instruction1,response_time_instruction2,response_time_instruction3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_Stimulus,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction1,time_instruction2,time_instruction3,time_keyboard_response,time_logger,time_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
incongruent,100,100,1367,1367,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,1367,NA,25984,NA,NA,1367,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,30615,NA,NA,NA,30866,NA,4594,NA,NA,30757,4609,NA,NA,30866,32234,30748,Flanker Task,1,1367,1,yes,1024
Congruent,100,100,979.5,979.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,592,NA,25984,NA,NA,592,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,30615,NA,NA,32256,33492,NA,4594,NA,NA,33379,4609,NA,NA,33493,34086,33370,Flanker Task,2,1959,2,yes,1024
congruent,100,100,850,850,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,2,2,2,0,2,0,2,0,0,0,2,2,2,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,591,NA,25984,NA,NA,591,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,30615,NA,NA,34098,35325,NA,4594,NA,NA,35212,4609,NA,NA,35325,35917,35204,Flanker Task,3,2550,3,yes,1024
incongruent,100,100,794.25,794.25,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,3,3,3,0,3,0,3,0,0,0,3,3,3,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,627,NA,25984,NA,NA,627,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,30615,NA,NA,35929,37140,NA,4594,NA,NA,37030,4609,NA,NA,37140,37768,37022,Flanker Task,4,3177,4,yes,1024
Congruent,80,80,831,831,black,legacy,legacy,legacy,0,uniform,0,undefined,0,s,0,0,0,4,4,4,0,4,0,4,0,0,0,4,4,4,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,978,NA,25984,NA,NA,978,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,30615,NA,NA,37780,38992,NA,4594,NA,NA,38881,4609,NA,NA,38992,39971,38872,Flanker Task,4,4155,5,yes,1024
congruent,83.33333333,83.33333333,853.6666667,853.6666667,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,5,5,5,0,5,0,5,0,0,0,5,5,5,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,967,NA,25984,NA,NA,967,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,30615,NA,NA,40492,41723,39983,4594,NA,NA,41613,4609,NA,NA,41723,42691,41604,Flanker Task,5,5122,6,yes,1024
congruent,85.71428571,85.71428571,802.5714286,802.5714286,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,6,6,6,0,6,0,6,0,0,0,6,6,6,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,496,NA,25984,NA,NA,496,2,legacy,1024,2,48000,-16,experiment,HHHHH,3,odd,30615,NA,NA,42703,43921,39983,4594,NA,NA,43811,4609,NA,NA,43921,44418,43803,Flanker Task,6,5618,7,yes,1024
incongruent,87.5,87.5,798.75,798.75,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,7,7,7,0,7,0,7,0,0,0,7,7,7,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,772,NA,25984,NA,NA,772,2,legacy,1024,2,48000,-16,experiment,SSHSS,3,odd,30615,NA,NA,44434,45659,39983,4594,NA,NA,45551,4609,NA,NA,45659,46432,45540,Flanker Task,7,6390,8,yes,1024
Congruent,88.88888889,88.88888889,786.5555556,786.5555556,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,8,8,8,0,8,0,8,0,0,0,8,8,8,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,689,NA,25984,NA,NA,689,2,legacy,1024,2,48000,-16,experiment,SSSSS,3,odd,30615,NA,NA,46446,47661,39983,4594,NA,NA,47549,4609,NA,NA,47662,48352,47541,Flanker Task,8,7079,9,yes,1024
incongruent,90,90,785.4,785.4,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,9,9,9,0,9,0,9,0,0,0,9,9,9,Sun Sep  9 21:50:03 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/hannahrae97/Desktop/CTsubject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,775,NA,25984,NA,NA,775,2,legacy,1024,2,48000,-16,experiment,HHSHH,3,odd,30615,NA,NA,48364,49588,39983,4594,NA,NA,49476,4609,NA,NA,49589,50365,49468,Flanker Task,9,7854,10,yes,1024
