"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions3","count_error_feedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_keyboard_response","count_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions3","response_finish","response_instructions1","response_instructions2","response_keyboard_response","response_time","response_time_Instructions3","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions3","time_error_feedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_keyboard_response","time_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"90.9090909091","90.9090909091","492.545454545","492.545454545","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","10","0","10","0","10","0","10","0","0","10","10","10","10","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","448","NA","NA","129199","NA","448","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","132760","NA","NA","149072","NA","138778","3552","NA","NA","150137","3559","NA","150239","150688","150135","150239","Flanker task","10","5418","11","yes","1024"
"83.3333333333","83.3333333333","487.166666667","487.166666667","black","legacy","legacy","legacy","0","Incongruent","uniform","0","undefined","0","s","0","0","0","11","0","11","0","11","0","11","0","0","11","11","11","11","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","428","NA","NA","129199","NA","428","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","132760","NA","NA","150699","NA","138778","3552","NA","NA","151765","3559","NA","151866","152294","151762","151866","Flanker task","10","5846","12","yes","1024"
"84.6153846154","84.6153846154","491.230769231","491.230769231","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","12","0","12","0","12","0","12","0","0","12","12","12","12","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","540","NA","NA","129199","NA","540","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","132760","NA","NA","152807","NA","152306","3552","NA","NA","153876","3559","NA","153978","154518","153873","153977","Flanker task","11","6386","13","yes","1024"
"85.7142857143","85.7142857143","486","486","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","13","0","13","0","13","0","13","0","0","13","13","13","13","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","418","NA","NA","129199","NA","418","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","132760","NA","NA","154529","NA","152306","3552","NA","NA","155594","3559","NA","155695","156114","155591","155695","Flanker task","12","6804","14","yes","1024"
"86.6666666667","86.6666666667","485.533333333","485.533333333","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","14","0","14","0","14","0","14","0","0","14","14","14","14","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","479","NA","NA","129199","NA","479","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","132760","NA","NA","156125","NA","152306","3552","NA","NA","157205","3559","NA","157307","157787","157202","157306","Flanker task","13","7283","15","yes","1024"
"87.5","87.5","482.3125","482.3125","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","15","0","15","0","15","0","15","0","0","15","15","15","15","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","434","NA","NA","129199","NA","434","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","132760","NA","NA","157798","NA","152306","3552","NA","NA","158864","3559","NA","158965","159399","158861","158965","Flanker task","14","7717","16","yes","1024"
"88.2352941176","88.2352941176","486.588235294","486.588235294","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","16","0","16","0","16","0","16","0","0","16","16","16","16","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","555","NA","NA","129199","NA","555","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","132760","NA","NA","159410","NA","152306","3552","NA","NA","160477","3559","NA","160579","161135","160474","160579","Flanker task","15","8272","17","yes","1024"
"88.8888888889","88.8888888889","485.5","485.5","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","17","0","17","0","17","0","17","0","0","17","17","17","17","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","467","NA","NA","129199","NA","467","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","132760","NA","NA","161146","NA","152306","3552","NA","NA","162211","3559","NA","162313","162781","162209","162313","Flanker task","16","8739","18","yes","1024"
"89.4736842105","89.4736842105","485.052631579","485.052631579","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","h","0","0","0","18","0","18","0","18","0","18","0","0","18","18","18","18","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","NA","s","NA","h","477","NA","NA","129199","NA","477","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","132760","NA","NA","162785","NA","152306","3552","NA","NA","163850","3559","NA","163951","164428","163847","163951","Flanker task","17","9216","19","yes","1024"
"90","90","484.15","484.15","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","19","0","19","0","19","0","19","0","0","19","19","19","19","09/05/18 16:09:00","1500","The main experiment item","yes","Flankertask.osexp","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/Brad/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/bh-subject-2.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","NA","s","NA","s","467","NA","NA","129199","NA","467","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","132760","NA","NA","164439","NA","152306","3552","NA","NA","165504","3559","NA","165605","166073","165502","165605","Flanker task","18","9683","20","yes","1024"
