"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_blcok1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_new_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_blcok1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_blcok1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_new_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","960","960","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/09/18 21:06:58","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","0","0","F:/mc-subject-1.csv","legacy","Jazzy James","3.1.9","0","s","NA","h","NA","NA","s","960","NA","30031","NA","NA","960","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","NA","34814","NA","NA","NA","4777","NA","NA","34926","4781","NA","NA","35029","35991","34922","35029","Flanker","1","960","1","yes","1024"
"100","100","820","820","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","09/09/18 21:06:58","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","1","1","F:/mc-subject-1.csv","legacy","Jazzy James","3.1.9","0","h","NA","h","NA","NA","h","680","NA","30031","NA","NA","680","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","36047","34814","NA","NA","NA","4777","NA","NA","37167","4781","NA","NA","37270","37952","37163","37269","Flanker","2","1640","2","yes","1024"
"100","100","730.333333333","730.333333333","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","09/09/18 21:06:58","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","2","2","F:/mc-subject-1.csv","legacy","Jazzy James","3.1.9","0","h","NA","h","NA","NA","h","551","NA","30031","NA","NA","551","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","37967","34814","NA","NA","NA","4777","NA","NA","39083","4781","NA","NA","39187","39739","39079","39187","Flanker","3","2191","3","yes","1024"
"100","100","680","680","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","09/09/18 21:06:58","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","3","3","F:/mc-subject-1.csv","legacy","Jazzy James","3.1.9","0","s","NA","h","NA","NA","s","529","NA","30031","NA","NA","529","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","39751","34814","NA","NA","NA","4777","NA","NA","40859","4781","NA","NA","40962","41492","40855","40962","Flanker","4","2720","4","yes","1024"
"100","100","633.8","633.8","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","09/09/18 21:06:58","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","4","4","F:/mc-subject-1.csv","legacy","Jazzy James","3.1.9","0","h","NA","h","NA","NA","h","449","NA","30031","NA","NA","449","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","41523","34814","NA","NA","NA","4777","NA","NA","42629","4781","NA","NA","42732","43182","42625","42731","Flanker","5","3169","5","yes","1024"
"83.3333333333","83.3333333333","605.333333333","605.333333333","black","no","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","s","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","09/09/18 21:06:58","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","5","5","F:/mc-subject-1.csv","legacy","Jazzy James","3.1.9","0","h","NA","h","NA","NA","h","463","NA","30031","NA","NA","463","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","43196","34814","NA","NA","NA","4777","NA","NA","44305","4781","NA","NA","44408","44872","44301","44408","Flanker","5","3632","6","yes","1024"
"85.7142857143","85.7142857143","592.428571429","592.428571429","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","09/09/18 21:06:58","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","6","6","F:/mc-subject-1.csv","legacy","Jazzy James","3.1.9","0","h","NA","h","NA","NA","h","515","NA","30031","NA","NA","515","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","45389","34814","NA","NA","44886","4777","NA","NA","46490","4781","NA","NA","46594","47110","46486","46594","Flanker","6","4147","7","yes","1024"
"87.5","87.5","589.125","589.125","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","09/09/18 21:06:58","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","7","7","F:/mc-subject-1.csv","legacy","Jazzy James","3.1.9","0","s","NA","h","NA","NA","s","566","NA","30031","NA","NA","566","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","47122","34814","NA","NA","44886","4777","NA","NA","48225","4781","NA","NA","48328","48895","48221","48328","Flanker","7","4713","8","yes","1024"
"88.8888888889","88.8888888889","582.777777778","582.777777778","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","09/09/18 21:06:58","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","8","8","F:/mc-subject-1.csv","legacy","Jazzy James","3.1.9","0","h","NA","h","NA","NA","h","532","NA","30031","NA","NA","532","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","48908","34814","NA","NA","44886","4777","NA","NA","50021","4781","NA","NA","50124","50658","50017","50124","Flanker","8","5245","9","yes","1024"
"90","90","579.5","579.5","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","09/09/18 21:06:58","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","9","9","F:/mc-subject-1.csv","legacy","Jazzy James","3.1.9","0","s","NA","h","NA","NA","s","550","NA","30031","NA","NA","550","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","50668","34814","NA","NA","44886","4777","NA","NA","51774","4781","NA","NA","51877","52428","51769","51876","Flanker","9","5795","10","yes","1024"
