condition,stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Faster,count_ISI,count_Sequence,count_errorFeedback,count_experiment,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Faster,time_ISI,time_Sequence,time_errorFeedback,time_experiment,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
Incongruent,HHSHH,100,100,768,768,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/9/18 20:49,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,0,0,E:/kg-subject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,768,NA,1999,NA,NA,768,2,legacy,1024,2,48000,-16,experiment,3,odd,4937,NA,NA,NA,NA,5164,NA,2927,NA,5168,2935,NA,NA,5282,6051,5281,Flanker Task,1,768,1,yes,1024
Congruent,HHHHH,100,100,620.5,620.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,9/9/18 20:49,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,1,1,E:/kg-subject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,473,NA,1999,NA,NA,473,2,legacy,1024,2,48000,-16,experiment,3,odd,4937,NA,NA,NA,6088,7300,NA,2927,NA,7306,2935,NA,NA,7410,7884,7410,Flanker Task,2,1241,2,yes,1024
Incongruent,HHSHH,100,100,534.6666667,534.6666667,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,2,2,2,2,0,0,2,0,0,0,2,2,2,9/9/18 20:49,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,2,2,E:/kg-subject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,363,NA,1999,NA,NA,363,2,legacy,1024,2,48000,-16,experiment,3,odd,4937,NA,NA,NA,7899,9128,NA,2927,NA,9134,2935,NA,NA,9238,9602,9238,Flanker Task,3,1604,3,yes,1024
Congruent,HHHHH,100,100,499.75,499.75,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,3,3,3,3,0,0,3,0,0,0,3,3,3,9/9/18 20:49,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,3,3,E:/kg-subject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,395,NA,1999,NA,NA,395,2,legacy,1024,2,48000,-16,experiment,3,odd,4937,NA,NA,NA,9616,10806,NA,2927,NA,10812,2935,NA,NA,10924,11320,10924,Flanker Task,4,1999,4,yes,1024
Congruent,SSSSS,100,100,486.8,486.8,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,4,4,4,4,0,0,4,0,0,0,4,4,4,9/9/18 20:49,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,4,4,E:/kg-subject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,435,NA,1999,NA,NA,435,2,legacy,1024,2,48000,-16,experiment,3,odd,4937,NA,NA,NA,11333,12535,NA,2927,NA,12540,2935,NA,NA,12653,13089,12653,Flanker Task,5,2434,5,yes,1024
Congruent,HHHHH,100,100,478.6666667,478.6666667,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,5,5,5,5,0,0,5,0,0,0,5,5,5,9/9/18 20:49,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,5,5,E:/kg-subject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,438,NA,1999,NA,NA,438,2,legacy,1024,2,48000,-16,experiment,3,odd,4937,NA,NA,NA,13103,14300,NA,2927,NA,14306,2935,NA,NA,14418,14857,14418,Flanker Task,6,2872,6,yes,1024
Incongruent,HHSHH,100,100,468.7142857,468.7142857,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,6,6,6,6,0,0,6,0,0,0,6,6,6,9/9/18 20:49,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,6,6,E:/kg-subject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,409,NA,1999,NA,NA,409,2,legacy,1024,2,48000,-16,experiment,3,odd,4937,NA,NA,NA,14873,16082,NA,2927,NA,16088,2935,NA,NA,16191,16601,16191,Flanker Task,7,3281,7,yes,1024
Incongruent,SSHSS,100,100,459.625,459.625,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,7,7,7,7,0,0,7,0,0,0,7,7,7,9/9/18 20:49,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,7,7,E:/kg-subject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,396,NA,1999,NA,NA,396,2,legacy,1024,2,48000,-16,experiment,3,odd,4937,NA,NA,NA,16615,17812,NA,2927,NA,17817,2935,NA,NA,17922,18319,17922,Flanker Task,8,3677,8,yes,1024
Incongruent,HHSHH,100,100,449.5555556,449.5555556,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,8,8,8,8,0,0,8,0,0,0,8,8,8,9/9/18 20:49,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,8,8,E:/kg-subject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,369,NA,1999,NA,NA,369,2,legacy,1024,2,48000,-16,experiment,3,odd,4937,NA,NA,NA,18333,19537,NA,2927,NA,19542,2935,NA,NA,19654,20025,19654,Flanker Task,9,4046,9,yes,1024
Incongruent,SSHSS,90,90,440.9,440.9,black,legacy,legacy,legacy,0,uniform,0,undefined,0,h,0,0,0,9,9,9,9,0,0,9,0,0,0,9,9,9,9/9/18 20:49,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,9,9,E:/kg-subject-3.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,363,NA,1999,NA,NA,363,2,legacy,1024,2,48000,-16,experiment,3,odd,4937,NA,NA,NA,20038,21237,NA,2927,NA,21242,2935,NA,NA,21354,21719,21354,Flanker Task,9,4409,10,yes,1024
