"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_blcok1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_new_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_blcok1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_blcok1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_new_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","854","854","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","0","0","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","854","NA","39947","NA","NA","854","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","NA","42664","NA","NA","NA","2708","NA","NA","42782","2714","NA","NA","42885","43740","42778","42885","Flanker","1","854","1","yes","1024"
"100","100","1004.5","1004.5","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","1","1","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","1155","NA","39947","NA","NA","1155","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","44313","42664","NA","NA","NA","2708","NA","NA","45422","2714","NA","NA","45525","46681","45418","45525","Flanker","2","2009","2","yes","1024"
"100","100","861","861","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","2","2","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","574","NA","39947","NA","NA","574","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","46696","42664","NA","NA","NA","2708","NA","NA","47797","2714","NA","NA","47900","48475","47793","47899","Flanker","3","2583","3","yes","1024"
"100","100","772.25","772.25","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","3","3","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","506","NA","39947","NA","NA","506","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","48488","42664","NA","NA","NA","2708","NA","NA","49591","2714","NA","NA","49695","50203","49587","49694","Flanker","4","3089","4","yes","1024"
"100","100","694","694","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","4","4","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","381","NA","39947","NA","NA","381","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","50229","42664","NA","NA","NA","2708","NA","NA","51336","2714","NA","NA","51439","51821","51331","51439","Flanker","5","3470","5","yes","1024"
"100","100","649.333333333","649.333333333","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","5","5","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","426","NA","39947","NA","NA","426","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","51836","42664","NA","NA","NA","2708","NA","NA","52943","2714","NA","NA","53047","53475","52939","53047","Flanker","6","3896","6","yes","1024"
"100","100","610.285714286","610.285714286","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","6","6","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","376","NA","39947","NA","NA","376","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","53492","42664","NA","NA","NA","2708","NA","NA","54600","2714","NA","NA","54706","55083","54596","54705","Flanker","7","4272","7","yes","1024"
"100","100","588.875","588.875","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","7","7","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","439","NA","39947","NA","NA","439","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","55095","42664","NA","NA","NA","2708","NA","NA","56197","2714","NA","NA","56301","56742","56193","56300","Flanker","8","4711","8","yes","1024"
"100","100","586.333333333","586.333333333","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","8","8","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","566","NA","39947","NA","NA","566","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","56755","42664","NA","NA","NA","2708","NA","NA","57857","2714","NA","NA","57961","58528","57853","57960","Flanker","9","5277","9","yes","1024"
"90","90","566.5","566.5","black","no","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","9","9","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","388","NA","39947","NA","NA","388","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","58540","42664","NA","NA","NA","2708","NA","NA","59655","2714","NA","NA","59761","60150","59649","59761","Flanker","9","5665","10","yes","1024"
"90.9090909091","90.9090909091","575.454545455","575.454545455","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","10","0","0","0","10","0","10","0","10","0","0","0","10","10","10","10","09/09/18 21:19:43","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","10","10","F:/mc-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","665","NA","39947","NA","NA","665","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","60666","42664","NA","NA","60163","2708","NA","NA","61771","2714","NA","NA","61874","62541","61766","61874","Flanker","10","6330","11","yes","1024"
