acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Faster,count_Finish,count_ISI,count_Instruction1,count_Instruction2,count_Instruction3,count_errorFeedback,count_experiment,count_fixation,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instruction1,response_Instruction2,response_Instruction3,response_keyboard_response,response_time,response_time_Finish,response_time_Instruction1,response_time_Instruction2,response_time_Instruction3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Faster,time_Finish,time_ISI,time_Instruction1,time_Instruction2,time_Instruction3,time_errorFeedback,time_experiment,time_fixation,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,691,691,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/17/19 14:52,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Carolyn/OneDrive/cp-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,691,NA,5583,NA,NA,691,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,11175,NA,NA,NA,NA,NA,5589,NA,NA,NA,5584,11490,11593,12285,11484,11593,Flankertask2,1,691,1,yes,1024
100,100,580.5,580.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,9/17/19 14:52,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Carolyn/OneDrive/cp-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,470,NA,5583,NA,NA,470,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,11175,NA,NA,NA,NA,12393,5589,NA,NA,NA,5584,13543,13647,14117,13538,13645,Flankertask2,2,1161,2,yes,1024
100,100,539.3333333,539.3333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,2,0,2,0,0,0,2,0,2,2,2,2,2,9/17/19 14:52,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Carolyn/OneDrive/cp-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,457,NA,5583,NA,NA,457,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,11175,NA,NA,NA,NA,14168,5589,NA,NA,NA,5584,15315,15419,15877,15310,15419,Flankertask2,3,1618,3,yes,1024
100,100,559.75,559.75,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,3,0,3,0,0,0,3,0,3,3,3,3,3,9/17/19 14:52,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Carolyn/OneDrive/cp-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,621,NA,5583,NA,NA,621,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,11175,NA,NA,NA,NA,15926,5589,NA,NA,NA,5584,17072,17175,17797,17068,17175,Flankertask2,4,2239,4,yes,1024
100,100,557.2,557.2,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,4,0,4,0,0,0,4,0,4,4,4,4,4,9/17/19 14:52,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Carolyn/OneDrive/cp-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,547,NA,5583,NA,NA,547,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,11175,NA,NA,NA,NA,17843,5589,NA,NA,NA,5584,18995,19098,19646,18990,19098,Flankertask2,5,2786,5,yes,1024
100,100,555.8333333,555.8333333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,5,0,5,0,0,0,5,0,5,5,5,5,5,9/17/19 14:52,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Carolyn/OneDrive/cp-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,549,NA,5583,NA,NA,549,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,11175,NA,NA,NA,NA,19701,5589,NA,NA,NA,5584,20847,20951,21502,20842,20951,Flankertask2,6,3335,6,yes,1024
100,100,596.8571429,596.8571429,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,6,0,6,0,0,0,6,0,6,6,6,6,6,9/17/19 14:52,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Carolyn/OneDrive/cp-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,843,NA,5583,NA,NA,843,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,11175,NA,NA,NA,NA,21572,5589,NA,NA,NA,5584,22720,22826,23670,22716,22825,Flankertask2,7,4178,7,yes,1024
100,100,603.75,603.75,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,7,0,7,0,0,0,7,0,7,7,7,7,7,9/17/19 14:52,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Carolyn/OneDrive/cp-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,652,NA,5583,NA,NA,652,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,11175,NA,NA,NA,NA,23718,5589,NA,NA,NA,5584,24865,24969,25622,24861,24969,Flankertask2,8,4830,8,yes,1024
88.88888889,88.88888889,587.1111111,587.1111111,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,s,0,0,0,8,0,8,0,0,0,8,0,8,8,8,8,8,9/17/19 14:52,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Carolyn/OneDrive/cp-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,454,NA,5583,NA,NA,454,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,11175,NA,NA,NA,NA,25667,5589,NA,NA,NA,5584,26815,26918,27374,26810,26918,Flankertask2,8,5284,9,yes,1024
90,90,584.3,584.3,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,9,0,9,0,0,0,9,0,9,9,9,9,9,9/17/19 14:52,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Carolyn/OneDrive/cp-subject-1.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,559,NA,5583,NA,NA,559,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,11175,NA,NA,NA,NA,27921,5589,NA,NA,27418,5584,29069,29173,29734,29064,29173,Flankertask2,9,5843,10,yes,1024
