acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction2,count_instructions1,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction2,response_instructions1,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instruction2,response_time_instructions1,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction2,time_instructions1,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
98.9010989,98.9010989,575.021978,575.021978,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,90,90,0,90,0,90,0,0,0,90,90,90,90,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,10,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,h,NA,h,455,NA,228700,58439,NA,455,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,61661,437327,NA,454418,105032,3176,438787,NA,455541,208624,3211,NA,455656,456113,455529,455656,Flanker Task,90,52327,91,yes,1024
98.91304348,98.91304348,573.0108696,573.0108696,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,91,91,0,91,0,91,0,0,0,91,91,91,91,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,11,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,h,NA,h,390,NA,228700,58439,NA,390,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,61661,437327,NA,456128,105032,3176,438787,NA,457229,208624,3211,NA,457341,457734,457216,457341,Flanker Task,91,52717,92,yes,1024
98.92473118,98.92473118,572.7419355,572.7419355,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,92,92,0,92,0,92,0,0,0,92,92,92,92,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,12,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,548,NA,228700,58439,NA,548,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,61661,437327,NA,457750,105032,3176,438787,NA,458880,208624,3211,NA,458996,459547,458868,458996,Flanker Task,92,53265,93,yes,1024
98.93617021,98.93617021,570.2446809,570.2446809,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,93,93,0,93,0,93,0,0,0,93,93,93,93,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,13,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,h,NA,h,338,NA,228700,58439,NA,338,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,61661,437327,NA,459561,105032,3176,438787,NA,460661,208624,3211,NA,460776,461117,460649,460776,Flanker Task,93,53603,94,yes,1024
98.94736842,98.94736842,569.3473684,569.3473684,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,94,94,0,94,0,94,0,0,0,94,94,94,94,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,14,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,485,NA,228700,58439,NA,485,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,61661,437327,NA,461146,105032,3176,438787,NA,462270,208624,3211,NA,462385,462875,462257,462385,Flanker Task,94,54088,95,yes,1024
98.95833333,98.95833333,568.0104167,568.0104167,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,95,95,0,95,0,95,0,0,0,95,95,95,95,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,15,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,441,NA,228700,58439,NA,441,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,61661,437327,NA,462890,105032,3176,438787,NA,463991,208624,3211,NA,464103,464547,463979,464103,Flanker Task,95,54529,96,yes,1024
98.96907216,98.96907216,566.3195876,566.3195876,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,96,96,0,96,0,96,0,0,0,96,96,96,96,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,16,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,h,NA,h,404,NA,228700,58439,NA,404,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,61661,437327,NA,464566,105032,3176,438787,NA,465688,208624,3211,NA,465803,466209,465676,465803,Flanker Task,96,54933,97,yes,1024
98.97959184,98.97959184,565.2857143,565.2857143,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,97,97,0,97,0,97,0,0,0,97,97,97,97,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,17,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,465,NA,228700,58439,NA,465,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,61661,437327,NA,466224,105032,3176,438787,NA,467326,208624,3211,NA,467442,467910,467313,467442,Flanker Task,97,55398,98,yes,1024
98.98989899,98.98989899,564.9292929,564.9292929,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,98,98,0,98,0,98,0,0,0,98,98,98,98,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,18,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,h,NA,s,530,NA,228700,58439,NA,530,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,61661,437327,NA,467930,105032,3176,438787,NA,469046,208624,3211,NA,469162,469694,469034,469161,Flanker Task,98,55928,99,yes,1024
99,99,564.53,564.53,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,99,99,0,99,0,99,0,0,0,99,99,99,99,Fri Sep 20 12:06:06 2019,600,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,19,79,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,h,NA,h,525,NA,228700,58439,NA,525,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,61661,437327,NA,469709,105032,3176,438787,NA,470810,208624,3211,NA,470925,471453,470798,470925,Flanker Task,99,56453,100,yes,1024
