acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instruction1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Faster,count_Finish,count_ISI,count_Instruction1,count_Instruction2,count_Instruction3,count_errorFeedback,count_experiment,count_fixation,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instruction1,response_Instruction2,response_Instruction3,response_keyboard_response,response_time,response_time_Finish,response_time_Instruction1,response_time_Instruction2,response_time_Instruction3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Faster,time_Finish,time_ISI,time_Instruction1,time_Instruction2,time_Instruction3,time_errorFeedback,time_experiment,time_fixation,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,603.8181818,603.8181818,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,10,0,10,0,0,0,10,0,10,10,10,10,10,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,10,10,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,442,NA,115126,NA,NA,442,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,120026,NA,NA,NA,NA,138292,4899,NA,NA,NA,4889,139439,139542,139987,139434,139542,Flankertask2,11,6642,11,yes,1024
100,100,591.0833333,591.0833333,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,11,0,11,0,0,0,11,0,11,11,11,11,11,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,11,11,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,451,NA,115126,NA,NA,451,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,140034,4899,NA,NA,NA,4889,141188,141293,141745,141184,141292,Flankertask2,12,7093,12,yes,1024
100,100,583.7692308,583.7692308,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,12,0,12,0,0,0,12,0,12,12,12,12,12,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,12,12,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,496,NA,115126,NA,NA,496,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,120026,NA,NA,NA,NA,141783,4899,NA,NA,NA,4889,142929,143032,143529,142925,143032,Flankertask2,13,7589,13,yes,1024
100,100,580.9285714,580.9285714,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,13,0,13,0,0,0,13,0,13,13,13,13,13,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,13,13,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,544,NA,115126,NA,NA,544,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,120026,NA,NA,NA,NA,143567,4899,NA,NA,NA,4889,144713,144816,145361,144708,144816,Flankertask2,14,8133,14,yes,1024
100,100,587.4,587.4,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,14,0,14,0,0,0,14,0,14,14,14,14,14,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,14,14,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,678,NA,115126,NA,NA,678,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,120026,NA,NA,NA,NA,145400,4899,NA,NA,NA,4889,146547,146650,147329,146542,146650,Flankertask2,15,8811,15,yes,1024
100,100,593.6875,593.6875,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,15,0,15,0,0,0,15,0,15,15,15,15,15,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,15,15,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,688,NA,115126,NA,NA,688,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,120026,NA,NA,NA,NA,147375,4899,NA,NA,NA,4889,148536,148640,149329,148531,148639,Flankertask2,16,9499,16,yes,1024
100,100,586.4117647,586.4117647,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,16,0,16,0,0,0,16,0,16,16,16,16,16,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,16,16,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,470,NA,115126,NA,NA,470,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,120026,NA,NA,NA,NA,149367,4899,NA,NA,NA,4889,150522,150626,151097,150517,150625,Flankertask2,17,9969,17,yes,1024
100,100,583.2222222,583.2222222,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,17,0,17,0,0,0,17,0,17,17,17,17,17,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,17,17,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,529,NA,115126,NA,NA,529,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,151125,4899,NA,NA,NA,4889,152271,152375,152905,152266,152374,Flankertask2,18,10498,18,yes,1024
100,100,586.3157895,586.3157895,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,18,0,18,0,0,0,18,0,18,18,18,18,18,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,18,18,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,642,NA,115126,NA,NA,642,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,152942,4899,NA,NA,NA,4889,154087,154190,154835,154082,154190,Flankertask2,19,11140,19,yes,1024
100,100,582.45,582.45,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,19,0,19,0,0,0,19,0,19,19,19,19,19,9/21/19 16:55,1500,The main experiment item,yes,Flankertask2.osexp,C:/Users/Carolyn/OneDrive,no,mono,no,18,no,white,no,no,768,legacy,19,19,C:/Users/Carolyn/OneDrive/cp-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,509,NA,115126,NA,NA,509,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,120026,NA,NA,NA,NA,154875,4899,NA,NA,NA,4889,156020,156123,156633,156015,156123,Flankertask2,20,11649,20,yes,1024
