acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_getting_started,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_new_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_getting_started,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_new_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
94.85294118,94.85294118,494.0661765,494.0661765,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,135,135,0,135,0,135,0,0,0,0,135,135,NA,135,135,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,55,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,450,NA,33879,21508,NA,450,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,40492,206353,NA,304391,277528,6501,293671,NA,305527,NA,6528,184842,NA,305641,306094,NA,305515,305641,Flanker Task,129,67193,136,yes,1024
94.89051095,94.89051095,493.810219,493.810219,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,136,136,0,136,0,136,0,0,0,0,136,136,NA,136,136,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,56,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,459,NA,33879,21508,NA,459,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,40492,206353,NA,306109,277528,6501,293671,NA,307240,NA,6528,184842,NA,307353,307815,NA,307227,307353,Flanker Task,130,67652,137,yes,1024
94.20289855,94.20289855,492.9492754,492.9492754,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,137,137,0,137,0,137,0,0,0,0,137,137,NA,137,137,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,57,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,375,NA,33879,21508,NA,375,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,40492,206353,NA,307831,277528,6501,293671,NA,308971,NA,6528,184842,NA,309085,309463,NA,308959,309084,Flanker Task,130,68027,138,yes,1024
94.24460432,94.24460432,492.4892086,492.4892086,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,138,138,0,138,0,138,0,0,0,0,138,138,NA,138,138,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,58,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,429,NA,33879,21508,NA,429,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,40492,206353,NA,309994,309478,6501,293671,NA,311124,NA,6528,184842,NA,311239,311671,NA,311112,311239,Flanker Task,131,68456,139,yes,1024
94.28571429,94.28571429,492.6071429,492.6071429,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,139,139,0,139,0,139,0,0,0,0,139,139,NA,139,139,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,59,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,s,NA,h,NA,509,NA,33879,21508,NA,509,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,206353,NA,311686,309478,6501,293671,NA,312821,NA,6528,184842,NA,312934,313447,NA,312808,312934,Flanker Task,132,68965,140,yes,1024
93.61702128,93.61702128,492.0567376,492.0567376,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,140,140,0,140,0,140,0,0,0,0,140,140,NA,140,140,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,60,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,415,NA,33879,21508,NA,415,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,206353,NA,313462,309478,6501,293671,NA,314600,NA,6528,184842,NA,314715,315134,NA,314587,314715,Flanker Task,132,69380,141,yes,1024
93.66197183,93.66197183,491.8732394,491.8732394,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,141,141,0,141,0,141,0,0,0,0,141,141,NA,141,141,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,61,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,s,NA,h,NA,466,NA,33879,21508,NA,466,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,206353,NA,315662,315149,6501,293671,NA,316798,NA,6528,184842,NA,316913,317383,NA,316785,316913,Flanker Task,133,69846,142,yes,1024
93.70629371,93.70629371,491.2797203,491.2797203,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,142,142,0,142,0,142,0,0,0,0,142,142,NA,142,142,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,62,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,s,NA,h,NA,407,NA,33879,21508,NA,407,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,40492,206353,NA,317398,315149,6501,293671,NA,318529,NA,6528,184842,NA,318643,319054,NA,318517,318643,Flanker Task,134,70253,143,yes,1024
93.75,93.75,491.3541667,491.3541667,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,143,143,0,143,0,143,0,0,0,0,143,143,NA,143,143,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,63,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,502,NA,33879,21508,NA,502,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,40492,206353,NA,319069,315149,6501,293671,NA,320202,NA,6528,184842,NA,320317,320823,NA,320190,320316,Flanker Task,135,70755,144,yes,1024
93.79310345,93.79310345,491.0551724,491.0551724,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,144,144,0,144,0,144,0,0,0,0,144,144,NA,144,144,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,64,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,448,NA,33879,21508,NA,448,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,40492,206353,NA,320838,315149,6501,293671,NA,321973,NA,6528,184842,NA,322091,322543,NA,321960,322090,Flanker Task,136,71203,145,yes,1024
93.83561644,93.83561644,491.6712329,491.6712329,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,145,145,0,145,0,145,0,0,0,0,145,145,NA,145,145,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,65,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,581,NA,33879,21508,NA,581,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,40492,206353,NA,322558,315149,6501,293671,NA,323692,NA,6528,184842,NA,323806,324391,NA,323679,323806,Flanker Task,137,71784,146,yes,1024
93.19727891,93.19727891,490.7414966,490.7414966,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,146,146,0,146,0,146,0,0,0,0,146,146,NA,146,146,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,66,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,355,NA,33879,21508,NA,355,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,206353,NA,324406,315149,6501,293671,NA,325549,NA,6528,184842,NA,325663,326022,NA,325536,325663,Flanker Task,137,72139,147,yes,1024
93.24324324,93.24324324,490.3108108,490.3108108,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,147,147,0,147,0,147,0,0,0,0,147,147,NA,147,147,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,67,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,427,NA,33879,21508,NA,427,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,40492,206353,NA,326550,326038,6501,293671,NA,327685,NA,6528,184842,NA,327799,328230,NA,327673,327799,Flanker Task,138,72566,148,yes,1024
93.2885906,93.2885906,489.3825503,489.3825503,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,148,148,0,148,0,148,0,0,0,0,148,148,NA,148,148,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,68,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,s,NA,h,NA,352,NA,33879,21508,NA,352,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,40492,206353,NA,328245,326038,6501,293671,NA,329386,NA,6528,184842,NA,329499,329855,NA,329373,329499,Flanker Task,139,72918,149,yes,1024
93.33333333,93.33333333,489.4,489.4,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,149,149,0,149,0,149,0,0,0,0,149,149,NA,149,149,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,69,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,s,NA,h,NA,492,NA,33879,21508,NA,492,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,206353,NA,329870,326038,6501,293671,NA,331005,NA,6528,184842,NA,331119,331615,NA,330989,331119,Flanker Task,140,73410,150,yes,1024
93.37748344,93.37748344,489.0927152,489.0927152,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,150,150,0,150,0,150,0,0,0,0,150,150,NA,150,150,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,70,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,s,NA,h,NA,443,NA,33879,21508,NA,443,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,206353,NA,331630,326038,6501,293671,NA,332766,NA,6528,184842,NA,332879,333326,NA,332754,332879,Flanker Task,141,73853,151,yes,1024
93.42105263,93.42105263,489.4473684,489.4473684,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,151,151,0,151,0,151,0,0,0,0,151,151,NA,151,151,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,71,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,s,s,NA,s,NA,543,NA,33879,21508,NA,543,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,40492,206353,NA,333342,326038,6501,293671,NA,334475,NA,6528,184842,NA,334587,335134,NA,334462,334587,Flanker Task,142,74396,152,yes,1024
93.46405229,93.46405229,489.2026144,489.2026144,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,152,152,0,152,0,152,0,0,0,0,152,152,NA,152,152,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,72,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,s,NA,h,NA,452,NA,33879,21508,NA,452,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,40492,206353,NA,335149,326038,6501,293671,NA,336285,NA,6528,184842,NA,336399,336855,NA,336272,336399,Flanker Task,143,74848,153,yes,1024
93.50649351,93.50649351,488.3571429,488.3571429,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,153,153,0,153,0,153,0,0,0,0,153,153,NA,153,153,Wed Sep 25 11:14:14 2019,600,The main experiment item,yes,FlankerTask.osexp,/Users/danielrazo0311/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,73,79,/Users/danielrazo0311/Desktop/DR-Subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,s,s,NA,h,NA,359,NA,33879,21508,NA,359,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,40492,206353,NA,336870,326038,6501,293671,NA,338008,NA,6528,184842,NA,338124,338487,NA,337997,338124,Flanker Task,144,75207,154,yes,1024
