acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboard_response,correct_response,count_Faster,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Stimulus,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_finish,count_fixation,count_keyboard_response,count_new_logger,count_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Instructions1,response_Instructions2,response_Instructions3,response_finish,response_keyboard_response,response_time,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_finish,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Faster,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Stimulus,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_finish,time_fixation,time_keyboard_response,time_new_logger,time_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,735,735,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/29/19 16:45,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,735,15066,NA,NA,NA,735,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,NA,NA,5265,NA,NA,20763,20332,NA,NA,NA,5261,NA,20658,20763,21499,20655,Flanker Task,0,735,1,yes,1024
50,50,604.5,604.5,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,9/29/19 16:45,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,474,15066,NA,NA,NA,474,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,NA,22059,5265,NA,NA,23255,20332,NA,NA,21552,5261,NA,23150,23256,23731,23147,Flanker Task,1,1209,2,yes,1024
33.33333333,33.33333333,525.6666667,525.6666667,black,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,2,2,0,0,0,2,0,0,0,2,0,0,2,2,2,2,9/29/19 16:45,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,368,15066,NA,NA,NA,368,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,NA,23749,5265,NA,NA,24955,20332,NA,NA,21552,5261,NA,24850,24955,25323,24847,Flanker Task,1,1577,3,yes,1024
50,50,485,485,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,3,3,0,0,0,3,0,0,0,3,0,0,3,3,3,3,9/29/19 16:45,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,363,15066,NA,NA,NA,363,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,NA,25850,5265,NA,NA,27055,20332,NA,NA,25344,5261,NA,26950,27055,27419,26947,Flanker Task,2,1940,4,yes,1024
40,40,473.4,473.4,black,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,4,4,0,0,0,4,0,0,0,4,0,0,4,4,4,4,9/29/19 16:45,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,427,15066,NA,NA,NA,427,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,NA,27433,5265,NA,NA,28624,20332,NA,NA,25344,5261,NA,28519,28624,29051,28516,Flanker Task,2,2367,5,yes,1024
50,50,469.6666667,469.6666667,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,5,5,0,0,0,5,0,0,0,5,0,0,5,5,5,5,9/29/19 16:45,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,451,15066,NA,NA,NA,451,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,NA,29583,5265,NA,NA,30783,20332,NA,NA,29078,5261,NA,30678,30783,31235,30675,Flanker Task,3,2818,6,yes,1024
57.14285714,57.14285714,473,473,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,6,6,0,0,0,6,0,0,0,6,0,0,6,6,6,6,9/29/19 16:45,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,h,NA,NA,NA,h,493,15066,NA,NA,NA,493,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,NA,31261,5265,NA,NA,32461,20332,NA,NA,29078,5261,NA,32356,32461,32955,32353,Flanker Task,4,3311,7,yes,1024
62.5,62.5,479.25,479.25,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,7,7,0,0,0,7,0,0,0,7,0,0,7,7,7,7,9/29/19 16:45,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,523,15066,NA,NA,NA,523,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,NA,32975,5265,NA,NA,34175,20332,NA,NA,29078,5261,NA,34070,34175,34699,34067,Flanker Task,5,3834,8,yes,1024
66.66666667,66.66666667,470.7777778,470.7777778,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,8,8,0,0,0,8,0,0,0,8,0,0,8,8,8,8,9/29/19 16:45,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,403,15066,NA,NA,NA,403,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,NA,34737,5265,NA,NA,35943,20332,NA,NA,29078,5261,NA,35838,35943,36347,35835,Flanker Task,6,4237,9,yes,1024
70,70,464.6,464.6,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,9,9,0,0,0,9,0,0,0,9,0,0,9,9,9,9,9/29/19 16:45,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/jh-subject-4.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,h,NA,NA,NA,s,409,15066,NA,NA,NA,409,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,NA,36375,5265,NA,NA,37586,20332,NA,NA,29078,5261,NA,37481,37586,37995,37478,Flanker Task,7,4646,10,yes,1024
