acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_new_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ErrorFeedback,count_Faster,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Stimulus,count_experiment,count_new_keyboard_response,count_new_logger,count_new_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_new_keyboard_response,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_new_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ErrorFeedback,time_Faster,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Stimulus,time_experiment,time_new_keyboard_response,time_new_logger,time_new_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
81.81818182,81.81818182,524.8181818,524.8181818,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,10,10,0,10,10,0,0,0,10,0,10,10,10,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,10,10,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,421,NA,15129,NA,NA,421,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,21851,NA,NA,45760,NA,NA,50742,48910,6721,NA,NA,50849,6687,50849,51271,50718,Flanker Task ,9,5773,11,yes,1024
83.33333333,83.33333333,521.25,521.25,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,11,11,0,11,11,0,0,0,11,0,11,11,11,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,11,11,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,482,NA,15129,NA,NA,482,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,21851,NA,NA,45760,NA,NA,53165,51302,6721,NA,NA,53273,6687,53273,53756,53139,Flanker Task ,10,6255,12,yes,1024
84.61538462,84.61538462,516.0769231,516.0769231,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,s,0,0,0,12,12,0,12,12,0,0,0,12,0,12,12,12,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,12,12,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,454,NA,15129,NA,NA,454,2,legacy,1024,2,48000,-16,experiment,HHSHH,1,odd,21851,NA,NA,45760,NA,NA,55641,53801,6721,NA,NA,55747,6687,55747,56202,55617,Flanker Task ,11,6709,13,yes,1024
85.71428571,85.71428571,512.3571429,512.3571429,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,13,13,0,13,13,0,0,0,13,0,13,13,13,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,13,13,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,464,NA,15129,NA,NA,464,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,21851,NA,NA,45760,NA,NA,58414,56366,6721,NA,NA,58521,6687,58521,58986,58388,Flanker Task ,12,7173,14,yes,1024
86.66666667,86.66666667,507.5333333,507.5333333,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,14,14,0,14,14,0,0,0,14,0,14,14,14,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,14,14,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,440,NA,15129,NA,NA,440,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,21851,NA,NA,45760,NA,NA,61081,59151,6721,NA,NA,61187,6687,61187,61628,61055,Flanker Task ,13,7613,15,yes,1024
87.5,87.5,501.4375,501.4375,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,15,15,0,15,15,0,0,0,15,0,15,15,15,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,15,15,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,410,NA,15129,NA,NA,410,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,21851,NA,NA,45760,NA,NA,63681,61812,6721,NA,NA,63788,6687,63788,64199,63655,Flanker Task ,14,8023,16,yes,1024
88.23529412,88.23529412,502.4705882,502.4705882,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,16,16,0,16,16,0,0,0,16,0,16,16,16,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,16,16,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,519,NA,15129,NA,NA,519,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,21851,NA,NA,45760,NA,NA,66481,64409,6721,NA,NA,66586,6687,66587,67106,66457,Flanker Task ,15,8542,17,yes,1024
88.88888889,88.88888889,498.9444444,498.9444444,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,h,0,0,0,17,17,0,17,17,0,0,0,17,0,17,17,17,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,17,17,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,439,NA,15129,NA,NA,439,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,21851,NA,NA,45760,NA,NA,69027,67143,6721,NA,NA,69133,6687,69134,69574,69003,Flanker Task ,16,8981,18,yes,1024
89.47368421,89.47368421,497,497,black,xpyriment,legacy,legacy,0,Incongruent,uniform,1,undefined,1,h,0,0,0,18,18,0,18,18,0,0,0,18,0,18,18,18,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,18,18,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,h,NA,s,NA,NA,h,462,NA,15129,NA,NA,462,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,21851,NA,NA,45760,NA,NA,71423,69599,6721,NA,NA,71530,6687,71530,71993,71398,Flanker Task ,17,9443,19,yes,1024
90,90,494.05,494.05,black,xpyriment,legacy,legacy,0,Congruent,uniform,1,undefined,1,s,0,0,0,19,19,0,19,19,0,0,0,19,0,19,19,19,9/25/19 9:27,1500,The main experiment item,yes,FlankerTask.osexp,C:\Users\hosan\Desktop,no,mono,no,18,no,white,no,yes,768,legacy,19,19,C:/Users/hosan/Desktop/TB_subject-01.csv,xpyriment,Kafkaesque Koffka,3.2.8,0,s,NA,s,NA,NA,s,438,NA,15129,NA,NA,438,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,21851,NA,NA,45760,NA,NA,73886,72035,6721,NA,NA,73993,6687,73993,74432,73862,Flanker Task ,18,9881,20,yes,1024
