acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction2,count_instructions1,count_instructions3,count_keyboard_response,count_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction2,response_instructions1,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instruction2,response_time_instructions1,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction2,time_instructions1,time_instructions3,time_keyboard_response,time_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,832,832,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thu Sep 19 16:32:56 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,0,0,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,832,NA,NA,52354,NA,832,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,55611,NA,NA,NA,NA,3209,NA,NA,55728,NA,3247,NA,55843,56677,55717,55843,Flanker Task,1,832,1,yes,1024
100,100,675,675,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,Thu Sep 19 16:32:56 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,1,1,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,518,NA,NA,52354,NA,518,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,55611,NA,NA,56709,NA,3209,NA,NA,57838,NA,3247,NA,57949,58468,57826,57949,Flanker Task,2,1350,2,yes,1024
100,100,781,781,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,Thu Sep 19 16:32:56 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,2,2,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,993,NA,NA,52354,NA,993,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,55611,NA,NA,58488,NA,3209,NA,NA,59590,NA,3247,NA,59705,60700,59577,59705,Flanker Task,3,2343,3,yes,1024
100,100,723.5,723.5,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,Thu Sep 19 16:32:56 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,3,3,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,551,NA,NA,52354,NA,551,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,55611,NA,NA,60717,NA,3209,NA,NA,61839,NA,3247,NA,61953,62505,61827,61953,Flanker Task,4,2894,4,yes,1024
100,100,691.6,691.6,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,Thu Sep 19 16:32:56 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,4,4,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,564,NA,NA,52354,NA,564,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,55611,NA,NA,62520,NA,3209,NA,NA,63619,NA,3247,NA,63734,64299,63608,63734,Flanker Task,5,3458,5,yes,1024
100,100,699.3333333,699.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,Thu Sep 19 16:32:56 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,5,5,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,738,NA,NA,52354,NA,738,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,55611,NA,NA,64332,NA,3209,NA,NA,65455,NA,3247,NA,65569,66308,65443,65568,Flanker Task,6,4196,6,yes,1024
100,100,770.7142857,770.7142857,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,Thu Sep 19 16:32:56 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,6,6,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,1199,NA,NA,52354,NA,1199,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,55611,NA,NA,66323,NA,3209,NA,NA,67425,NA,3247,NA,67539,68739,67411,67539,Flanker Task,7,5395,7,yes,1024
100,100,768.75,768.75,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,Thu Sep 19 16:32:56 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,7,7,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,755,NA,NA,52354,NA,755,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,55611,NA,NA,68771,NA,3209,NA,NA,69889,NA,3247,NA,70002,70758,69878,70002,Flanker Task,8,6150,8,yes,1024
100,100,758.3333333,758.3333333,black,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,Thu Sep 19 16:32:56 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,8,8,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,s,NA,NA,s,NA,s,675,NA,NA,52354,NA,675,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,55611,NA,NA,70773,NA,3209,NA,NA,71883,NA,3247,NA,71995,72672,71871,71995,Flanker Task,9,6825,9,yes,1024
100,100,724.9,724.9,black,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,Thu Sep 19 16:32:56 2019,1500,The main experiment item,yes,CB-FlankerTask-Lab1.2.osexp,/Users/cristianbotello/Desktop/Advanced Quant,no,mono,no,18,no,white,no,no,768,legacy,9,9,/Users/cristianbotello/Desktop/Advanced Quant/CB-subject-2.csv,legacy,Kafkaesque Koffka,3.2.8,0,h,NA,NA,s,NA,h,424,NA,NA,52354,NA,424,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,55611,NA,NA,72686,NA,3209,NA,NA,73787,NA,3247,NA,73899,74324,73775,73899,Flanker Task,10,7249,10,yes,1024
